,venue_id,venue_name,non-commercial_name,location
0,134,Apollo Projects Stadium,Rugby League Park,"Christchurch
Canterbury
New Zealand"
0,713,Yarrow Stadium,Yarrow Stadium,"New Plymouth
Taranaki
New Zealand"
