,venue_id,venue_name,non-commercial_name,location
0,111,Cumberland Oval,Cumberland Oval,"Parramatta, Sydney
New South Wales
Australia"
0,163,Sydney Cricket Ground No. 2,Sydney Cricket Ground No. 2,"Moore Park, Sydney
New South Wales
Australia"
0,158,Marrickville Oval,Marrickville Oval,"Marrickville, Sydney
New South Wales
Australia"
