,venue_id,venue_name,non-commercial_name,location
0,4,GIO Stadium,Canberra Stadium,"Canberra
Australian Capital Territory
Australia"
0,113,Townsville Sports Reserve,Townsville Sports Reserve,"Townsville
Queensland
Australia"
