,venue_id,venue_name,non-commercial_name,location
0,492,Forsyth Barr Stadium,Forsyth Barr Stadium,"Dunedin
Otago
New Zealand"
0,190,FMG Stadium,Palmerston North Showgrounds,"Palmerston North
Manawatu-Wanganui
New Zealand"
