,venue_id,venue_name,non-commercial_name,location
0,43,Fisher Park,Fisher Park,"Cootamundra
New South Wales
Australia"
0,42,Pioneer Oval,Pioneer Oval,"Parkes
New South Wales
Australia"
0,41,Bennett Oval,Bennett Oval,"Whyalla
South Australia
Australia"
0,40,Hindmarsh Stadium,Hindmarsh Oval,"Hindmarsh, Adelaide
South Australia
Australia"
0,39,Eric Weissel Oval,Eric Weissel Oval,"Wagga Wagga
New South Wales
Australia"
