,venue_id,venue_name,non-commercial_name,location
0,6,Go Media Stadium,Mt Smart,"Penrose, Auckland
Auckland
New Zealand"
0,14,Willows Sports Complex,Willows Sports Complex,"Townsville
Queensland
Australia"
