,team_short,team_name
0,Sydney,"Sydney (W)
ROOSTERS"
0,Warriors,NEW ZEALAND WARRIORS (W)
0,Brisbane,"Brisbane (W)
BRONCOS"
0,St Geo Illa,"St George Illawarra (W)
DRAGONS"
