,team_short,team_name
0,North QLD,"North Queensland (W)
COWBOYS"
0,Wests Tigers,WESTS TIGERS (W)
0,Cronulla,"Cronulla (W)
SHARKS"
0,Canberra,"Canberra (W)
RAIDERS"
