,competition,round,date,time,match_id,venue_id,crowd,home_team,home_team_ht_score,home_team_score,home_team_penalties,away_team,away_team_ht_score,away_team_score,away_team_penalties
0,NRL 2000,Round 1,"Saturday, 5th February, 2000",,1414,20,"62,255","St George Illawarra
DRAGONS",6,12,3,SHARKS,28,28,5
0,NRL 2000,Round 1,"Saturday, 5th February, 2000",,1413,20,"62,255","Sydney
ROOSTERS",4,20,4,"Parramatta
EELS",16,16,4
0,NRL 2000,Round 1,"Sunday, 6th February, 2000",,1417,6,"19,014","Auckland
WARRIORS",10,14,5,"Melbourne
STORM",2,6,7
0,NRL 2000,Round 1,"Sunday, 6th February, 2000",,1416,26,"20,059",NORTHERN EAGLES,10,24,6,"Newcastle
KNIGHTS",10,14,6
0,NRL 2000,Round 1,"Sunday, 6th February, 2000",,1415,19,"15,376",WESTS TIGERS,14,24,7,"Brisbane
BRONCOS",6,24,7
0,NRL 2000,Round 1,"Monday, 7th February, 2000",,1418,4,"14,624","Canberra
RAIDERS",8,14,9,BULLDOGS,2,2,7
0,NRL 2000,Round 1,"Monday, 7th February, 2000",,110,3,"10,623","Penrith
PANTHERS",10,19,8,"North Queensland
COWBOYS",6,6,11
0,NRL 2000,Round 2,"Friday, 11th February, 2000",7:30pm (local time),1419,8,"15,366","Parramatta
EELS",6,10,12,"Brisbane
BRONCOS",0,18,3
0,NRL 2000,Round 2,"Saturday, 12th February, 2000",,1421,11,"16,155","Newcastle
KNIGHTS",20,38,6,"Melbourne
STORM",0,6,2
0,NRL 2000,Round 2,"Saturday, 12th February, 2000",,111,21,"6,024","St George Illawarra
DRAGONS",8,12,7,"North Queensland
COWBOYS",6,6,8
0,NRL 2000,Round 2,"Saturday, 12th February, 2000",,1420,9,"13,112",SHARKS,6,28,3,"Sydney
ROOSTERS",2,2,4
0,NRL 2000,Round 2,"Sunday, 13th February, 2000",,1422,20,"11,214",BULLDOGS,0,0,6,"Penrith
PANTHERS",12,26,6
0,NRL 2000,Round 2,"Sunday, 13th February, 2000",,1423,4,"10,085","Canberra
RAIDERS",10,22,3,NORTHERN EAGLES,4,8,6
