,competition,round,date,time,match_id,venue_id,crowd,home_team,home_team_ht_score,home_team_score,home_team_penalties,away_team,away_team_ht_score,away_team_score,away_team_penalties
0,NSWRL 1990,Round 1,"Friday, 16th March, 1990",7:45pm (local time),5817,4,"22,257","Canberra
RAIDERS",,26,2,"St George
DRAGONS",,10,8
0,NSWRL 1990,Round 1,"Saturday, 17th March, 1990",3:05pm (local time),5818,1,"8,202","South Sydney
RABBITOHS",8,10,8,"Canterbury Bankstown
BULLDOGS",6,14,11
0,NSWRL 1990,Round 1,"Saturday, 17th March, 1990",6:30pm (local time),5819,34,"6,423","Gold Coast
SEAGULLS",,2,6,"Cronulla Sutherland
SHARKS",,32,7
0,NSWRL 1990,Round 1,"Sunday, 18th March, 1990",3:00pm (local time),5822,7,"10,170","Balmain
TIGERS",,12,10,"Manly Warringah
SEA EAGLES",,14,9
0,NSWRL 1990,Round 1,"Sunday, 18th March, 1990",3:00pm (local time),5824,21,"7,342","Illawarra
STEELERS",,11,11,"Eastern Suburbs
ROOSTERS",,10,9
0,NSWRL 1990,Round 1,"Sunday, 18th March, 1990",3:00pm (local time),5820,11,"15,236","Newcastle
KNIGHTS",,13,14,"North Sydney
BEARS",,8,9
0,NSWRL 1990,Round 1,"Sunday, 18th March, 1990",3:00pm (local time),5821,8,"15,036","Parramatta
EELS",,19,8,"Penrith
PANTHERS",,10,7
0,NSWRL 1990,Round 1,"Sunday, 18th March, 1990",3:00pm (local time),5823,19,"9,670","Western Suburbs
MAGPIES",,12,8,"Brisbane
BRONCOS",,12,9
0,NSWRL 1990,Round 2,"Friday, 23rd March, 1990",,5825,22,"22,003","Brisbane
BRONCOS",,28,6,"Parramatta
EELS",,8,4
0,NSWRL 1990,Round 2,"Saturday, 24th March, 1990",,5826,3,"8,356","Penrith
PANTHERS",,24,8,"Balmain
TIGERS",,10,6
0,NSWRL 1990,Round 2,"Sunday, 25th March, 1990",,5829,27,"12,850","Canterbury Bankstown
BULLDOGS",,18,3,"St George
DRAGONS",,20,8
0,NSWRL 1990,Round 2,"Sunday, 25th March, 1990",,5830,9,"10,800","Cronulla Sutherland
SHARKS",,36,8,"South Sydney
RABBITOHS",,10,8
0,NSWRL 1990,Round 2,"Sunday, 25th March, 1990",,5831,1,"3,535","Eastern Suburbs
ROOSTERS",,20,5,"Gold Coast
SEAGULLS",,6,12
0,NSWRL 1990,Round 2,"Sunday, 25th March, 1990",,5832,21,"9,695","Illawarra
STEELERS",,4,10,"Canberra
RAIDERS",,18,7
0,NSWRL 1990,Round 2,"Sunday, 25th March, 1990",,5827,5,"11,146","Manly Warringah
SEA EAGLES",,28,5,"Newcastle
KNIGHTS",,12,15
0,NSWRL 1990,Round 2,"Sunday, 25th March, 1990",,5828,25,"7,262","North Sydney
BEARS",,14,10,"Western Suburbs
MAGPIES",,12,6
0,NSWRL 1990,Round 3,"Friday, 30th March, 1990",,5833,1,"12,747","South Sydney
RABBITOHS",,26,13,"Eastern Suburbs
ROOSTERS",,12,11
0,NSWRL 1990,Round 3,"Saturday, 31st March, 1990",,5835,4,"13,221","Canberra
RAIDERS",,2,6,"Canterbury Bankstown
BULLDOGS",,6,15
0,NSWRL 1990,Round 3,"Saturday, 31st March, 1990",,5834,34,"3,171","Gold Coast
SEAGULLS",,6,9,"Illawarra
STEELERS",,41,6
0,NSWRL 1990,Round 3,"Sunday, 1st April, 1990",,5837,7,"13,062","Balmain
TIGERS",,18,10,"Brisbane
BRONCOS",,16,12
0,NSWRL 1990,Round 3,"Sunday, 1st April, 1990",,5838,9,"16,779","Cronulla Sutherland
SHARKS",,25,11,"St George
DRAGONS",,12,15
0,NSWRL 1990,Round 3,"Sunday, 1st April, 1990",,5836,11,"16,218","Newcastle
KNIGHTS",,34,2,"Western Suburbs
MAGPIES",,0,10
0,NSWRL 1990,Round 3,"Sunday, 1st April, 1990",,5840,8,"11,017","Parramatta
EELS",,11,12,"North Sydney
BEARS",,10,7
