,competition,round,date,time,match_id,venue_id,crowd,home_team,home_team_ht_score,home_team_score,home_team_penalties,away_team,away_team_ht_score,away_team_score,away_team_penalties
0,NRL 2009,Round 1,"Friday, 13th March, 2009",7:30pm (local time),15084,12,"14,870","Melbourne
STORM",4,17,11,"St George Illawarra
DRAGONS",8,16,7
0,NRL 2009,Round 1,"Friday, 13th March, 2009",7:30pm (local time),15085,1097,"45,022","Brisbane
BRONCOS",10,19,11,"North Queensland
COWBOYS",6,18,6
0,NRL 2009,Round 1,"Saturday, 14th March, 2009",7:30pm (local time),15086,6,"20,102",WARRIORS,18,26,10,"Parramatta
EELS",6,18,7
0,NRL 2009,Round 1,"Saturday, 14th March, 2009",7:30pm (local time),15088,20,"19,791",BULLDOGS,22,34,10,"Manly Warringah
SEA EAGLES",0,12,6
0,NRL 2009,Round 1,"Saturday, 14th March, 2009",7:30pm (local time),15087,9,"10,617","Cronulla Sutherland
SHARKS",8,18,9,"Penrith
PANTHERS",8,10,7
0,NRL 2009,Round 1,"Sunday, 15th March, 2009",1:00pm (local time),15090,149,"16,203","Gold Coast
TITANS",16,34,9,"Newcastle
KNIGHTS",14,20,9
0,NRL 2009,Round 1,"Sunday, 15th March, 2009",3:00pm (local time),15091,1,"24,486","Sydney
ROOSTERS",6,12,7,"South Sydney
RABBITOHS",30,52,5
0,NRL 2009,Round 1,"Monday, 16th March, 2009",7:00pm (local time),15097,19,"17,392",WESTS TIGERS,18,34,6,"Canberra
RAIDERS",26,26,8
0,NRL 2009,Round 2,"Friday, 20th March, 2009",7:35pm (local time),15099,20,"20,871","South Sydney
RABBITOHS",8,8,6,"Parramatta
EELS",8,14,5
0,NRL 2009,Round 2,"Friday, 20th March, 2009",8:35pm (local time),15100,1097,"36,647","Brisbane
BRONCOS",10,16,8,"Melbourne
STORM",8,14,10
0,NRL 2009,Round 2,"Saturday, 21st March, 2009",5:30pm (local time),15101,21,"13,329","St George Illawarra
DRAGONS",6,16,10,"Gold Coast
TITANS",4,10,6
0,NRL 2009,Round 2,"Saturday, 21st March, 2009",7:30pm (local time),15102,3,"16,846","Penrith
PANTHERS",20,26,7,BULLDOGS,12,28,5
0,NRL 2009,Round 2,"Saturday, 21st March, 2009",8:30pm (local time),15103,14,"19,879","North Queensland
COWBOYS",18,42,7,WESTS TIGERS,8,14,8
0,NRL 2009,Round 2,"Sunday, 22nd March, 2009",2:00pm (local time),15104,4,"13,100","Canberra
RAIDERS",0,4,9,"Sydney
ROOSTERS",4,28,3
0,NRL 2009,Round 2,"Sunday, 22nd March, 2009",3:00pm (local time),15105,5,"16,307","Manly Warringah
SEA EAGLES",10,24,10,WARRIORS,16,26,9
0,NRL 2009,Round 2,"Monday, 23rd March, 2009",7:00pm (local time),15106,9,"11,148","Cronulla Sutherland
SHARKS",6,12,9,"Newcastle
KNIGHTS",12,24,8
0,NRL 2009,Round 3,"Friday, 27th March, 2009",7:35pm (local time),15107,1,"14,426",WESTS TIGERS,10,40,5,"Sydney
ROOSTERS",18,24,5
0,NRL 2009,Round 3,"Friday, 27th March, 2009",7:35pm (local time),15108,149,"19,854","Gold Coast
TITANS",10,20,7,BULLDOGS,6,12,7
0,NRL 2009,Round 3,"Saturday, 28th March, 2009",7:30pm (local time),15109,6,"24,538",WARRIORS,0,10,9,"Brisbane
BRONCOS",16,26,7
0,NRL 2009,Round 3,"Saturday, 28th March, 2009",7:30pm (local time),15110,8,"11,116","Parramatta
EELS",4,18,4,"Canberra
RAIDERS",6,16,4
0,NRL 2009,Round 3,"Saturday, 28th March, 2009",7:30pm (local time),15111,14,"21,489","North Queensland
COWBOYS",12,12,7,"Melbourne
STORM",18,26,7
0,NRL 2009,Round 3,"Sunday, 29th March, 2009",2:00pm (local time),15112,26,"15,227","South Sydney
RABBITOHS",0,22,9,"Newcastle
KNIGHTS",8,12,8
0,NRL 2009,Round 3,"Sunday, 29th March, 2009",3:00pm (local time),15113,23,"20,047","St George Illawarra
DRAGONS",6,10,4,"Cronulla Sutherland
SHARKS",0,6,4
0,NRL 2009,Round 3,"Monday, 30th March, 2009",7:00pm (local time),15114,5,"8,667","Manly Warringah
SEA EAGLES",6,10,8,"Penrith
PANTHERS",0,12,7
0,NRL 2009,Round 4,"Friday, 3rd April, 2009",6:35pm (local time),15254,1097,"42,435","Brisbane
BRONCOS",6,12,8,"St George Illawarra
DRAGONS",8,25,5
0,NRL 2009,Round 4,"Friday, 3rd April, 2009",7:35pm (local time),15255,1,"11,231","Sydney
ROOSTERS",16,24,6,"Parramatta
EELS",0,6,8
0,NRL 2009,Round 4,"Saturday, 4th April, 2009",5:30pm (local time),15256,3,"15,813","Penrith
PANTHERS",22,42,9,WESTS TIGERS,12,22,2
0,NRL 2009,Round 4,"Saturday, 4th April, 2009",7:30pm (local time),15257,12,"11,698","Melbourne
STORM",0,6,7,"Gold Coast
TITANS",10,18,7
0,NRL 2009,Round 4,"Sunday, 5th April, 2009",2:00pm (local time),15258,6,"19,386",WARRIORS,16,16,7,"South Sydney
RABBITOHS",12,22,4
0,NRL 2009,Round 4,"Sunday, 5th April, 2009",2:00pm (local time),15259,20,"15,520",BULLDOGS,18,24,5,"Cronulla Sutherland
SHARKS",6,12,6
0,NRL 2009,Round 4,"Sunday, 5th April, 2009",3:00pm (local time),15260,11,"15,324","Newcastle
KNIGHTS",10,26,8,"Manly Warringah
SEA EAGLES",6,12,7
0,NRL 2009,Round 4,"Monday, 6th April, 2009",7:00pm (local time),15261,4,"12,198","Canberra
RAIDERS",20,23,9,"North Queensland
COWBOYS",6,18,4
0,NRL 2009,Round 5,"Friday, 10th April, 2009",7:35pm (local time),15520,8,"19,017","Parramatta
EELS",2,8,11,"St George Illawarra
DRAGONS",14,22,7
