,competition,round,date,time,match_id,venue_id,crowd,home_team,home_team_ht_score,home_team_score,home_team_penalties,away_team,away_team_ht_score,away_team_score,away_team_penalties
0,NSWRL 1985,Round 1,"Saturday, 16th March, 1985",,5146,27,"10,552","Canterbury Bankstown
BULLDOGS",8,18,17,"Cronulla Sutherland
SHARKS",4,4,8
0,NSWRL 1985,Round 1,"Sunday, 17th March, 1985",,5148,7,"5,350","Balmain
TIGERS",14,26,6,"North Sydney
BEARS",2,6,10
0,NSWRL 1985,Round 1,"Sunday, 17th March, 1985",,5149,48,"4,872","Canberra
RAIDERS",20,34,12,"Illawarra
STEELERS",20,24,12
0,NSWRL 1985,Round 1,"Sunday, 17th March, 1985",,5150,109,"8,105","Eastern Suburbs
ROOSTERS",2,16,10,"South Sydney
RABBITOHS",16,34,7
0,NSWRL 1985,Round 1,"Sunday, 17th March, 1985",,5147,5,"8,035","Manly Warringah
SEA EAGLES",4,14,10,"Penrith
PANTHERS",6,26,11
0,NSWRL 1985,Round 1,"Sunday, 17th March, 1985",,5151,23,"12,396","St George
DRAGONS",12,26,11,"Parramatta
EELS",0,6,9
0,NSWRL 1985,Round 2,"Saturday, 23rd March, 1985",,5152,19,"8,146","Parramatta
EELS",24,36,7,"Canberra
RAIDERS",6,22,8
0,NSWRL 1985,Round 2,"Sunday, 24th March, 1985",,5154,9,"6,101","Cronulla Sutherland
SHARKS",4,8,10,"Eastern Suburbs
ROOSTERS",6,28,15
0,NSWRL 1985,Round 2,"Sunday, 24th March, 1985",,5153,21,"5,131","Illawarra
STEELERS",2,10,11,"North Sydney
BEARS",6,15,10
0,NSWRL 1985,Round 2,"Sunday, 24th March, 1985",,5157,3,"10,615","Penrith
PANTHERS",0,6,10,"Balmain
TIGERS",22,36,6
0,NSWRL 1985,Round 2,"Sunday, 24th March, 1985",,5156,44,"16,469","South Sydney
RABBITOHS",0,8,12,"St George
DRAGONS",12,14,18
0,NSWRL 1985,Round 2,"Sunday, 24th March, 1985",,5155,110,"11,032","Western Suburbs
MAGPIES",2,10,11,"Manly Warringah
SEA EAGLES",12,30,6
0,NSWRL 1985,Round 3,"Saturday, 30th March, 1985",,5158,23,"5,962","St George
DRAGONS",10,13,13,"Penrith
PANTHERS",10,10,7
0,NSWRL 1985,Round 3,"Sunday, 31st March, 1985",,5160,7,"7,409","Balmain
TIGERS",26,32,12,"Cronulla Sutherland
SHARKS",2,8,6
0,NSWRL 1985,Round 3,"Sunday, 31st March, 1985",,5161,48,"7,172","Canberra
RAIDERS",14,28,11,"North Sydney
BEARS",10,20,11
0,NSWRL 1985,Round 3,"Sunday, 31st March, 1985",,5159,21,"6,732","Illawarra
STEELERS",11,23,8,"South Sydney
RABBITOHS",4,10,9
0,NSWRL 1985,Round 3,"Sunday, 31st March, 1985",,5162,5,"11,549","Manly Warringah
SEA EAGLES",10,24,11,"Canterbury Bankstown
BULLDOGS",4,4,11
0,NSWRL 1985,Round 3,"Sunday, 31st March, 1985",,5163,110,"8,086","Western Suburbs
MAGPIES",2,4,15,"Eastern Suburbs
ROOSTERS",12,42,7
0,NSWRL 1985,Round 4,"Saturday, 6th April, 1985",,5164,44,"4,955","South Sydney
RABBITOHS",0,12,4,"Canberra
RAIDERS",20,26,17
0,NSWRL 1985,Round 4,"Sunday, 7th April, 1985",,5166,7,"7,892","Balmain
TIGERS",18,50,11,"Western Suburbs
MAGPIES",4,10,11
0,NSWRL 1985,Round 4,"Sunday, 7th April, 1985",,5167,27,"13,231","Canterbury Bankstown
BULLDOGS",16,18,9,"Eastern Suburbs
ROOSTERS",6,18,14
0,NSWRL 1985,Round 4,"Sunday, 7th April, 1985",,5168,9,"10,615","Cronulla Sutherland
SHARKS",6,6,12,"St George
DRAGONS",8,16,17
0,NSWRL 1985,Round 4,"Sunday, 7th April, 1985",,5165,25,"8,412","North Sydney
BEARS",6,6,11,"Parramatta
EELS",4,8,12
0,NSWRL 1985,Round 4,"Sunday, 7th April, 1985",,5169,3,"6,015","Penrith
PANTHERS",8,26,13,"Illawarra
STEELERS",20,32,5
0,NSWRL 1985,Round 5,"Saturday, 13th April, 1985",,5170,24,"8,893","Manly Warringah
SEA EAGLES",2,14,7,"Eastern Suburbs
ROOSTERS",2,2,15
0,NSWRL 1985,Round 5,"Sunday, 14th April, 1985",,5173,7,"13,570","Balmain
TIGERS",12,18,14,"Canterbury Bankstown
BULLDOGS",10,20,5
0,NSWRL 1985,Round 5,"Sunday, 14th April, 1985",,5174,48,"9,132","Canberra
RAIDERS",8,8,5,"Penrith
PANTHERS",12,38,9
0,NSWRL 1985,Round 5,"Sunday, 14th April, 1985",,5175,9,"4,450","Cronulla Sutherland
SHARKS",14,20,16,"Illawarra
STEELERS",8,12,10
0,NSWRL 1985,Round 5,"Sunday, 14th April, 1985",,5171,27,"7,620","Parramatta
EELS",18,27,13,"South Sydney
RABBITOHS",10,10,10
0,NSWRL 1985,Round 5,"Sunday, 14th April, 1985",,5172,23,"7,779","St George
DRAGONS",6,18,12,"Western Suburbs
MAGPIES",6,6,10
