,competition,round,date,time,match_id,venue_id,crowd,home_team,home_team_ht_score,home_team_score,home_team_penalties,away_team,away_team_ht_score,away_team_score,away_team_penalties
0,NSWRFL 1969,Round 1,"Friday, 28th March, 1969",8:30pm (local time),12607,27,"5,641",CANTERBURY BANKSTOWN,11,18,,NEWTOWN,0,0,
0,NSWRFL 1969,Round 1,"Saturday, 29th March, 1969",3:00pm (local time),12608,109,"15,838","South Sydney
RABBITOHS",2,7,19,"Balmain
TIGERS",9,16,17
0,NSWRFL 1969,Round 1,"Sunday, 30th March, 1969",3:00pm (local time),12610,9,"4,667","Cronulla Sutherland
SHARKS",5,10,17,"North Sydney
BEARS",13,21,11
0,NSWRFL 1969,Round 1,"Sunday, 30th March, 1969",3:00pm (local time),12611,109,"14,432","Eastern Suburbs
ROOSTERS",4,21,,"St George
DRAGONS",8,8,
0,NSWRFL 1969,Round 1,"Sunday, 30th March, 1969",3:00pm (local time),12609,5,"11,668","Manly Warringah
SEA EAGLES",5,22,,"Western Suburbs
MAGPIES",3,11,
0,NSWRFL 1969,Round 1,"Sunday, 30th March, 1969",3:00pm (local time),12612,3,"11,338","Penrith
PANTHERS",7,10,,"Parramatta
EELS",14,21,
0,NSWRFL 1969,Round 2,"Thursday, 3rd April, 1969",8:30pm (local time),12613,44,"7,528","South Sydney
RABBITOHS",7,20,,NEWTOWN,4,6,
0,NSWRFL 1969,Round 2,"Thursday, 3rd April, 1969",8:30pm (local time),12614,110,"13,767","Western Suburbs
MAGPIES",14,24,,CANTERBURY BANKSTOWN,0,3,
0,NSWRFL 1969,Round 2,"Saturday, 5th April, 1969",3:00pm (local time),12615,24,"16,445","North Sydney
BEARS",17,32,,"Eastern Suburbs
ROOSTERS",9,23,
0,NSWRFL 1969,Round 2,"Sunday, 6th April, 1969",3:00pm (local time),12616,7,"10,150","Balmain
TIGERS",8,25,,"Cronulla Sutherland
SHARKS",5,7,
0,NSWRFL 1969,Round 2,"Sunday, 6th April, 1969",3:00pm (local time),12617,111,"16,602","Parramatta
EELS",8,15,,"Manly Warringah
SEA EAGLES",7,17,
0,NSWRFL 1969,Round 2,"Sunday, 6th April, 1969",3:00pm (local time),12618,23,"11,763","St George
DRAGONS",12,31,,"Penrith
PANTHERS",2,7,
0,NSWRFL 1969,Round 3,"Friday, 11th April, 1969",8:30pm (local time),12619,44,"7,822","South Sydney
RABBITOHS",18,43,,"Cronulla Sutherland
SHARKS",4,4,
