match_id,coach_id,team
28141,3410,Warriors
28142,350,Parramatta Eels
28142,1822,South Sydney Rabbitohs
28143,469,Gold Coast Titans
28143,239,Penrith Panthers
28144,2835,Wests Tigers
28144,2831,Sydney Roosters
28156,505,Manly Warringah Sea Eagles
28156,902,Melbourne Storm
28158,16571,Brisbane Broncos
28158,1822,South Sydney Rabbitohs
28159,3083,St George Illawarra Dragons
28159,469,Gold Coast Titans
28160,5544,North Queensland Cowboys
28160,215,Canberra Raiders
28161,239,Penrith Panthers
28161,350,Parramatta Eels
28162,260,Canterbury Bankstown Bulldogs
28162,902,Melbourne Storm
28163,2831,Sydney Roosters
28163,505,Manly Warringah Sea Eagles
28164,6075,Newcastle Knights
28164,2835,Wests Tigers
28165,16571,Brisbane Broncos
28165,1202,Cronulla Sutherland Sharks
28166,350,Parramatta Eels
28166,6075,Newcastle Knights
28167,3410,Warriors
28167,5544,North Queensland Cowboys
28168,1822,South Sydney Rabbitohs
28168,239,Penrith Panthers
28169,215,Canberra Raiders
28169,3083,St George Illawarra Dragons
28186,2835,Wests Tigers
28186,260,Canterbury Bankstown Bulldogs
28187,902,Melbourne Storm
28187,215,Canberra Raiders
28188,469,Gold Coast Titans
28188,3410,Warriors
28189,1822,South Sydney Rabbitohs
28189,6075,Newcastle Knights
28190,505,Manly Warringah Sea Eagles
28190,350,Parramatta Eels
28191,1202,Cronulla Sutherland Sharks
28191,2831,Sydney Roosters
28201,16571,Brisbane Broncos
28201,3410,Warriors
28200,260,Canterbury Bankstown Bulldogs
28200,350,Parramatta Eels
28203,902,Melbourne Storm
28203,5544,North Queensland Cowboys
28202,6075,Newcastle Knights
28202,505,Manly Warringah Sea Eagles
28204,2835,Wests Tigers
28204,239,Penrith Panthers
28205,215,Canberra Raiders
28205,469,Gold Coast Titans
28206,3083,St George Illawarra Dragons
28206,1202,Cronulla Sutherland Sharks
28207,2831,Sydney Roosters
28207,1822,South Sydney Rabbitohs
28209,469,Gold Coast Titans
28209,16571,Brisbane Broncos
28208,505,Manly Warringah Sea Eagles
28208,260,Canterbury Bankstown Bulldogs
28210,3410,Warriors
28210,6075,Newcastle Knights
28212,350,Parramatta Eels
28212,902,Melbourne Storm
28211,1822,South Sydney Rabbitohs
28211,3083,St George Illawarra Dragons
28213,1202,Cronulla Sutherland Sharks
28213,215,Canberra Raiders
28214,239,Penrith Panthers
28214,2831,Sydney Roosters
28215,5544,North Queensland Cowboys
28215,2835,Wests Tigers
28216,3083,St George Illawarra Dragons
28216,902,Melbourne Storm
28217,2831,Sydney Roosters
28217,469,Gold Coast Titans
28218,260,Canterbury Bankstown Bulldogs
28218,5544,North Queensland Cowboys
28220,1202,Cronulla Sutherland Sharks
28220,239,Penrith Panthers
28219,505,Manly Warringah Sea Eagles
28219,3410,Warriors
28221,215,Canberra Raiders
28221,6075,Newcastle Knights
28222,1822,South Sydney Rabbitohs
28222,2835,Wests Tigers
28223,16571,Brisbane Broncos
28223,19978,Parramatta Eels
28224,2831,Sydney Roosters
28224,3083,St George Illawarra Dragons
28225,902,Melbourne Storm
28225,239,Penrith Panthers
28226,6075,Newcastle Knights
28226,260,Canterbury Bankstown Bulldogs
28227,5544,North Queensland Cowboys
28227,505,Manly Warringah Sea Eagles
28228,3410,Warriors
28228,1202,Cronulla Sutherland Sharks
28229,215,Canberra Raiders
28229,16571,Brisbane Broncos
28230,469,Gold Coast Titans
28230,1822,South Sydney Rabbitohs
28231,2835,Wests Tigers
28231,19978,Parramatta Eels
28233,902,Melbourne Storm
28233,469,Gold Coast Titans
28232,1822,South Sydney Rabbitohs
28232,505,Manly Warringah Sea Eagles
28234,19978,Parramatta Eels
28234,2831,Sydney Roosters
28236,5544,North Queensland Cowboys
28236,3410,Warriors
28235,2835,Wests Tigers
28235,3083,St George Illawarra Dragons
28237,239,Penrith Panthers
28237,215,Canberra Raiders
28238,260,Canterbury Bankstown Bulldogs
28238,16571,Brisbane Broncos
28239,6075,Newcastle Knights
28239,1202,Cronulla Sutherland Sharks
28241,16571,Brisbane Broncos
28241,902,Melbourne Storm
28240,260,Canterbury Bankstown Bulldogs
28240,2835,Wests Tigers
28272,215,Canberra Raiders
28272,2831,Sydney Roosters
28273,1202,Cronulla Sutherland Sharks
28273,1822,South Sydney Rabbitohs
28276,3410,Warriors
28276,239,Penrith Panthers
28277,469,Gold Coast Titans
28277,19978,Parramatta Eels
28278,505,Manly Warringah Sea Eagles
28278,6075,Newcastle Knights
28279,3083,St George Illawarra Dragons
28279,5544,North Queensland Cowboys
28286,215,Canberra Raiders
28286,260,Canterbury Bankstown Bulldogs
28285,505,Manly Warringah Sea Eagles
28285,16571,Brisbane Broncos
28287,239,Penrith Panthers
28287,469,Gold Coast Titans
28288,3083,St George Illawarra Dragons
28288,183,Warriors
28289,5544,North Queensland Cowboys
28289,6075,Newcastle Knights
28290,2831,Sydney Roosters
28290,2835,Wests Tigers
28291,1822,South Sydney Rabbitohs
28291,19978,Parramatta Eels
28292,902,Melbourne Storm
28292,1202,Cronulla Sutherland Sharks
28294,16571,Brisbane Broncos
28294,239,Penrith Panthers
28293,6075,Newcastle Knights
28293,1822,South Sydney Rabbitohs
28295,469,Gold Coast Titans
28295,505,Manly Warringah Sea Eagles
28297,260,Canterbury Bankstown Bulldogs
28297,2831,Sydney Roosters
28296,2835,Wests Tigers
28296,902,Melbourne Storm
28298,183,Warriors
28298,215,Canberra Raiders
28299,1202,Cronulla Sutherland Sharks
28299,5544,North Queensland Cowboys
28300,19978,Parramatta Eels
28300,3083,St George Illawarra Dragons
28301,260,Canterbury Bankstown Bulldogs
28301,505,Manly Warringah Sea Eagles
28302,902,Melbourne Storm
28302,1822,South Sydney Rabbitohs
28303,5544,North Queensland Cowboys
28303,16571,Brisbane Broncos
28304,215,Canberra Raiders
28304,1202,Cronulla Sutherland Sharks
28305,505,Manly Warringah Sea Eagles
28305,5544,North Queensland Cowboys
28306,1822,South Sydney Rabbitohs
28306,215,Canberra Raiders
28307,902,Melbourne Storm
28307,505,Manly Warringah Sea Eagles
28308,260,Canterbury Bankstown Bulldogs
28308,1822,South Sydney Rabbitohs
28309,260,Canterbury Bankstown Bulldogs
28309,902,Melbourne Storm
28721,2924,Sydney Roosters
28721,1822,South Sydney Rabbitohs
28722,16571,Brisbane Broncos
28722,505,Manly Warringah Sea Eagles
28723,211,Parramatta Eels
28723,1155,Warriors
28724,260,Canterbury Bankstown Bulldogs
28724,5544,North Queensland Cowboys
28725,239,Penrith Panthers
28725,215,Canberra Raiders
28726,902,Melbourne Storm
28726,3083,St George Illawarra Dragons
28727,2839,Cronulla Sutherland Sharks
28727,469,Gold Coast Titans
28728,6075,Newcastle Knights
28728,508,Wests Tigers
28729,211,Parramatta Eels
28729,260,Canterbury Bankstown Bulldogs
28730,3083,St George Illawarra Dragons
28730,16571,Brisbane Broncos
28732,1155,Warriors
28732,2924,Sydney Roosters
