,team_short,team_name
0,Newtown,NEWTOWN
0,Eastern Suburbs,EASTERN SUBURBS
0,North Sydney,NORTH SYDNEY
0,South Sydney,"South Sydney
RABBITOHS"
0,Newcastle,NEWCASTLE
0,Glebe,GLEBE
0,Western Suburbs,"Western Suburbs
MAGPIES"
0,Balmain,"Balmain
TIGERS"
0,Cumberland,CUMBERLAND (AUS)
