,team_short,team_name
0,Auckland,"Auckland
WARRIORS"
0,North Qld,"North Queensland
COWBOYS"
0,Sydney Bulldogs,"Sydney
BULLDOGS"
0,South Queensland,"South Queensland
CRUSHERS"
0,Sydney Tigers,"Sydney
TIGERS"
0,Sydney City,"Sydney City
ROOSTERS"
0,Western Reds,WESTERN REDS
