,player_id,match_id,team,opposition_team,number,position,captain
0,8957,8655,"Western Suburbs
MAGPIES","South Sydney
RABBITOHS",2,W,False
0,8976,8655,"South Sydney
RABBITOHS","Western Suburbs
MAGPIES",3,C,False
0,5387,8655,"Western Suburbs
MAGPIES","South Sydney
RABBITOHS",3,C,False
0,8882,8655,"South Sydney
RABBITOHS","Western Suburbs
MAGPIES",4,C,False
0,5378,8655,"Western Suburbs
MAGPIES","South Sydney
RABBITOHS",4,C,True
0,8995,8655,"South Sydney
RABBITOHS","Western Suburbs
MAGPIES",5,W,False
0,8905,8655,"Western Suburbs
MAGPIES","South Sydney
RABBITOHS",5,W,False
0,9006,8655,"South Sydney
RABBITOHS","Western Suburbs
MAGPIES",6,FE,False
0,51771,8655,"Western Suburbs
MAGPIES","South Sydney
RABBITOHS",6,FE,False
0,8946,8655,"South Sydney
RABBITOHS","Western Suburbs
MAGPIES",7,HB,False
0,8975,8655,"Western Suburbs
MAGPIES","South Sydney
RABBITOHS",7,HB,False
0,8870,8655,"South Sydney
RABBITOHS","Western Suburbs
MAGPIES",8,L,False
0,8950,8655,"Western Suburbs
MAGPIES","South Sydney
RABBITOHS",8,L,False
0,8805,8655,"South Sydney
RABBITOHS","Western Suburbs
MAGPIES",9,2R,False
0,12876,8655,"Western Suburbs
MAGPIES","South Sydney
RABBITOHS",9,2R,False
0,8969,8655,"South Sydney
RABBITOHS","Western Suburbs
MAGPIES",10,2R,False
0,8888,8655,"Western Suburbs
MAGPIES","South Sydney
RABBITOHS",10,2R,False
0,8952,8655,"South Sydney
RABBITOHS","Western Suburbs
MAGPIES",11,FR,False
0,8807,8655,"Western Suburbs
MAGPIES","South Sydney
RABBITOHS",11,FR,False
0,5383,8655,"South Sydney
RABBITOHS","Western Suburbs
MAGPIES",12,HK,False
0,8691,8655,"Western Suburbs
MAGPIES","South Sydney
RABBITOHS",12,HK,False
0,8959,8655,"South Sydney
RABBITOHS","Western Suburbs
MAGPIES",13,FR,True
0,8849,8655,"Western Suburbs
MAGPIES","South Sydney
RABBITOHS",13,FR,False
0,8935,8659,ANNANDALE,"South Sydney
RABBITOHS",1,FB,False
0,8828,8659,"South Sydney
RABBITOHS",ANNANDALE,1,FB,False
0,8988,8659,ANNANDALE,"South Sydney
RABBITOHS",2,W,False
0,8994,8659,"South Sydney
RABBITOHS",ANNANDALE,2,W,False
0,8937,8659,ANNANDALE,"South Sydney
RABBITOHS",3,C,False
0,8976,8659,"South Sydney
RABBITOHS",ANNANDALE,3,C,False
0,9015,8659,ANNANDALE,"South Sydney
RABBITOHS",4,C,False
0,8882,8659,"South Sydney
RABBITOHS",ANNANDALE,4,C,False
0,8953,8659,ANNANDALE,"South Sydney
RABBITOHS",5,W,False
0,8738,8659,"South Sydney
RABBITOHS",ANNANDALE,5,W,False
0,8998,8659,ANNANDALE,"South Sydney
RABBITOHS",6,FE,False
0,9006,8659,"South Sydney
RABBITOHS",ANNANDALE,6,FE,False
0,8954,8659,ANNANDALE,"South Sydney
RABBITOHS",7,HB,False
0,8946,8659,"South Sydney
RABBITOHS",ANNANDALE,7,HB,False
0,8764,8659,ANNANDALE,"South Sydney
RABBITOHS",8,L,True
0,8870,8659,"South Sydney
RABBITOHS",ANNANDALE,8,L,False
0,8968,8659,ANNANDALE,"South Sydney
RABBITOHS",9,2R,False
0,8805,8659,"South Sydney
RABBITOHS",ANNANDALE,9,2R,False
0,13498,8659,ANNANDALE,"South Sydney
RABBITOHS",10,2R,False
0,8969,8659,"South Sydney
RABBITOHS",ANNANDALE,10,2R,False
0,9032,8659,ANNANDALE,"South Sydney
RABBITOHS",11,FR,False
0,9095,8659,"South Sydney
RABBITOHS",ANNANDALE,11,FR,False
0,12070,8659,ANNANDALE,"South Sydney
RABBITOHS",12,HK,False
0,5383,8659,"South Sydney
RABBITOHS",ANNANDALE,12,HK,False
0,8974,8659,ANNANDALE,"South Sydney
RABBITOHS",13,FR,False
0,8959,8659,"South Sydney
RABBITOHS",ANNANDALE,13,FR,True
0,8995,8659,"South Sydney
RABBITOHS",ANNANDALE,14,B,False
0,8843,8661,"Balmain
TIGERS",NORTH SYDNEY,1,FB,False
0,14560,8661,NORTH SYDNEY,"Balmain
TIGERS",1,FB,False
0,5722,8661,"Balmain
TIGERS",NORTH SYDNEY,2,W,False
0,5723,8661,NORTH SYDNEY,"Balmain
TIGERS",2,W,True
0,5380,8661,"Balmain
TIGERS",NORTH SYDNEY,3,C,False
0,9011,8661,NORTH SYDNEY,"Balmain
TIGERS",3,C,False
0,5393,8661,"Balmain
TIGERS",NORTH SYDNEY,4,C,False
0,8910,8661,NORTH SYDNEY,"Balmain
TIGERS",4,C,False
0,8895,8661,"Balmain
TIGERS",NORTH SYDNEY,5,W,False
0,8838,8661,NORTH SYDNEY,"Balmain
TIGERS",5,W,False
0,5381,8661,"Balmain
TIGERS",NORTH SYDNEY,6,FE,False
0,9089,8661,NORTH SYDNEY,"Balmain
TIGERS",6,FE,False
0,3582,8661,"Balmain
TIGERS",NORTH SYDNEY,7,HB,True
0,8881,8661,NORTH SYDNEY,"Balmain
TIGERS",7,HB,False
0,8736,8661,"Balmain
TIGERS",NORTH SYDNEY,8,L,False
0,9008,8661,NORTH SYDNEY,"Balmain
TIGERS",8,L,False
0,5729,8661,"Balmain
TIGERS",NORTH SYDNEY,9,2R,False
0,12612,8661,NORTH SYDNEY,"Balmain
TIGERS",9,2R,False
