,player_id,match_id,team,opposition_team,number,position,captain
0,9221,9153,GLEBE,"Western Suburbs
MAGPIES",1,FB,False
0,5774,9153,"Western Suburbs
MAGPIES",GLEBE,1,FB,False
0,9030,9153,GLEBE,"Western Suburbs
MAGPIES",2,W,False
0,9083,9153,"Western Suburbs
MAGPIES",GLEBE,2,W,True
0,9311,9153,GLEBE,"Western Suburbs
MAGPIES",3,C,False
0,9212,9153,"Western Suburbs
MAGPIES",GLEBE,3,C,False
0,9088,9153,GLEBE,"Western Suburbs
MAGPIES",4,C,False
0,12301,9153,"Western Suburbs
MAGPIES",GLEBE,4,C,False
0,9220,9153,GLEBE,"Western Suburbs
MAGPIES",5,W,False
0,13346,9153,"Western Suburbs
MAGPIES",GLEBE,5,W,False
0,9290,9153,GLEBE,"Western Suburbs
MAGPIES",6,FE,False
0,9250,9153,"Western Suburbs
MAGPIES",GLEBE,6,FE,False
0,9216,9153,GLEBE,"Western Suburbs
MAGPIES",7,HB,False
0,9140,9153,"Western Suburbs
MAGPIES",GLEBE,7,HB,False
0,9143,9153,GLEBE,"Western Suburbs
MAGPIES",8,L,False
0,9302,9153,"Western Suburbs
MAGPIES",GLEBE,8,L,False
0,9021,9153,GLEBE,"Western Suburbs
MAGPIES",9,2R,True
0,3588,9153,"Western Suburbs
MAGPIES",GLEBE,9,2R,False
0,9234,9153,GLEBE,"Western Suburbs
MAGPIES",10,2R,False
0,9219,9153,"Western Suburbs
MAGPIES",GLEBE,10,2R,False
0,12548,9153,GLEBE,"Western Suburbs
MAGPIES",11,FR,False
0,9174,9153,"Western Suburbs
MAGPIES",GLEBE,11,FR,False
0,11458,9153,GLEBE,"Western Suburbs
MAGPIES",12,HK,False
0,9211,9153,"Western Suburbs
MAGPIES",GLEBE,12,HK,False
0,9166,9153,GLEBE,"Western Suburbs
MAGPIES",13,FR,False
0,12367,9153,"Western Suburbs
MAGPIES",GLEBE,13,FR,False
0,9282,9154,"South Sydney
RABBITOHS","St George
DRAGONS",1,FB,False
0,13333,9154,"St George
DRAGONS","South Sydney
RABBITOHS",1,FB,False
0,5770,9154,"South Sydney
RABBITOHS","St George
DRAGONS",2,W,False
0,9230,9154,"St George
DRAGONS","South Sydney
RABBITOHS",2,W,False
0,9094,9154,"South Sydney
RABBITOHS","St George
DRAGONS",3,C,False
0,9283,9154,"St George
DRAGONS","South Sydney
RABBITOHS",3,C,False
0,9301,9154,"South Sydney
RABBITOHS","St George
DRAGONS",4,C,False
0,9152,9154,"St George
DRAGONS","South Sydney
RABBITOHS",4,C,False
0,9229,9154,"South Sydney
RABBITOHS","St George
DRAGONS",5,W,False
0,5727,9154,"St George
DRAGONS","South Sydney
RABBITOHS",5,W,False
