,player_id,match_id,team,opposition_team,number,position,captain
0,10599,11867,NEWTOWN,CANTERBURY BANKSTOWN,1,FB,False
0,10558,11867,CANTERBURY BANKSTOWN,NEWTOWN,1,FB,False
0,10689,11867,NEWTOWN,CANTERBURY BANKSTOWN,2,W,False
0,10616,11867,CANTERBURY BANKSTOWN,NEWTOWN,2,W,False
0,10632,11867,NEWTOWN,CANTERBURY BANKSTOWN,3,C,False
0,10708,11867,CANTERBURY BANKSTOWN,NEWTOWN,3,C,False
0,10736,11867,NEWTOWN,CANTERBURY BANKSTOWN,4,C,False
0,10654,11867,CANTERBURY BANKSTOWN,NEWTOWN,4,C,False
0,10682,11867,NEWTOWN,CANTERBURY BANKSTOWN,5,W,False
0,10730,11867,CANTERBURY BANKSTOWN,NEWTOWN,5,W,False
0,5955,11867,NEWTOWN,CANTERBURY BANKSTOWN,6,FE,True
0,5981,11867,CANTERBURY BANKSTOWN,NEWTOWN,6,FE,True
0,10699,11867,NEWTOWN,CANTERBURY BANKSTOWN,7,HB,False
0,7509,11867,CANTERBURY BANKSTOWN,NEWTOWN,7,HB,False
0,10664,11867,NEWTOWN,CANTERBURY BANKSTOWN,8,L,False
0,10713,11867,CANTERBURY BANKSTOWN,NEWTOWN,8,L,False
0,10739,11867,NEWTOWN,CANTERBURY BANKSTOWN,9,2R,False
0,11717,11867,CANTERBURY BANKSTOWN,NEWTOWN,9,2R,False
0,6009,11867,NEWTOWN,CANTERBURY BANKSTOWN,10,2R,False
0,10629,11867,CANTERBURY BANKSTOWN,NEWTOWN,10,2R,False
0,13109,11867,NEWTOWN,CANTERBURY BANKSTOWN,11,FR,False
0,10520,11867,CANTERBURY BANKSTOWN,NEWTOWN,11,FR,False
0,10467,11867,NEWTOWN,CANTERBURY BANKSTOWN,12,HK,False
0,7515,11867,CANTERBURY BANKSTOWN,NEWTOWN,12,HK,False
0,7513,11867,NEWTOWN,CANTERBURY BANKSTOWN,13,FR,False
0,5902,11867,CANTERBURY BANKSTOWN,NEWTOWN,13,FR,False
0,10493,11866,"St George
DRAGONS","Balmain
TIGERS",1,FB,False
0,5951,11866,"Balmain
TIGERS","St George
DRAGONS",1,FB,False
0,5966,11866,"St George
DRAGONS","Balmain
TIGERS",2,W,False
0,10732,11866,"Balmain
TIGERS","St George
DRAGONS",2,W,False
0,5959,11866,"St George
DRAGONS","Balmain
TIGERS",3,C,False
0,10606,11866,"Balmain
TIGERS","St George
DRAGONS",3,C,False
0,11655,11866,"St George
DRAGONS","Balmain
TIGERS",4,C,False
0,11577,11866,"Balmain
TIGERS","St George
DRAGONS",4,C,True
0,6024,11866,"St George
DRAGONS","Balmain
TIGERS",5,W,False
0,10614,11866,"Balmain
TIGERS","St George
DRAGONS",5,W,False
0,5952,11866,"St George
DRAGONS","Balmain
TIGERS",6,FE,False
0,10668,11866,"Balmain
TIGERS","St George
DRAGONS",6,FE,False
0,10735,11866,"St George
DRAGONS","Balmain
TIGERS",7,HB,False
0,10641,11866,"Balmain
TIGERS","St George
DRAGONS",7,HB,False
0,12934,11866,"St George
DRAGONS","Balmain
TIGERS",8,L,False
0,6000,11866,"Balmain
TIGERS","St George
DRAGONS",8,L,False
0,5930,11866,"St George
DRAGONS","Balmain
TIGERS",9,2R,True
0,10673,11866,"Balmain
TIGERS","St George
DRAGONS",9,2R,False
0,6006,11866,"St George
DRAGONS","Balmain
TIGERS",10,2R,False
0,12261,11866,"Balmain
TIGERS","St George
DRAGONS",10,2R,False
0,5965,11866,"St George
DRAGONS","Balmain
TIGERS",11,FR,False
0,10744,11866,"Balmain
TIGERS","St George
DRAGONS",11,FR,False
0,5977,11866,"St George
DRAGONS","Balmain
TIGERS",12,HK,False
0,12319,11866,"Balmain
TIGERS","St George
DRAGONS",12,HK,False
0,5968,11866,"St George
DRAGONS","Balmain
TIGERS",13,FR,False
0,10625,11866,"Balmain
TIGERS","St George
DRAGONS",13,FR,False
0,5972,11865,"South Sydney
RABBITOHS","Parramatta
EELS",1,FB,True
0,10662,11865,"Parramatta
EELS","South Sydney
RABBITOHS",1,FB,False
0,5991,11865,"South Sydney
RABBITOHS","Parramatta
EELS",2,W,False
0,10728,11865,"Parramatta
EELS","South Sydney
RABBITOHS",2,W,False
0,12062,11865,"South Sydney
RABBITOHS","Parramatta
EELS",3,C,False
0,5984,11865,"Parramatta
EELS","South Sydney
RABBITOHS",3,C,True
0,10717,11865,"South Sydney
RABBITOHS","Parramatta
EELS",4,C,False
0,10475,11865,"Parramatta
EELS","South Sydney
RABBITOHS",4,C,False
0,10687,11865,"South Sydney
RABBITOHS","Parramatta
EELS",5,W,False
0,10747,11865,"Parramatta
EELS","South Sydney
RABBITOHS",5,W,False
0,10722,11865,"South Sydney
RABBITOHS","Parramatta
EELS",6,FE,False
0,11863,11865,"Parramatta
EELS","South Sydney
RABBITOHS",6,FE,False
0,3314,11865,"South Sydney
RABBITOHS","Parramatta
EELS",7,HB,False
0,10627,11865,"Parramatta
EELS","South Sydney
RABBITOHS",7,HB,False
0,12795,11865,"South Sydney
RABBITOHS","Parramatta
EELS",8,L,False
0,232,11865,"Parramatta
EELS","South Sydney
RABBITOHS",8,L,False
0,10572,11865,"South Sydney
RABBITOHS","Parramatta
EELS",9,2R,False
0,10536,11865,"Parramatta
EELS","South Sydney
RABBITOHS",9,2R,False
0,10750,11865,"South Sydney
RABBITOHS","Parramatta
EELS",10,2R,False
0,5974,11865,"Parramatta
EELS","South Sydney
RABBITOHS",10,2R,False
0,10544,11865,"South Sydney
RABBITOHS","Parramatta
EELS",11,FR,False
0,7545,11865,"Parramatta
EELS","South Sydney
RABBITOHS",11,FR,False
0,5987,11865,"South Sydney
RABBITOHS","Parramatta
EELS",12,HK,False
0,5980,11865,"Parramatta
EELS","South Sydney
RABBITOHS",12,HK,False
0,10729,11865,"South Sydney
RABBITOHS","Parramatta
EELS",13,FR,False
0,10789,11865,"Parramatta
EELS","South Sydney
RABBITOHS",13,FR,False
0,5978,11864,"Western Suburbs
MAGPIES","North Sydney
BEARS",1,FB,False
0,5918,11864,"North Sydney
BEARS","Western Suburbs
MAGPIES",1,FB,True
0,10634,11864,"Western Suburbs
MAGPIES","North Sydney
BEARS",2,W,False
0,5975,11864,"North Sydney
BEARS","Western Suburbs
MAGPIES",2,W,False
0,10720,11864,"Western Suburbs
MAGPIES","North Sydney
BEARS",3,C,False
0,10756,11864,"North Sydney
BEARS","Western Suburbs
MAGPIES",3,C,False
0,5929,11864,"Western Suburbs
MAGPIES","North Sydney
BEARS",4,C,True
0,11691,11864,"North Sydney
BEARS","Western Suburbs
MAGPIES",4,C,False
0,5957,11864,"Western Suburbs
MAGPIES","North Sydney
BEARS",5,W,False
0,10504,11864,"North Sydney
BEARS","Western Suburbs
MAGPIES",5,W,False
0,10557,11864,"Western Suburbs
MAGPIES","North Sydney
BEARS",6,FE,False
0,10743,11864,"North Sydney
BEARS","Western Suburbs
MAGPIES",6,FE,False
0,5990,11864,"Western Suburbs
MAGPIES","North Sydney
BEARS",7,HB,False
