,player_id,match_id,team,opposition_team,number,position,captain
0,9857,9970,"Balmain
TIGERS",NEWTOWN,1,FB,False
0,12759,9970,NEWTOWN,"Balmain
TIGERS",1,FB,False
0,5819,9970,"Balmain
TIGERS",NEWTOWN,2,W,True
0,13126,9970,NEWTOWN,"Balmain
TIGERS",2,W,False
0,9771,9970,"Balmain
TIGERS",NEWTOWN,3,C,False
0,9729,9970,NEWTOWN,"Balmain
TIGERS",3,C,False
0,9862,9970,"Balmain
TIGERS",NEWTOWN,4,C,False
0,9714,9970,NEWTOWN,"Balmain
TIGERS",4,C,False
0,9811,9970,"Balmain
TIGERS",NEWTOWN,5,W,False
0,9788,9970,NEWTOWN,"Balmain
TIGERS",5,W,False
0,11578,9970,"Balmain
TIGERS",NEWTOWN,6,FE,False
0,9875,9970,NEWTOWN,"Balmain
TIGERS",6,FE,False
0,9851,9970,"Balmain
TIGERS",NEWTOWN,7,HB,False
0,9748,9970,NEWTOWN,"Balmain
TIGERS",7,HB,False
0,9656,9970,"Balmain
TIGERS",NEWTOWN,8,L,False
0,9715,9970,NEWTOWN,"Balmain
TIGERS",8,L,True
0,9623,9970,"Balmain
TIGERS",NEWTOWN,9,2R,False
0,9871,9970,NEWTOWN,"Balmain
TIGERS",9,2R,False
0,9703,9970,"Balmain
TIGERS",NEWTOWN,10,2R,False
0,9802,9970,NEWTOWN,"Balmain
TIGERS",10,2R,False
0,9763,9970,"Balmain
TIGERS",NEWTOWN,11,FR,False
0,12466,9970,NEWTOWN,"Balmain
TIGERS",11,FR,False
0,5850,9970,"Balmain
TIGERS",NEWTOWN,12,HK,False
0,9865,9970,NEWTOWN,"Balmain
TIGERS",12,HK,False
0,9837,9970,"Balmain
TIGERS",NEWTOWN,13,FR,False
0,5843,9970,NEWTOWN,"Balmain
TIGERS",13,FR,False
0,9839,9972,EASTERN SUBURBS,CANTERBURY BANKSTOWN,1,FB,False
0,9730,9972,CANTERBURY BANKSTOWN,EASTERN SUBURBS,1,FB,False
