,player_id,player_name_comma,player_birthday,total_matches,total_points
0,11000,"AMATTO, Russell",-,1,3
0,10724,"AMBROSE, Bob",-,39,2
0,6080,"AMBRUM, George",1943-02-10,158,164
0,10884,"AMBRUM, John",-,14,3
0,23992,"AMEY, Tyrone",1996-01-20,1,-
0,30868,"AMONE, Talatau",2002-04-10,54,40
0,1448,"AMONE, Tevita",1980-07-08,11,-
0,28634,"AMONE, Tom",1996-12-19,17+,-
0,3520,"AMOS, Clint",1983-08-02,37,-
0,2731,"AMOS, Dean",1977-03-18,7,-
0,11435,"AMOS, Don",-,25,-
0,13444,"AMOS, Page",1893-08-17,2,-
0,2602,"ANAST, Theo",-,2,-
0,143,"ANASTA, Braith",1982-01-14,288,614
0,11454,"ANDERSEN, Martin",1888-10-01,23,6
0,11437,"ANDERSON, A",-,2,-
0,11438,"ANDERSON, Adrian",-,1,-
0,1665,"ANDERSON, Ben",1978-02-03,17,4
0,11452,"ANDERSON, Billy",-,2,-
0,3445,"ANDERSON, Brett",1986-09-08,12,20
0,11196,"ANDERSON, Brian",-,41,9
0,1515,"ANDERSON, Chris",1952-05-28,231,303
0,2721,"ANDERSON, Darren",1973-12-19,11,18
0,2716,"ANDERSON, David",1969-02-03,36,20
0,8779,"ANDERSON, Edwin",1888-01-14,22,6
0,31351,"ANDERSON, Elijah",1999-01-03,1,-
0,10212,"ANDERSON, Eric",-,26,15
0,11443,"ANDERSON, Ern",-,13,-
0,1858,"ANDERSON, Faron",1975-02-14,3,-
0,3721,"ANDERSON, Fraser",1984-04-20,45,52
0,7515,"ANDERSON, Fred",1933-05-22,254,63
0,33447,"ANDERSON, Grant",1999-10-30,26+,48
0,3267,"ANDERSON, Jarrad",1980-03-07,14,94
0,11444,"ANDERSON, Jim",-,2,-
0,11447,"ANDERSON, John",-,5,-
0,11446,"ANDERSON, John",-,1,-
0,10660,"ANDERSON, Ken",-,21,6
0,9090,"ANDERSON, Les",-,13,11
0,170,"ANDERSON, Louis",1985-06-27,67,28
0,11448,"ANDERSON, Mick",-,1,-
0,11449,"ANDERSON, Peter",1912-12-04,1,-
0,20468,"ANDERSON, Sam",1991-03-25,7,-
0,5654,"ANDERSON, Scott",1986-01-08,79,-
0,4099,"ANDERSON, Steve",1961-12-16,36,32
0,9814,"ANDERSON, Ted",1917-03-11,77,73
0,5064,"ANDERSON, Todd",1967-11-02,1,-
0,11451,"ANDERSON, Tom",-,7,3
0,3680,"ANDERSON, Tommy",1887-05-10,32,71
0,12948,"ANDERSON, Vic",1921-09-29,16,3
0,2122,"ANDERSON, Vinnie",1979-02-14,55,52
0,11453,"ANDERSON, W",-,2,-
0,9530,"ANDERTON, Cec",1908-08-24,12,8
0,11455,"ANDERTON, Walter",1910-05-10,4,-
0,10653,"ANDREW, John",1938-03-20,38,33
0,3846,"ANDREWS, Barry",1950-10-15,137,730
0,11457,"ANDREWS, Bertie",-,4,3
0,10019,"ANDREWS, Bob",1919-12-06,62,219
0,11456,"ANDREWS, Fred",1885-06-20,4,-
0,11458,"ANDREWS, Henry",-,15,-
0,1172,"ANDREWS, Michael",1962-03-18,181,98
0,20863,"ANDREWS, Tyson",1990-02-06,4,-
0,11460,"ANGUS, Harold",1892-09-21,15,-
0,10244,"ANGUS, Reg",1924-02-26,8,5
0,11351,"ANNABEL, Bill",1948-09-01,44,3
0,10962,"ANNESLEY, Joe",-,27,68
0,11461,"ANSLOW, Bill",-,2,-
0,4502,"ANSLOW, Jack",-,3,-
0,4397,"ANTONAKOS, Jim",-,1,-
0,4310,"ANTONELLI, Steve",-,5,4
0,2734,"ANTONIK, Nathan",1975-09-29,20,2
0,10885,"ANTUNAC, Tony",-,41,12
0,11408,"APOLONY, Joe",1880-12-25,43,27
0,10906,"APPLEBEE, David",1946-10-17,88,69
0,2606,"APPLEBY, Darren",1967-06-14,13,12
0,1836,"APPLEBY, Michael",1970-07-06,20,12
0,218,"APPO, Graham",1974-07-11,52,182
0,17198,"APPS, Deon",1987-10-12,2,-
0,11420,"AQUILINA, Paul",1937-02-23,6,-
0,3885,"ARBER, Tom",1958-05-21,75,9
0,13445,"ARCHER, Bill",-,7,-
0,11462,"ARCHER, Charles",1889-02-13,2,-
0,11232,"ARCHER, Eric",-,108,105
0,11463,"ARCHER, Stan",-,14,3
0,11464,"ARCHIBALD, John",-,1,-
0,11130,"ARCHIBALD, Peter",-,33,36
0,19418,"AREAIITI, Neccrom",1990-01-12,1,-
0,7524,"ARKEY, Alan",1931-03-26,90,689
0,152,"ARMIT, Chris",1983-10-07,160,20
0,11465,"ARMITSTEAD, Tim",1955-11-12,11,-
0,10615,"ARMOUR, Lindsay",-,69,21
0,10865,"ARMSTRONG, Chris",1943-03-27,5,3
0,35601,"ARMSTRONG, David",2001-04-09,5,20
0,5853,"ARMSTRONG, Jim",1917-07-14,82,92
0,38640,"ARMSTRONG, John",1945-11-04,137,86
0,11466,"ARMSTRONG, Kevin",-,3,-
0,10476,"ARMSTRONG, Peter",-,57,24
0,11467,"ARMSTRONG, Ray",-,29,-
0,3997,"ARMSTRONG, Tony",1958-07-08,64,372
0,3898,"ARNEIL, Shane",1961-07-25,49,24
0,11468,"ARNEMAN, Carl",1907-08-24,48,36
0,9742,"ARNOLD, Jack",1919-09-30,118,115
0,16759,"ARONA, Tinirau",1989-05-08,69,24
0,22749,"ARROW, Jai",1995-07-12,154+,42
0,13446,"ARROWSMITH, Albert",1887-10-09,1,-
0,28480,"ARTHARS, Jesse",1998-08-07,80+,112
0,30903,"ARTHUR, Jakob",2002-09-27,28+,16
0,9037,"ARTHUR, Les",1894-11-22,6,9
0,44829,"ARTHUR, Matthew",2005-02-04,3+,-
0,10382,"ARTHURSON, Ken",1929-10-01,41,42
0,3177,"ASBOCK, Mark",1977-04-07,3,8
0,10551,"ASHCROFT, Ken",1938-04-25,146,15
0,8986,"ASHLEY, Jack",1890-05-14,4,2
0,10816,"ASHLEY, Kevin",1941-07-06,105,163
0,11173,"ASHMORE, Allan",1949-07-11,15,15
0,5909,"ASHTON, Ferris",1926-08-21,84,60
0,8243,"ASHURST, Bill",1948-04-12,46,165
0,11469,"ASHWORTH, Charles",1897-02-28,2,-
0,11370,"ASHWORTH, Tony",1954-11-07,3,3
0,29916,"ASI, Daejarn",2000-08-15,42,59
0,20830,"ASIATA, John",1993-04-19,138,20
0,1675,"ASIMUS, Scott",1976-03-27,7,-
0,21509,"ASOFA-SOLOMONA, Nelson",1996-02-29,203+,128
0,147,"ASOTASI, Roy",1982-01-06,217,80
0,11470,"ASTORQUIA, Adrian",1943-10-28,3,-
0,11471,"ATHERDEN, George",1923-01-04,1,-
0,1102,"ATKINS, Brett",1964-08-05,62,24
0,1656,"ATKINS, David",1978-07-08,30,4
0,3976,"ATKINS, Graeme",1956-06-09,179,204
0,7427,"ATKINS, Jordan",1983-01-22,42,44
0,11472,"ATKINS, Lloyd",1915-07-27,1,-
0,11473,"ATKINS, Noel",-,3,-
0,3455,"ATKINS, Paul",1982-12-17,1,-
0,1688,"ATKINSON, Brett",1976-09-06,14,12
0,31369,"ATKINSON, Daniel",2001-01-15,21+,50
0,10238,"ATKINSON, Milton",1926-04-17,57,51
0,11474,"ATKINSON, Perc",1909-10-09,40,-
0,10704,"ATKINSON, Peter",1942-01-02,5,3
0,11475,"ATKINSON, Stan",1904-04-05,1,-
0,26149,"ATONI, Renouf",1995-06-25,43,12
0,11476,"ATTARD, Randy",-,1,-
0,11477,"ATWELL, Gerry",1917-01-16,2,-
0,5543,"AUBUSSON, James",1986-12-14,58,12
0,5553,"AUBUSSON, Mitchell",1987-10-01,306,272
0,10263,"AUSTIN, Alf",1927-03-30,23,18
0,17317,"AUSTIN, Blake",1991-02-01,122,195
0,2628,"AUSTIN, Greg",1963-06-14,15,36
0,2257,"AUSTIN, Jason",-,2,-
0,11478,"AUSTIN, John",1895-04-28,8,-
0,9110,"AUSTIN, William",1897-05-02,5,6
0,20254,"AUVA'A, Kirisome",1992-02-23,61,84
0,29766,"AVERILLO, Jake",2000-08-11,101+,246
0,1551,"AYLIFFE, Royce",1956-11-01,162,64
0,8930,"AYLING, John",1895-03-03,18,6
0,13896,"AYSHFORD, Blake",1988-04-15,174,188
0,11479,"AYSHFORD, Bruce",1948-04-16,15,-
0,3146,"AZZI, George",1982-05-05,1,-
0,9804,"BABER, Fred",1918-01-25,30,24
0,28029,"BABER, Fred",-,1,-
0,10832,"BABER, Rick",-,9,6
0,16876,"BACCHETTO, Bruce",-,1,-
0,879,"BACKO, Sam",1961-01-01,134,72
0,42338,"BAGGOTT, Leo",1901-09-12,2,-
0,983,"BAGNALL, Geoff",1965-11-04,55,12
0,11480,"BAGOT, Arthur",1889-07-18,6,-
0,11482,"BAGWILL, Phillip",-,4,-
0,1254,"BAI, Marcus",1972-10-14,162,302
0,446,"BAILDON, David",1971-01-26,25,24
0,7494,"BAILEY, Bill",1931-08-19,21,18
0,11484,"BAILEY, C",-,1,-
0,3706,"BAILEY, Chris",1982-07-05,75,68
0,2943,"BAILEY, David",1969-12-05,3,4
