,ref_id,ref_name_comma,ref_name,ref_birthday
0,42337,"KEOUGH, Kevin",Kevin Keough,
0,42251,"KERR, Ted",Ted Kerr,
0,42116,"KLEIN, Ashley",Ashley Klein,6 Sep 1979
0,42306,"KONNECKE, A",A Konnecke,
0,42185,"LANCASHIRE, Don",Don Lancashire,3 Oct 1932
0,42325,"LANE, George",George Lane,
0,10157,"LANGTON, Carl",Carl Langton,29 Jun 1920
0,42613,"LARKIN, Edward",Edward Larkin,
0,42265,"LATTA, Jack",Jack Latta,7 Apr 1909
0,42175,"LAWLER, Darcy",Darcy Lawler,
0,42082,"LAWRENCE, Rod",Rod Lawrence,
0,20766,"LEE, Phil",Phil Lee,
0,42068,"LEWIS, Mick",Mick Lewis,
0,42340,"LEWIS, Richard",Richard Lewis,
0,42254,"LONG, W",W Long,
0,42307,"LUPTON, A",A Lupton,
0,42088,"LYONS, Steve",Steve Lyons,
0,42284,"McALISTER, Neil",Neil McAlister,
0,42062,"McBLANE, Paul",Paul McBlane,
0,42098,"McCALLUM, Greg",Greg McCallum,
0,10423,"McCARROLL, Phil",Phil McCarroll,
0,42222,"McDERMOTT, M",M McDermott,
0,42334,"McGAULEY, Joe",Joe McGauley,
0,9127,"McGRATH, Chris",Chris McGrath,
0,12451,"McINTOSH, Thomas",Thomas McIntosh,15 Mar 1882
0,6065,"McKEAN, Allan",Allan McKean,11 Dec 1942
0,42347,"McMAHON JNR, Tom",Tom McMahon Jnr,
0,42348,"McMAHON SNR, Tom",Tom McMahon Snr,
0,42341,"McMILLAN, R",R McMillan,
0,42276,"MacDONALD, Don",Don MacDonald,
0,42069,"MAKSOUD, Tony",Tony Maksoud,
0,42311,"MALONEY, B",B Maloney,
0,42060,"MANDER, Tim",Tim Mander,
0,42061,"MANSON, David",David Manson,
0,42135,"MAXWELL, Jared",Jared Maxwell,
0,42332,"MERCER, J",J Mercer,
0,42252,"MILLER, J",J Miller,
0,44735,"MILLER, Paul",Paul Miller,
0,42231,"MILLINGTON, Horrie",Horrie Millington,
0,42255,"MILLS, H",H Mills,
0,42466,"MORRIS, Gavin",Gavin Morris,
0,42495,"MUNRO, David",David Munro,30 Apr 1980
0,9182,"MURPHY, Joe",Joe Murphy,
0,42247,"MURRAY, Joe",Joe Murray,
0,42342,"MUSGRAVE, R",R Musgrave,
0,42154,"NASH, Steve",Steve Nash,
0,42188,"NAUGHTON, Mick",Mick Naughton,
0,8620,"NEILL, William",William Neill,21 Jun 1884
0,42268,"NEVILLE, Arthur",Arthur Neville,
0,42318,"NICHOLSON, Dudley",Dudley Nicholson,
0,42243,"NORMAN, E",E Norman,
0,42229,"NORTON, A",A Norton,
0,42650,"NOYEN, Matt",Matt Noyen,
0,42064,"OATEN, Mark",Mark Oaten,
0,42266,"O'BRIEN, Jack",Jack O'Brien,
0,42146,"O'DONNELL, Giles",Giles O'Donnell,
0,42299,"O'DONNELL, Ray",Ray O'Donnell,
0,42141,"O'KEEFE, David",David O'Keefe,
0,3584,"O'MALLEY, Larry",Larry O'Malley,2 Apr 1883
0,13238,"OXFORD, Aub",Aub Oxford,31 Oct 1914
0,42186,"PAGE, Keith",Keith Page,
0,10063,"PARKINSON, Keith",Keith Parkinson,6 Feb 1919
0,42092,"PARNABY, Ian",Ian Parnaby,
0,42183,"PEARCE, Col",Col Pearce,
0,42346,"PEPPER, Ted",Ted Pepper,
0,1692,"PERENARA, Henry",Henry Perenara,16 Jun 1980
0,42308,"PERRY, Albert",Albert Perry,
0,12456,"PHELAN, Tom",Tom Phelan,27 Jun 1881
0,2693,"PHILLIPS, Luke",Luke Phillips,4 Aug 1975
0,42153,"PIERSE, Peter",Peter Pierse,
0,42224,"POULTON, Harry",Harry Poulton,
0,42748,"PRZEKLASA-ADAMSKI, Zbignew",Zbignew 'Ziggy' Przeklasa-Adamski,1 Dec 1986
0,42335,"RASCAGNERES, Julien",Julien Rascagneres,
0,43005,"RAYMOND, Wyatt",Wyatt Raymond,
0,42464,"REYNOLDS, Gavin",Gavin Reynolds,
0,42084,"RICHARDS, Stephen",Stephen Richards,
0,10679,"ROBERTS, Kevin",Kevin 'Bilko' Roberts,11 Sep 1941
0,42326,"ROBINSON, G",G Robinson,
0,42089,"ROBINSON, Jason",Jason Robinson,
0,42480,"ROBY, Tim",Tim Roby,15 Aug 1989
0,8706,"RUSSELL, Charlie",Charlie Russell,5 Dec 1883
0,42270,"SAMUELSON, Les",Les Samuelson,
0,42219,"SEABROOK, George",George Seabrook,
0,42916,"SHARPE, Belinda",Belinda Sharpe,
0,42228,"SHAW, E",E Shaw,
0,42290,"SHINER, Austin",Austin Shiner,
0,42288,"SHIPTON, Bruce",Bruce Shipton,
0,42248,"SHIRLEY, C",C Shirley,
0,42292,"SHORTALL, Alan",Alan Shortall,
0,42073,"SIMPKINS, Paul",Paul Simpkins,
0,42508,"SMITH, Ian",Ian Smith,
0,42094,"SMITH, Russell",Russell Smith,24 Jan 1964
0,42915,"SMITH, Todd",Todd Smith,
0,42343,"SMYTH, Ray",Ray Smyth,
