,player_id,player_name1,player_name2,birthday,birthplace
0,5542,Israel FOLAU,Israel Folau,"Monday, 3rd April, 1989","Minto, New South Wales, Australia"
0,5543,James AUBUSSON,James Aubusson,"Sunday, 14th December, 1986","Sydney, New South Wales, Australia"
0,5545,Junior MOORS,Junior Moors,"Wednesday, 30th July, 1986","Auckland, Auckland, New Zealand"
0,5546,Jacob SELMES,Jacob Selmes,"Thursday, 13th February, 1986","Katoomba, New South Wales, Australia"
0,3509,Michael DOBSON,Michael Dobson,"Thursday, 29th May, 1986","Junee, New South Wales, Australia"
0,5547,James McMANUS,James McManus,"Wednesday, 15th January, 1986","Banff, Aberdeenshire, Scotland"
0,5560,Terence SEUSEU,Terence Seuseu,"Friday, 20th November, 1987","Auckland, Auckland, New Zealand"
0,5548,Josh MORRIS,Josh Morris,"Saturday, 23rd August, 1986","Kiama, New South Wales, Australia"
0,5549,Keith LULIA,Keith Lulia,"Wednesday, 17th June, 1987","Wollongong, New South Wales, Australia"
0,5550,Richard WILLIAMS,Richard Williams,"Saturday, 31st May, 1986",
0,5551,Dan HUNT,Dan Hunt,"Monday, 8th September, 1986","Sydney, New South Wales, Australia"
0,5552,Shaun KENNY-DOWALL,Shaun Kenny-Dowall,"Saturday, 23rd January, 1988","Brisbane, Queensland, Australia"
0,5553,Mitchell AUBUSSON,Mitchell Aubusson,"Thursday, 1st October, 1987","Sydney, New South Wales, Australia"
0,5563,Michael JENNINGS,Michael Jennings,"Wednesday, 20th April, 1988","Blacktown, New South Wales, Australia"
0,5561,Chase STANLEY,Chase Stanley,"Wednesday, 31st May, 1989","Sydney, New South Wales, Australia"
0,5555,Cory PATERSON,Cory Paterson,"Tuesday, 14th July, 1987","Perth, Western Australia, Australia"
0,5562,Lagi SETU,Lagi Setu,"Thursday, 25th February, 1988","Auckland, Auckland, New Zealand"
0,5557,Matt BALLIN,Matt Ballin,"Thursday, 5th January, 1984","Nanango, Queensland, Australia"
0,5635,Clint HALDEN,Clint Halden,"Tuesday, 20th January, 1981","Barellan, New South Wales, Australia"
0,5558,Joe PICKER,Joe Picker,"Monday, 7th December, 1987","Bigga, New South Wales, Australia"
0,5564,Ryan SHORTLAND,Ryan Shortland,"Monday, 27th January, 1986","Masterton, Wellington, New Zealand"
0,5565,Mitchell PEARCE,Mitchell Pearce,"Friday, 7th April, 1989","Sydney, New South Wales, Australia"
0,5559,John TE REO,John Te Reo,"Thursday, 5th June, 1986","Wellington, Wellington, New Zealand"
0,5567,Chris HOUSTON,Chris Houston,"Friday, 15th February, 1985","Narooma, New South Wales, Australia"
0,5568,Jackson NICOLAU,Jackson Nicolau,"Sunday, 19th July, 1987","Mount Isa, Queensland, Australia"
0,5569,Willie BROWN,Willie Brown,"Sunday, 21st January, 1979",
0,5570,Sam TAGATAESE,Sam Tagataese,"Monday, 8th December, 1986","Wellington, Wellington, New Zealand"
0,5571,Scott BOLTON,Scott Bolton,"Saturday, 9th May, 1987","Innisfail, Queensland, Australia"
