,player_id,player_name1,player_name2,birthday,birthplace
0,9849,Dick JOHNSON,Dick Johnson,"Saturday, 1st January, 1916","Quirindi, New South Wales, Australia"
0,9811,Jack WINCHESTER,Jack Winchester,"Friday, 4th January, 1918","Leichhardt, New South Wales, Australia"
0,9807,Jim QUEALEY,Jim Quealey,"Wednesday, 20th June, 1917","Sydney, New South Wales, Australia"
0,10085,Allan SCHAFER,Allan Schafer,"Friday, 4th February, 1916","Bega, New South Wales, Australia"
0,9823,Ray BYRNE,Ray Byrne,,
0,9800,Lionel PAWLEY,Lionel Pawley,"Monday, 9th April, 1917",
0,9801,Ray PRATT,Ray Pratt,"Sunday, 14th March, 1915","Newtown, New South Wales, Australia"
0,9821,Jack LINDWALL,Jack Lindwall,"Friday, 20th December, 1918","Mascot, New South Wales, Australia"
0,9812,Reg HOPKINSON,Reg Hopkinson,"Saturday, 17th February, 1917","Lithgow, New South Wales, Australia"
0,11767,Jack CHARLES,Jack Charles,"Wednesday, 7th June, 1916","Goulburn, New South Wales, Australia"
0,9858,Jim SCHUBACK,Jim Schuback,"Saturday, 24th February, 1912","Bega, New South Wales, Australia"
0,12368,Herb GILBERT,Herb Gilbert,"Sunday, 13th May, 1917","Kogarah, New South Wales, Australia"
0,11679,Fred BULGER,Fred Bulger,"Monday, 10th March, 1913","Ryde, New South Wales, Australia"
0,9805,Jim CHAMPION,Jim Champion,"Saturday, 28th June, 1913","Lithgow, New South Wales, Australia"
0,9824,Herb DHU,Herb Dhu,"Sunday, 12th August, 1917","Maclean, New South Wales, Australia"
0,9820,C COMBER,C Comber,,
0,9814,Ted ANDERSON,Ted 'Bear' Anderson,"Sunday, 11th March, 1917","Maitland, New South Wales, Australia"
0,12519,Donald HASLETT,Donald Haslett,"Tuesday, 29th June, 1915","Mudgee, New South Wales, Australia"
0,9832,Bruce McPHAIL,Bruce McPhail,"Wednesday, 26th May, 1915",
0,13267,Jack PEARSON,Jack Pearson,,
0,9860,Roy KIRKALDY,Roy Kirkaldy,"Saturday, 26th March, 1910",
0,12829,Jim KERSLAKE,Jim Kerslake,"Friday, 8th August, 1913","Sydney, New South Wales, Australia"
0,9803,Jack DANZEY,Jack Danzey,"Thursday, 8th March, 1917","Newtown, New South Wales, Australia"
0,9804,Fred BABER,Fred Baber,"Friday, 25th January, 1918","Newcastle, New South Wales, Australia"
0,12968,Ern MARTIN,Ern Martin,"Wednesday, 9th February, 1910",
0,9815,Athol STEWART,Athol Stewart,"Monday, 7th April, 1919","Bombala, New South Wales, Australia"
0,10040,Lew FISHER,Lew Fisher,"Thursday, 2nd December, 1915","Sydney, New South Wales, Australia"
0,9875,Frank CHRISTENSEN,Frank Christensen,"Tuesday, 2nd April, 1918","Glebe, New South Wales, Australia"
0,9909,George LUCAS,George 'Butcher' Lucas,"Sunday, 2nd September, 1917","Five Dock, New South Wales, Australia"
0,5843,Frank FARRELL,Frank Farrell,"Saturday, 16th September, 1916","Surry Hills, New South Wales, Australia"
0,11746,Roy CARROLL,Roy Carroll,"Wednesday, 6th January, 1915","Sydney, New South Wales, Australia"
0,5848,Edgar NEWHAM,Edgar Newham,"Sunday, 19th July, 1914","Cowra, New South Wales, Australia"
0,9825,Colin FEWTRELL,Colin Fewtrell,"Tuesday, 10th July, 1917","Sydney, New South Wales, Australia"
0,9945,Aiden CAIRNS,Aiden Cairns,"Tuesday, 15th August, 1916","Bulli, New South Wales, Australia"
0,9845,Bernard MURPHY,Bernard Murphy,"Wednesday, 10th June, 1914","Gundagai, New South Wales, Australia"
0,12688,Bill SCHMIDT,Bill Schmidt,"Sunday, 27th February, 1921","Sunshine Coast, Queensland, Australia"
0,9809,Frank McCANN,Frank McCann,,
0,9827,Dick DUNN,Dick Dunn,"Tuesday, 10th August, 1920","Woollahra, New South Wales, Australia"
0,9817,Jack McCARTHY,Jack McCarthy,"Thursday, 15th October, 1914","Wagga Wagga, New South Wales, Australia"
0,9818,Jack BROWN,Jack Brown,,
0,9946,Jack SULLIVAN,Jack Sullivan,,
0,12103,Tom VOSE,Tom Vose,"Sunday, 15th October, 1916","Redfern, New South Wales, Australia"
0,13166,Eric NEVILLE,Eric Neville,"Wednesday, 5th November, 1913","Singleton, New South Wales, Australia"
0,11870,Phil COOPER,Phil Cooper,"Monday, 19th February, 1917","Ashfield, New South Wales, Australia"
0,13229,Jack OSBORNE,Jack 'Turk' Osborne,"Friday, 5th January, 1917","Marrickville, New South Wales, Australia"
0,13126,Alan McLACHLAN,Alan McLachlan,,
0,11801,Jack COLE,Jack Cole,"Saturday, 27th May, 1916","Chatswood, New South Wales, Australia"
0,9830,Cal LYNCH,Cal Lynch,"Tuesday, 5th January, 1915","Tumut, New South Wales, Australia"
0,12846,Les KNIGHT,Les 'Digger' Knight,"Friday, 2nd April, 1915","Sydney, New South Wales, Australia"
0,9840,Cliff NOBLE,Cliff Noble,"Sunday, 17th November, 1918","Redfern, New South Wales, Australia"
0,9822,J FULHAM,J Fulham,,
0,9851,Darcy KEARNEY,Darcy Kearney,"Sunday, 2nd June, 1918","Queanbeyan, New South Wales, Australia"
0,9881,Dave ROSS,Dave Ross,"Monday, 29th October, 1917","Sydney, New South Wales, Australia"
0,12672,Fred SALMON,Fred Salmon,"Sunday, 17th January, 1904","Darlinghurst, New South Wales, Australia"
0,9828,Leo TUTTY,Leo Tutty,"Thursday, 18th December, 1913","Gundagai, New South Wales, Australia"
0,9836,Cliff McDONALD,Cliff McDonald,"Monday, 7th May, 1917","Petersham, New South Wales, Australia"
0,9837,Dawson BUCKLEY,Dawson Buckley,"Saturday, 24th March, 1917","Summer Hill, New South Wales, Australia"
0,12676,Jimmy SANDS,Jimmy Sands,"Thursday, 20th March, 1919","Canowindra, New South Wales, Australia"
0,9829,Gordon HART,Gordon Hart,"Monday, 17th March, 1919","St Peters, New South Wales, Australia"
0,13272,Bob PERKINS,Bob Perkins,,
0,9869,Doug BARTLETT,Doug Bartlett,"Thursday, 15th October, 1914",
0,9833,Alby McANDREW,Alby McAndrew,"Monday, 29th November, 1920","Woodburn, New South Wales, Australia"
0,9861,Noel HOLLINGDALE,Noel Hollingdale,"Saturday, 15th July, 1911",
0,5850,George WATT,George Watt,"Saturday, 28th April, 1917","Balmain, New South Wales, Australia"
0,12677,Keith SANDS,Keith Sands,"Saturday, 27th November, 1915","Orange, New South Wales, Australia"
0,11508,George BARR,George Barr,"Friday, 6th April, 1917","Balmain, New South Wales, Australia"
0,11774,Malcolm CHIN,Malcolm Chin,"Monday, 14th October, 1918","Balmain, New South Wales, Australia"
0,11666,Bill BROWN,Bill Brown,"Thursday, 15th June, 1916","Arncliffe, New South Wales, Australia"
0,9880,Jack PIPER,Jack Piper,"Thursday, 13th July, 1916","Canterbury, New South Wales, Australia"
0,9850,Bill KEATO,Bill Keato,"Sunday, 3rd November, 1918","Alexandria, New South Wales, Australia"
0,11977,Neil WHITTAKER,Neil Whittaker,"Wednesday, 7th June, 1916","Oatley, New South Wales, Australia"
0,9839,Jim NORTON,Jim Norton,"Friday, 2nd April, 1915",
0,9848,Laurie PICKUP,Laurie Pickup,"Wednesday, 8th March, 1916",
0,12944,Vincent MAHBOUB,Vincent Mahboub,"Thursday, 17th October, 1918","Redfern, New South Wales, Australia"
0,13350,Leo REILLY,Leo Reilly,"Sunday, 15th August, 1915","Paddington, New South Wales, Australia"
0,9847,Percy DERMOND,Percy Dermond,"Tuesday, 31st December, 1918",
0,9852,Alan TUOHEY,Alan Tuohey,"Saturday, 31st August, 1918","Sydney, New South Wales, Australia"
0,13096,Rod McFARLANE,Rod McFarlane,,
0,9843,Dave McERLANE,Dave McErlane,"Tuesday, 20th October, 1914","Glasgow, City of Glasgow, Scotland"
0,9842,Hilton CURRAN,Hilton 'Snowy' Curran,"Sunday, 15th November, 1914","Adelong, New South Wales, Australia"
0,11758,Albert CATT,Albert Catt,"Wednesday, 10th July, 1918","Sydney, New South Wales, Australia"
0,11617,George BOYD,George Boyd,,
0,9853,Jim DUNCOMBE,Jim Duncombe,"Sunday, 23rd December, 1906","Lismore, New South Wales, Australia"
0,11552,Frank BELL,Frank Bell,"Monday, 16th October, 1916",
0,12403,Jack GRAINGER,Jack Grainger,"Tuesday, 6th August, 1918","Leyton, Greater London, England"
0,12061,David WOODS,David Woods,,
0,9867,Jack KADWELL,Jack Kadwell,"Friday, 20th December, 1918","Sydney, New South Wales, Australia"
0,12690,Bill SCHOFIELD,Bill Schofield,,
0,12877,Albert LEE,Albert Lee,,
