,player_id,player_name1,player_name2,birthday,birthplace
0,8785,Stanley WALL,Stanley Wall,"Tuesday, 2nd April, 1889","Windsor, New South Wales, Australia"
0,8777,Dave GARLICK,Dave Garlick,"Sunday, 23rd January, 1887","Melbourne, Victoria, Australia"
0,12217,P THOMPSON,P Thompson,,
0,8808,Tom MAHER,Tom Maher,"Saturday, 12th November, 1881","Warialda, New South Wales, Australia"
0,20788,Harry GILBERT,Harry Gilbert,"Friday, 7th September, 1888","Sydney, New South Wales, Australia"
0,8835,Charles CUBITT,Charles Cubitt,"Tuesday, 14th October, 1890","Sydney, New South Wales, Australia"
0,8799,Tom GLEESON,Tom Gleeson,"Wednesday, 15th May, 1889","Kempsey, New South Wales, Australia"
0,8823,Jack TULLY,Jack Tully,"Tuesday, 1st December, 1885","Mullumbimby, New South Wales, Australia"
0,5379,Les CUBITT,Les 'Boxhead' Cubitt,"Monday, 31st October, 1892","Sydney, New South Wales, Australia"
0,11642,Harry BRIGHTON,Harry Brighton,1881,"Bristol, Bristol, England"
0,5384,Frank BURGE,Frank Burge,"Tuesday, 14th August, 1894","Redfern, New South Wales, Australia"
0,8801,Alf JOASS,Alf Joass,"Tuesday, 1st January, 1884","Glebe, New South Wales, Australia"
0,8813,William MÜLLER,William Müller,"Monday, 13th May, 1889","Balmain, New South Wales, Australia"
0,8857,Fred KINGHORN,Fred Kinghorn,"Wednesday, 25th July, 1883",
0,8776,Fred STRICKLAND,Fred Strickland,"Wednesday, 11th January, 1888",
0,8802,George MUNCE,George Munce,"Friday, 10th June, 1887","Coonamble, New South Wales, Australia"
0,13498,Robert STUART,Robert Stuart,"Monday, 13th June, 1887","Annandale, New South Wales, Australia"
0,13186,T NOLAN,T Nolan,,
0,8781,Roy FARNSWORTH,Roy Farnsworth,"Saturday, 26th March, 1892","Marrickville, New South Wales, Australia"
0,8783,Wes GRAHAM,Wes Graham,,
0,12764,R SMITH,R Smith,,
0,12560,Bill HILLIARD,Bill 'Dutchy' Hilliard,"Friday, 3rd February, 1888","Sydney, New South Wales, Australia"
0,8837,Joe RITCHIE,Joe Ritchie,1881,
0,8787,Charles McMURTRIE,Charles 'Jeff' McMurtrie,"Wednesday, 1st May, 1878","Orange, New South Wales, Australia"
0,13120,W McKAY,W McKay,,
0,11823,Owen McCARTHY,Owen McCarthy,"Sunday, 26th November, 1882","Eden, New South Wales, Australia"
0,8780,Os BROWN,Os Brown,"Sunday, 4th August, 1889","Newcastle, New South Wales, Australia"
0,5378,Herb GILBERT,Herb Gilbert,"Sunday, 18th September, 1887","Gulgong, New South Wales, Australia"
0,5423,Tom BERECRY,Tom Berecry,"Tuesday, 15th June, 1886","Ashfield, New South Wales, Australia"
0,8779,Edwin ANDERSON,Edwin Anderson,"Saturday, 14th January, 1888","Newtown, New South Wales, Australia"
0,8778,Harry NICHOLLS,Harry Nicholls,,
0,11485,Joshua BAILEY,Joshua Bailey,"Tuesday, 23rd December, 1879","Halifax, West Yorkshire, England"
0,8805,Eddie HILLEARD,Eddie Hilleard,"Monday, 11th October, 1886","Liverpool, New South Wales, Australia"
0,12414,Nimrod GREENWOOD,Nimrod Greenwood,"Friday, 14th March, 1884","Mudgee, New South Wales, Australia"
0,13146,Ken McPHEE,Ken McPhee,"Thursday, 9th May, 1889","Strathfield, New South Wales, Australia"
0,8925,James WOODWARD,James Woodward,1889,England
0,8786,C STEWART,C Stewart,,
0,8793,Michael O'SULLIVAN,Michael O'Sullivan,,
0,8849,William JOASS,William Joass,"Monday, 6th September, 1886","Waterloo, New South Wales, Australia"
0,8784,W GLOVER,W Glover,,
0,8794,W KIRK,W Kirk,,
0,8873,Arthur GILLETT,Arthur Gillett,"Thursday, 6th May, 1886","St Peters, New South Wales, Australia"
0,8810,Gus WIDMER,Gus Widmer,,
0,8807,Jack REDMOND,Jack Redmond,"Tuesday, 2nd September, 1890","Glebe, New South Wales, Australia"
0,8877,William GEOGHEGAN,William Geoghegan,"Saturday, 24th January, 1891","Leichhardt, New South Wales, Australia"
0,8811,Charlie COLLIER,Charlie Collier,"Saturday, 17th September, 1887","Woollahra, New South Wales, Australia"
0,12211,Harold THOMPSON,Harold 'Hack' Thompson,"Saturday, 16th September, 1893","Redfern, New South Wales, Australia"
0,8818,Vic WEST,Vic West,"Friday, 19th April, 1889","St Peters, New South Wales, Australia"
0,20789,Oliver GRIFFIN,Oliver Griffin,"Thursday, 14th February, 1884","Redfern, New South Wales, Australia"
0,8846,Lal DEANE,Lal Deane,"Tuesday, 2nd August, 1892","North Sydney, New South Wales, Australia"
0,20791,W H JOHNSON,W H Johnson,,
0,8830,Jack NIELSEN,Jack Nielsen,"Thursday, 26th June, 1884","Westport, West Coast, New Zealand"
0,8809,Charlie LEES,Charlie Lees,"Saturday, 24th September, 1887","Woollahra, New South Wales, Australia"
0,8904,Claude NICHOLSON,Claude Nicholson,"Sunday, 30th October, 1892",
0,8891,Jim McCUE,Jim McCue,,
0,12630,M JACOBSEN,M Jacobsen,,
0,6482,Billy MITCHELL,Billy Mitchell,"Friday, 28th November, 1890","Melbourne, Victoria, Australia"
0,8869,Robert FRASER,Robert Fraser,1889,"Sydney, New South Wales, Australia"
0,12376,John GILMORE,John Gilmore,"Sunday, 8th June, 1884",
0,8816,W KELLY,W Kelly,,
0,8815,Arthur DONNELLY,Arthur Donnelly,"Sunday, 20th March, 1892","North Sydney, New South Wales, Australia"
0,13002,Walter MILNE,Walter Milne,"Tuesday, 5th August, 1884",New Zealand
0,11875,Harold CORBETT,Harold 'Snowy' Corbett,"Thursday, 13th March, 1890","Waterloo, New South Wales, Australia"
0,14230,George MACKAY,George Mackay,,
0,8879,William DALTON,William Dalton,"Monday, 7th May, 1888",
0,8817,Jack CUNNINGHAM,Jack Cunningham,1884,
0,8872,Dan KELLY,Dan Kelly,,
0,13173,H NICHOLLS,H Nicholls,,
0,13402,E RODNEY,E Rodney,,
0,5381,Albert JOHNSTON,Albert Johnston,"Tuesday, 10th May, 1892",
0,13488,John DONNELLY,John Donnelly,"Saturday, 12th January, 1895","North Sydney, New South Wales, Australia"
0,11618,W BOYD,W Boyd,,
0,8840,Frank MOORE,Frank Moore,,
0,8831,Harry COLEMAN,Harry Coleman,,
0,8819,R LANE,R Lane,,
0,8896,Phil REGAN,Phil Regan,"Sunday, 31st January, 1892","Glebe, New South Wales, Australia"
0,8800,Bob THOMPSON,Bob Thompson,,
0,8901,George REYNOLDS,George 'Ranji' Reynolds,1886,"St Leonards, New South Wales, Australia"
0,12422,H GROVES,H Groves,,
0,52175,Alfred SMITH,Alfred Smith,"Saturday, 14th February, 1891","Redfern, New South Wales, Australia"
0,8867,H MURPHY,H Murphy,,
0,8828,Wally DYMANT,Wally Dymant,"Sunday, 16th December, 1888","Sydney, New South Wales, Australia"
0,8827,Norman LEARY,Norman Leary,,
0,8845,Jack BAKER,Jack Baker,"Tuesday, 19th August, 1890","Picton, New South Wales, Australia"
0,11704,Tommy BUTLER,Tommy 'Tommy' Butler,"Saturday, 13th October, 1888","Alexandria, New South Wales, Australia"
0,13397,F ROBSON,F Robson,1884,England
0,8911,Stan LLOYD,Stan Lloyd,1888,"Chatswood, New South Wales, Australia"
0,8825,Richard WATSON,Richard Watson,,
0,8824,W ORR,W Orr,,
0,8832,W NIGHTINGALE,W Nightingale,,
0,20792,Alfred BERRY,Alfred Berry,"Friday, 29th March, 1889","Ryde, New South Wales, Australia"
