,player_id,player_name1,player_name2,birthday,birthplace
0,9139,Roy CRIPPS,Roy Cripps,"Tuesday, 14th September, 1897",
0,9141,Hector COURTENAY,Hector Courtenay,"Sunday, 7th March, 1897","Waterloo, New South Wales, Australia"
0,9155,Noel SLIGAR,Noel Sligar,"Thursday, 8th February, 1900","Boorowa, New South Wales, Australia"
0,12272,Vic FETHERSTONE,Vic Fetherstone,"Thursday, 14th May, 1896","Newcastle, New South Wales, Australia"
0,9149,Norm SHADLOW,Norm Shadlow,,
0,5727,George CARSTAIRS,George Carstairs,"Sunday, 25th March, 1900","Rozelle, New South Wales, Australia"
0,9177,Ernie LAPHAM,Ernie Lapham,"Tuesday, 2nd July, 1901","Sydney, New South Wales, Australia"
0,12275,Sid FIELD,Sid Field,,
0,9137,Bryan MOLONEY,Bryan 'Mick' Moloney,"Friday, 22nd March, 1901","Sydney, New South Wales, Australia"
0,9161,Fred FUNNELL,Fred Funnell,,
0,12017,Ern WILLMOTT,Ern Willmott,"Saturday, 10th December, 1898","Waterloo, New South Wales, Australia"
0,5774,Frank McMILLAN,Frank 'Skinny' McMillan,"Thursday, 14th December, 1899","Menindee, New South Wales, Australia"
0,12544,Lew HEUSCHKEL,Lew Heuschkel,,
0,5770,Benny WEARING,Benny Wearing,"Monday, 11th June, 1900","Redfern, New South Wales, Australia"
0,9140,Eric DOIG,Eric 'Snug' Doig,"Monday, 11th January, 1897","Lithgow, New South Wales, Australia"
0,9142,Joshua PLUMB,Joshua Plumb,"Monday, 7th June, 1897",New Zealand
0,12592,Robert HOWELL,Robert 'Bobby' Howell,"Thursday, 13th August, 1896","Burwood, New South Wales, Australia"
0,10048,Frank WILKINS,Frank Wilkins,"Friday, 2nd July, 1897","Waterloo, New South Wales, Australia"
0,9219,Eddie STAPLETON,Eddie Stapleton,"Friday, 17th April, 1896","Newcastle, New South Wales, Australia"
0,12402,E GRAINGER,E Grainger,,
0,9144,Billy LANE,Billy Lane,"Monday, 5th August, 1895","Waterloo, New South Wales, Australia"
0,9150,E WILSON,E Wilson,,
0,9151,Sidney MANSTED,Sidney Mansted,,
0,11700,Frank BURRIDGE,Frank 'Nugget' Burridge,"Sunday, 6th October, 1895","Glebe, New South Wales, Australia"
0,11677,Alexander BUCKLE,Alexander Buckle,"Sunday, 27th August, 1899","Petersham, New South Wales, Australia"
0,11787,Abe CLARKE,Abe Clarke,"Wednesday, 12th December, 1894","Newtown, New South Wales, Australia"
0,9265,Tom KILLIBY,Tom Killiby,"Thursday, 7th October, 1897","Sydney, New South Wales, Australia"
0,9162,Tom MOLLOY,Tom Molloy,"Sunday, 15th December, 1901",
0,9153,Jack RYAN,Jack 'Darky' Ryan,,
0,11702,Les BUSHELL,Les Bushell,,
0,9154,Harry CAVANOUGH,Harry Cavanough,"Tuesday, 25th January, 1898",
0,14570,Henry GEORGE,Henry George,"Monday, 21st January, 1901","Bathurst, New South Wales, Australia"
0,11853,Reginald WALKER,Reginald Walker,"Thursday, 13th November, 1902","Parramatta, New South Wales, Australia"
0,14571,Leslie ROBERTS,Leslie Roberts,"Friday, 25th February, 1898","Roma, Queensland, Australia"
