,player_id,player_name1,player_name2,birthday,birthplace
0,5944,Gordon CLIFFORD,Gordon 'Punchy' Clifford,"Wednesday, 4th April, 1928","Sydney, New South Wales, Australia"
0,7505,Allan SCHWEBEL,Allan Schwebel,"Wednesday, 3rd October, 1928",
0,10441,Alan METCALFE,Alan Metcalfe,,
0,10400,Lionel WHEATLEY,Lionel Wheatley,,
0,10425,Gavin STEVENSON,Gavin Stevenson,,
0,12203,Ken TAYLOR,Ken Taylor,,
0,10405,Don WHITE,Don White,"Sunday, 27th March, 1927",
0,11900,Kevin WALLACE,Kevin Wallace,"Friday, 29th May, 1925",
0,10399,Billy REINHOLD,Billy Reinhold,"Thursday, 9th October, 1930",
0,5934,Darcy HENRY,Darcy Henry,"Tuesday, 8th March, 1932","Tamworth, New South Wales, Australia"
0,10404,Jack McINTOSH,Jack McIntosh,,
0,7478,Ron BATTYE,Ron Battye,,
0,10445,Jack PERRIN,Jack Perrin,,
0,11467,Ray ARMSTRONG,Ray Armstrong,,
0,10403,Jack O'CONNELL,Jack O'Connell,,
0,10401,John McCLEAN,John McClean,1929,
0,10402,Austin SOORLEY,Austin Soorley,,
0,7539,Johnny ROSS,Johnny Ross,"Tuesday, 20th October, 1931",
0,5920,Arthur COLLINSON,Arthur Collinson,"Wednesday, 11th September, 1929","Werris Creek, New South Wales, Australia"
0,10411,Ray NICHOLSON,Ray Nicholson,,
0,5919,Tommy RYAN,Tommy Ryan,"Friday, 9th May, 1930",
0,7520,Peter CARROLL,Peter Carroll,"Monday, 7th March, 1932","Largs, New South Wales, Australia"
0,3730,Ted GLOSSOP,Ted Glossop,1934,"Sydney, New South Wales, Australia"
0,5930,Norm PROVAN,Norm Provan,"Sunday, 18th December, 1932","Urana, New South Wales, Australia"
0,10407,Ted DAWSON,Ted Dawson,,
0,13061,Vic MURPHY,Vic Murphy,"Saturday, 21st May, 1927","Bondi, New South Wales, Australia"
0,10452,Jim CAMPBELL,Jim Campbell,"Thursday, 11th April, 1929",
0,10409,Peter LONG,Peter Long,"Wednesday, 25th December, 1929",
0,11636,George BREWIS,George Brewis,"Tuesday, 11th December, 1928",
0,10433,John BELL,John Bell,"Tuesday, 3rd December, 1929",
0,10412,Stan LARKINGS,Stan Larkings,"Sunday, 6th July, 1930",
0,31172,Jack WHITTON,Jack Whitton,,
0,10443,Jack LINDQUIST,Jack Lindquist,,
0,10414,Ernie CHURCH,Ernie Church,"Tuesday, 5th April, 1927","Petersham, New South Wales, Australia"
0,7499,Pat HYDE,Pat Hyde,1930,
0,10422,Ralph BRYANT,Ralph Bryant,,
0,10428,Laurie WHITE,Laurie White,"Friday, 17th August, 1928","Sydney, New South Wales, Australia"
0,7460,Bobby WHITTON,Bobby Whitton,"Wednesday, 7th December, 1932","Hurlstone Park, New South Wales, Australia"
0,12401,Ron GRAHAM,Ron Graham,,
0,12696,Jim SCOTT,Jim Scott,,
0,7476,Ron DALEY,Ron Daley,,
0,7525,Horrie TOOLE,Horrie Toole,"Tuesday, 8th December, 1931","Sydney, New South Wales, Australia"
0,5915,Jack LUMSDEN,Jack Lumsden,"Tuesday, 24th March, 1931","Kurri Kurri, New South Wales, Australia"
0,12890,Rae LEWIS,Rae Lewis,,
0,5924,Harry WELLS,"Harry 'Dealer, Bomber' Wells","Sunday, 8th May, 1932","Wollongong, New South Wales, Australia"
0,10442,Jack BRADLEY,Jack Bradley,,
0,13344,Frank REARDON,Frank Reardon,"Thursday, 27th October, 1927",
0,10413,Sid DELFORCE,Sid Delforce,,
0,10415,Keith CULLEN,Keith 'Snapper' Cullen,1931,
0,10427,Alan CRIPPS,Alan Cripps,,
0,13349,Ray REEVES,Ray Reeves,"Friday, 19th December, 1930","North Sydney, New South Wales, Australia"
0,10416,Alf O'BRIEN,Alf O'Brien,"Tuesday, 30th April, 1929",
0,11582,Bob BLACK,Bob Black,,
0,10451,Jack WHITE,Jack White,,
0,12268,Lyle FERGUSON,Lyle Ferguson,,
0,12190,Greg FALLON,Greg Fallon,,
0,13423,Jack RUDD,Jack Rudd,"Sunday, 19th October, 1924",
0,10419,Keith DEACON,Keith Deacon,"Wednesday, 29th May, 1929","Sydney, New South Wales, Australia"
0,7502,Hec FARRELL,Hec Farrell,"Wednesday, 9th May, 1923",
0,10418,Jim DOYLE,Jim Doyle,,
0,10453,Neville MASSINA,Neville Massina,1932,
0,11941,Ken WATSON,Ken Watson,,
0,10421,Jack MOON,Jack Moon,,
0,7482,Terry BROGAN,Terry Brogan,,
0,12866,Ray LAWLER,Ray Lawler,,
0,7504,Fred DUNN,Fred Dunn,,
0,12956,Bill MALONEY,Bill Maloney,,
0,10426,Neville GOSSON,Neville Gosson,,
0,13202,Johnny O'BRIEN,Johnny O'Brien,"Tuesday, 1st November, 1932","Rozelle, New South Wales, Australia"
0,10420,Keith MUDDELL,Keith Muddell,"Tuesday, 25th September, 1928","Wide Bay, Queensland, Australia"
0,12585,Eddie HOOPER,Eddie Hooper,"Tuesday, 26th March, 1929","Ashfield, New South Wales, Australia"
0,10439,Merv LETTE,Merv Lette,"Thursday, 21st February, 1929","Marrickville, New South Wales, Australia"
0,12918,Billy LOVELL,Billy Lovell,,
0,10432,Merv WILLIAMS,Merv Williams,,
0,10430,Danny BYRNES,Danny Byrnes,"Wednesday, 17th September, 1930",
0,11735,Laurie CAMPBELL,Laurie Campbell,,
0,11598,Jim BOLAND,Jim Boland,,
0,10431,Peter NEW,Peter New,,
0,7469,Ray MASON,Ray Mason,,
0,12314,Don FOSS,Don Foss,,
0,10434,Brian WATTS,Brian Watts,"Wednesday, 24th December, 1930",
0,7524,Alan ARKEY,Alan Arkey,"Thursday, 26th March, 1931","Sydney, New South Wales, Australia"
0,10446,Laurie McMAHON,Laurie McMahon,,
0,7564,Ray MOON,Ray Moon,,
0,10436,Reg SUTTON,Reg Sutton,,
0,10438,Col FUSSELL,Col Fussell,,
0,7926,Brian HOGAN,Brian Hogan,,
0,12744,Cliff SLATTERY,Cliff Slattery,"Friday, 31st July, 1925","Bathurst, New South Wales, Australia"
0,12127,Bill DOWSLEY,Bill Dowsley,,
0,10440,Kevin HOLE,Kevin Hole,"Monday, 1st May, 1933","Sydney, New South Wales, Australia"
