,player_id,player_name1,player_name2,birthday,birthplace
0,8935,George CHALLIS,George Challis,"Thursday, 19th September, 1889","Hay, New South Wales, Australia"
0,8839,Bill LINDSAY,Bill Lindsay,"Wednesday, 20th May, 1885","Sydney, New South Wales, Australia"
0,11492,George BAIN,George 'Massa' Bain,"Friday, 8th January, 1892","Leichhardt, New South Wales, Australia"
0,3637,Doug McGREGOR,Doug McGregor,"Saturday, 21st June, 1890","Brisbane, Queensland, Australia"
0,8843,Lyall WALL,Lyall Wall,"Sunday, 25th October, 1891","Birchgrove, New South Wales, Australia"
0,8851,Arthur WHEATLEY,Arthur Wheatley,"Sunday, 3rd January, 1892","Broken Hill, New South Wales, Australia"
0,8876,George WHEATLEY,George Wheatley,"Saturday, 21st December, 1889","Carlton North, Victoria, Australia"
0,8841,George CUMMINS,George Cummins,"Thursday, 17th June, 1886","Port Macquarie, New South Wales, Australia"
0,8893,Harold BISSETT,Harold 'Rut' Bissett,"Monday, 24th June, 1889","Goulburn, New South Wales, Australia"
0,8838,Henry STEWART,Henry Stewart,"Friday, 28th July, 1893","Forbes, New South Wales, Australia"
0,8847,Frank TALBOT,Frank Talbot,,
0,11433,Tom ALPEN,Tom Alpen,"Thursday, 24th August, 1882","Glebe, New South Wales, Australia"
0,11986,William WILLIAMS,William 'Waggy' Williams,"Wednesday, 1st September, 1886","Sydney, New South Wales, Australia"
0,12899,Alf LISTON,Alf Liston,,
0,5442,Bert GRAY,Bert Gray,"Friday, 1st August, 1890","Glebe, New South Wales, Australia"
0,20795,Fred NELSON,Fred Nelson,,
0,8939,Frank HOLT,Frank 'Bluey' Holt,"Sunday, 28th April, 1889","Waterloo, New South Wales, Australia"
0,8834,Wally MESSENGER,Wally Messenger,"Thursday, 9th July, 1891","Woollahra, New South Wales, Australia"
0,8889,Herbert BOLT,Herbert 'Nutsy' Bolt,"Sunday, 10th September, 1893","Newtown, New South Wales, Australia"
0,8878,William KYLE,William Kyle,"Sunday, 24th November, 1889","Leichhardt, New South Wales, Australia"
0,8812,J DOOLEY,J Dooley,,
0,12207,Charles THACKERAY,Charles Thackeray,"Friday, 27th July, 1888","St Peters, New South Wales, Australia"
0,8871,Horrie LOGAN,Horrie Logan,"Tuesday, 8th December, 1891","Leichhardt, New South Wales, Australia"
0,8852,Dug NELSON,Dug Nelson,,
0,8855,William DIBLEY,William Dibley,"Sunday, 1st September, 1889","Marrickville, New South Wales, Australia"
0,8853,Ray STEWARD,Ray Steward,"Saturday, 30th January, 1892","Ashfield, New South Wales, Australia"
0,11947,Beverley WEBSTER,Beverley Webster,"Sunday, 17th March, 1889","Leichhardt, New South Wales, Australia"
0,8856,Reg GOSPER,Reg Gosper,"Tuesday, 10th May, 1892","St Leonards, New South Wales, Australia"
0,27188,Bertram ALDERSON,Bertram 'Bert' Alderson,"Monday, 30th May, 1892","Alexandria, New South Wales, Australia"
0,12342,Bill GANDER,Bill Gander,"Sunday, 12th May, 1889","Wellington, New South Wales, Australia"
0,8854,Wally COLLINS,Wally Collins,"Saturday, 10th August, 1889","Marrickville, New South Wales, Australia"
0,8936,Gordon GRAY,Gordon Gray,1890,"Newcastle, New South Wales, Australia"
0,9125,Edward BROOKS,Edward Brooks,"Tuesday, 3rd June, 1890","Erskineville, New South Wales, Australia"
0,8864,Jim LEONARD,Jim 'Hook' Leonard,1889,"Camperdown, New South Wales, Australia"
0,8881,Ted TAPLIN,Ted Taplin,"Sunday, 31st December, 1893","Camden, New South Wales, Australia"
0,8865,Bertie WILKINSON,Bertie Wilkinson,1887,"St Peters, New South Wales, Australia"
0,20811,Gus GREEN,Gus Green,"Friday, 4th January, 1889",
0,20797,Bert HEARNE,Bert Hearne,"Sunday, 25th November, 1888","Kiama, New South Wales, Australia"
0,8894,Westley EASTERBROOK,Westley Easterbrook,"Monday, 23rd February, 1891","Walgett, New South Wales, Australia"
0,8861,George MAIDMENT,George Maidment,,
0,12463,Perce HALE,Perce Hale,"Wednesday, 9th March, 1887","Newtown, New South Wales, Australia"
0,12926,Clifton LUCKEY,Clifton Luckey,1887,"Parramatta, New South Wales, Australia"
0,5380,Jack ROBINSON,Jack Robinson,"Wednesday, 6th July, 1892","Balmain, New South Wales, Australia"
0,12929,Percy LUSCOMBE,Percy Luscombe,,
0,8895,Jim BRASSILL,Jim Brassill,"Friday, 28th March, 1890","Yass, New South Wales, Australia"
0,12279,George FINLEY,George Finley,,
0,8863,Tom LEGGO,Tom Leggo,"Monday, 8th August, 1892","Sydney, New South Wales, Australia"
0,8870,Bill GROVES,Bill Groves,,
0,8875,Henry BOLEWSKI,Henry Bolewski,"Monday, 4th August, 1890","Ballina, New South Wales, Australia"
0,8908,Arthur BEED,Arthur Beed,,
0,8880,D TURNER,D Turner,,
0,14213,Arthur ALLEN,Arthur Allen,"Thursday, 17th April, 1890",
0,12839,Geoffrey KING,Geoffrey 'Juicy' King,1892,"Darlinghurst, New South Wales, Australia"
0,8959,Roy ALMOND,Roy 'Speck' Almond,"Saturday, 3rd January, 1891","Glebe, New South Wales, Australia"
0,12240,Billy TREWIN,Billy Trewin,"Sunday, 6th January, 1889","Sydney, New South Wales, Australia"
0,8920,Cec FOORD,Cec Foord,"Wednesday, 28th June, 1893","Burwood, New South Wales, Australia"
