,player_id,player_name1,player_name2,birthday,birthplace
0,10152,Allan LING,Allan 'Snowy' Ling,"Saturday, 8th February, 1919","Hamilton, New South Wales, Australia"
0,10150,Jack TRADD,Jack Tradd,"Tuesday, 14th November, 1922","Strathfield, New South Wales, Australia"
0,8190,Harry BATH,Harry Bath,"Friday, 28th November, 1924","Brisbane, Queensland, Australia"
0,10149,Jack MUNN,Jack Munn,"Wednesday, 30th May, 1923",
0,11502,Ken BANKS,Ken Banks,"Friday, 18th May, 1917","Wickham, New South Wales, Australia"
0,51848,Jack WILLIAMS,Jack Williams,"Monday, 22nd February, 1926",
0,10146,Denis BOOCKER,Denis Boocker,,
0,10147,Harry NORTHARD,Harry Northard,,
0,5865,Jack RAYNER,Jack Rayner,"Monday, 11th April, 1921","Coraki, New South Wales, Australia"
0,10155,Jeff SIMMONDS,Jeff Simmonds,,
0,10151,Jack NIDDRIE,Jack Niddrie,"Friday, 6th July, 1923","North Sydney, New South Wales, Australia"
0,10175,Ken CHARLTON,Ken 'The Tank' Charlton,"Sunday, 15th July, 1923","Auburn, New South Wales, Australia"
0,12698,Bert SCRAGGS,Bert Scraggs,,
0,10154,Tom BRIGGS,Tom Briggs,"Tuesday, 29th July, 1919","Young, New South Wales, Australia"
0,10024,Ray AINSWORTH,Ray Ainsworth,,
0,10156,Joe LENEHAN,Joe Lenehan,"Wednesday, 21st February, 1923","Cammeray, New South Wales, Australia"
0,13211,Fred O'CONNOR,Fred O'Connor,,
0,10160,Don GRAHAM,Don Graham,"Wednesday, 3rd May, 1922","Barraba, New South Wales, Australia"
0,10159,Jack HICKEY,Jack Hickey,"Wednesday, 8th October, 1924","Coogee, New South Wales, Australia"
0,10165,Eddie TRACEY,Eddie 'Flash' Tracey,"Monday, 16th July, 1923",
0,10161,Lee ROSE,Lee Rose,"Friday, 4th July, 1924",
0,10268,Ray BLACK,Ray 'Shiner' Black,"Saturday, 21st January, 1922","Paddington, New South Wales, Australia"
0,10212,Eric ANDERSON,Eric Anderson,,
0,10167,Sam BEDDY,Sam Beddy,,
0,10162,Norm ROGERS,Norm Rogers,"Wednesday, 22nd November, 1922",
0,13429,Lloyd RUSSELL,Lloyd Russell,"Thursday, 10th March, 1921",
0,10163,Keith BURTON,Keith Burton,"Monday, 19th June, 1922","Glebe, New South Wales, Australia"
0,29564,Bill SWEENEY,Bill Sweeney,,
0,10169,Lindsay RODDA,Lindsay Rodda,"Thursday, 28th June, 1923",
0,10166,Alec TRACEY,Alec Tracey,,
0,10168,Paul STEWART,Paul Stewart,,
0,10201,Vince EMERY,Vince Emery,"Sunday, 27th March, 1927","Sydney, New South Wales, Australia"
0,11987,George WILLIAMS,George Williams,"Wednesday, 27th June, 1923","Drummoyne, New South Wales, Australia"
0,10227,Reg JAMES,Reg James,"Friday, 11th November, 1927","Crows Nest, New South Wales, Australia"
0,11928,Stan CRUISE,Stan Cruise,"Wednesday, 13th February, 1924",
0,12702,Bob SEARL,Bob Searl,"Monday, 16th February, 1925",
0,12818,W KELLY,W Kelly,,
0,5871,Nevyl HAND,Nevyl Hand,"Friday, 2nd March, 1923","Sydney, New South Wales, Australia"
0,10186,Fred MILLER,Fred Miller,"Monday, 20th July, 1925",
0,10234,Clayton DONNELLEY,Clayton 'Chick' Donnelley,"Tuesday, 25th September, 1923","Sydney, New South Wales, Australia"
0,10171,Ken TIMBS,Ken Timbs,,
0,10172,Horrie KESSEY,Horrie Kessey,"Friday, 9th September, 1927","Newtown, New South Wales, Australia"
0,10340,Dick McKELVEY,Dick McKelvey,1927,"Burwood, New South Wales, Australia"
0,10202,Jack McCULLOUGH,Jack McCullough,,
0,12140,George DUFFY,George Duffy,,
0,11518,Doug BARWICK,Doug Barwick,"Thursday, 19th July, 1928","Sydney, New South Wales, Australia"
0,10189,Pat LEAL,Pat Leal,"Thursday, 4th April, 1929",
0,11792,Keith CLEARY,Keith Cleary,1925,
