match_id,coach_id,team
57039,59,Brisbane Broncos (W)
57039,44728,Canberra Raiders (W)
57040,33995,Newcastle Knights (W)
57040,392,Cronulla Sharks (W)
57041,44728,Canberra Raiders (W)
57041,33995,Newcastle Knights (W)
57042,59,Brisbane Broncos (W)
57042,392,Cronulla Sharks (W)
57043,2350,North Queensland Cowboys (W)
57043,1388,St George Illawarra Dragons (W)
57044,33957,Gold Coast Titans (W)
57044,293,Wests Tigers (W)
57045,17710,Sydney Roosters (W)
57045,771,Parramatta Eels (W)
57046,392,Cronulla Sharks (W)
57046,1388,St George Illawarra Dragons (W)
57047,293,Wests Tigers (W)
57047,59,Brisbane Broncos (W)
57048,33995,Newcastle Knights (W)
57048,17710,Sydney Roosters (W)
57049,2350,North Queensland Cowboys (W)
57049,44728,Canberra Raiders (W)
57050,33957,Gold Coast Titans (W)
57050,771,Parramatta Eels (W)
57051,293,Wests Tigers (W)
57051,33995,Newcastle Knights (W)
57052,17710,Sydney Roosters (W)
57052,2350,North Queensland Cowboys (W)
57053,1388,St George Illawarra Dragons (W)
57053,59,Brisbane Broncos (W)
57054,771,Parramatta Eels (W)
57054,392,Cronulla Sharks (W)
57055,44728,Canberra Raiders (W)
57055,33957,Gold Coast Titans (W)
58464,33995,Newcastle Knights (W)
58464,59,Brisbane Broncos (W)
58465,17710,Sydney Roosters (W)
58465,33957,Gold Coast Titans (W)
58466,33995,Newcastle Knights (W)
58466,33957,Gold Coast Titans (W)
63019,2350,Newcastle Knights (W)
63019,17710,Sydney Roosters (W)
63020,392,Cronulla Sharks (W)
63020,34645,North Queensland Cowboys (W)
63021,59,Brisbane Broncos (W)
63021,543,Parramatta Eels (W)
63022,1388,St George Illawarra Dragons (W)
63022,33957,Gold Coast Titans (W)
63023,293,Wests Tigers (W)
63023,44728,Canberra Raiders (W)
63024,44728,Canberra Raiders (W)
63024,2350,Newcastle Knights (W)
63025,33957,Gold Coast Titans (W)
63025,293,Wests Tigers (W)
63026,543,Parramatta Eels (W)
63026,392,Cronulla Sharks (W)
63027,17710,Sydney Roosters (W)
63027,59,Brisbane Broncos (W)
63028,34645,North Queensland Cowboys (W)
63028,1388,St George Illawarra Dragons (W)
63033,17710,Sydney Roosters (W)
63033,293,Wests Tigers (W)
63032,44728,Canberra Raiders (W)
63032,392,Cronulla Sharks (W)
63029,34645,North Queensland Cowboys (W)
63029,543,Parramatta Eels (W)
63030,59,Brisbane Broncos (W)
63030,33957,Gold Coast Titans (W)
63031,2350,Newcastle Knights (W)
63031,1388,St George Illawarra Dragons (W)
63034,59,Brisbane Broncos (W)
63034,44728,Canberra Raiders (W)
63035,34645,North Queensland Cowboys (W)
63035,33957,Gold Coast Titans (W)
63036,1388,St George Illawarra Dragons (W)
63036,17710,Sydney Roosters (W)
63037,392,Cronulla Sharks (W)
63037,2350,Newcastle Knights (W)
63038,293,Wests Tigers (W)
63038,543,Parramatta Eels (W)
63039,543,Parramatta Eels (W)
63039,2350,Newcastle Knights (W)
63040,44728,Canberra Raiders (W)
63040,34645,North Queensland Cowboys (W)
63041,33957,Gold Coast Titans (W)
63041,17710,Sydney Roosters (W)
63042,293,Wests Tigers (W)
63042,59,Brisbane Broncos (W)
63043,1388,St George Illawarra Dragons (W)
63043,392,Cronulla Sharks (W)
63044,33957,Gold Coast Titans (W)
63044,392,Cronulla Sharks (W)
63045,543,Parramatta Eels (W)
63045,1388,St George Illawarra Dragons (W)
63046,2350,Newcastle Knights (W)
63046,293,Wests Tigers (W)
63047,59,Brisbane Broncos (W)
63047,34645,North Queensland Cowboys (W)
63048,17710,Sydney Roosters (W)
63048,44728,Canberra Raiders (W)
63053,34645,North Queensland Cowboys (W)
63053,293,Wests Tigers (W)
63049,1388,St George Illawarra Dragons (W)
63049,44728,Canberra Raiders (W)
63050,392,Cronulla Sharks (W)
63050,17710,Sydney Roosters (W)
63051,543,Parramatta Eels (W)
63051,33957,Gold Coast Titans (W)
63052,2350,Newcastle Knights (W)
63052,59,Brisbane Broncos (W)
63054,293,Wests Tigers (W)
63054,1388,St George Illawarra Dragons (W)
63055,59,Brisbane Broncos (W)
63055,392,Cronulla Sharks (W)
63056,33957,Gold Coast Titans (W)
63056,2350,Newcastle Knights (W)
63057,17710,Sydney Roosters (W)
63057,34645,North Queensland Cowboys (W)
63058,44728,Canberra Raiders (W)
63058,543,Parramatta Eels (W)
63059,392,Cronulla Sharks (W)
63059,293,Wests Tigers (W)
63060,1388,St George Illawarra Dragons (W)
63060,59,Brisbane Broncos (W)
63061,34645,North Queensland Cowboys (W)
63061,2350,Newcastle Knights (W)
63062,44728,Canberra Raiders (W)
63062,33957,Gold Coast Titans (W)
63063,543,Parramatta Eels (W)
63063,17710,Sydney Roosters (W)
103141,59,Brisbane Broncos (W)
103141,392,Cronulla Sharks (W)
103142,17710,Sydney Roosters (W)
103142,2350,Newcastle Knights (W)
103148,17710,Sydney Roosters (W)
103148,392,Cronulla Sharks (W)
