,match_id,ref_id
0,11014,13238
0,11013,42289
0,11017,42175
0,11016,42183
0,11015,42266
0,11020,42266
0,11022,42175
0,11018,13238
0,11019,42183
0,11021,42289
0,11024,42290
0,11025,42266
0,11023,42183
0,11027,42175
0,11026,42289
0,11032,42183
0,11031,13238
0,11030,42339
0,11028,42175
0,11029,42266
0,11036,42183
0,11033,42339
0,11034,10018
0,11035,13238
0,11037,42175
0,11038,42175
0,11046,10018
0,11043,42175
0,11045,13238
0,11047,42266
0,11044,42183
0,11040,42183
0,11042,10018
0,11039,42266
0,11041,13238
0,11050,10018
0,11052,42183
0,11048,42266
0,11049,42175
0,11051,13238
0,11053,42183
0,11057,42289
0,11054,42290
0,11056,42339
0,11055,42266
0,11059,42175
0,11060,42339
0,11062,42183
0,11061,42290
0,11058,13238
0,11064,42266
0,11063,42290
0,11065,42183
0,11066,13238
0,11067,42339
0,11069,42266
0,11071,42183
0,11068,42339
0,11072,13238
0,11070,42175
0,11075,42175
0,11076,13238
0,11077,42266
0,11073,42289
0,11074,42339
0,11080,42339
0,11081,42183
0,11082,42175
0,11078,42266
0,11079,13238
0,11084,42339
0,11086,42175
0,11083,13238
0,11085,42183
0,11087,42266
0,11089,42266
0,11090,13238
0,11091,42339
0,11088,42175
0,11092,42183
0,11094,42266
0,11096,42175
0,11093,42339
0,11095,42183
0,11097,13238
0,11100,42183
0,11101,42175
0,11102,13238
0,11098,42266
0,11099,42339
0,11103,42266
0,11104,42175
0,11105,42175
