,match_id,ref_id
0,1578,42077
0,1579,42073
0,304,42074
0,1583,42060
0,1582,42064
0,1581,42083
0,1580,42076
0,1584,42074
0,1585,42084
0,1586,42076
0,137,42064
0,1587,42073
0,1588,42083
0,1589,42077
0,1590,42077
0,1592,42074
0,1591,42083
0,305,42060
0,1594,42064
0,1593,42073
0,1595,42076
0,1596,42077
0,1597,42073
0,1599,42087
0,1598,42074
0,139,42076
0,1601,42083
0,1600,42060
0,1602,42077
0,1603,42083
0,1604,42060
0,140,42073
0,1605,42087
0,1607,42076
0,1606,42074
0,1608,42073
0,1609,42074
0,1610,42087
0,306,42083
0,1611,42060
0,1613,42076
0,1612,42077
0,1614,42076
0,1615,42083
0,1616,42074
0,1618,42064
0,142,42060
0,1617,42077
0,1619,42073
0,1620,42083
0,1622,42076
0,307,42073
0,1621,42060
0,1625,42064
0,1624,42074
0,1623,42077
0,1627,42073
0,1626,42076
0,1628,42060
0,1629,42074
0,144,42077
0,1630,42083
0,1631,42064
0,1632,42060
0,1635,42087
0,1634,42064
0,1633,42077
0,1636,42076
0,1637,42073
0,145,42084
0,1638,42060
0,308,42064
0,1640,42084
0,1639,42077
0,1643,42073
0,1641,42087
0,1642,42076
0,1644,42077
0,1646,42060
0,1645,42073
0,1647,42064
0,1648,42083
0,147,42087
0,1649,42076
0,1650,42077
0,1652,42060
0,1651,42083
0,1653,42076
0,1654,42064
0,1655,42073
0,309,42074
0,1656,42073
0,1657,42083
0,1659,42076
0,1658,42064
0,149,42060
0,1660,42074
0,1661,42077
0,1662,42076
0,1662,42086
0,1663,42077
0,1664,42064
0,310,42083
0,1665,42073
0,1666,42060
0,1667,42074
0,1668,42077
0,1669,42087
0,1670,42064
0,151,42085
0,1673,42083
0,1672,42060
0,1671,42074
0,1674,42074
0,152,42064
0,1676,42077
0,1675,42083
0,1679,42087
0,1678,42073
0,1677,42060
0,1680,42060
0,1681,42073
0,1682,42083
0,1683,42077
0,311,42085
0,1684,42087
0,1685,42074
0,154,42086
0,1687,42073
0,1686,42064
0,1688,42060
0,1690,42083
0,1691,42077
0,1689,42074
0,1692,42073
0,1694,42060
0,312,42087
0,1693,42083
0,1696,42077
0,1695,42074
0,1697,42064
0,1698,42074
0,1700,42073
0,1701,42087
0,1699,42077
0,1703,42083
0,1702,42060
0,156,42064
0,1704,42073
0,351,42076
0,351,42087
0,1706,42083
0,1705,42064
0,1708,42077
0,1709,42060
0,1707,42074
0,1710,42077
0,1713,42073
0,1711,42083
0,1712,42088
0,158,42087
0,1715,42060
0,1714,42074
0,1716,42077
0,1717,42060
0,159,42064
0,1718,42074
0,1720,42083
0,1719,42073
0,1721,42076
0,1722,42073
0,313,42088
0,1723,42076
0,1724,42083
0,1724,42084
0,1725,42060
0,1725,42064
0,1726,42077
0,1727,42060
0,1728,42073
0,1731,42076
0,1730,42086
0,1729,42083
0,161,42074
0,1732,42077
0,1733,42060
0,1734,42076
0,1736,42077
0,1735,42073
0,1737,42060
0,1738,42073
0,1739,42077
0,1740,42073
0,1741,42077
0,1742,42077
