,match_id,ref_id
0,13151,42205
0,13152,42137
0,13153,42186
0,13155,5894
0,13156,42279
0,13154,42276
0,13158,42205
0,13157,5894
0,13162,42186
0,13161,42279
0,13159,42137
0,13160,42276
0,13163,5894
0,13164,42276
0,13166,42205
0,13167,42137
0,13168,42186
0,13165,42279
0,13169,42186
0,13170,42205
0,13171,5894
0,13173,42137
0,13172,42279
0,13174,42276
0,13175,5894
0,13176,42137
0,13177,42279
0,13180,42186
0,13178,42280
0,13179,42276
0,13182,42186
0,13181,42279
0,13183,42280
0,13185,5894
0,13184,42276
0,13186,42137
0,13188,42186
0,13187,5894
0,13190,42279
0,13189,42137
0,13191,42282
0,13192,42280
0,13193,42186
0,13196,42282
0,13197,42280
0,13194,42279
0,13198,42205
0,13195,42279
0,13199,42186
0,13200,42269
0,13201,42282
0,13202,5894
0,13204,42205
0,13203,10668
0,13205,42282
0,13206,42269
0,13207,5894
0,13208,42205
0,13210,42186
0,13209,10668
0,13211,42269
0,13214,10668
0,13212,12514
0,13216,42282
0,13213,42276
0,13215,5894
0,13217,42269
0,13220,42276
0,13218,42282
0,13219,10668
0,13221,12514
0,13222,5894
0,13223,42269
0,13225,42186
0,13226,12514
0,13227,10668
0,13224,5894
0,13228,42276
0,13229,42186
0,13234,42269
0,13230,5894
0,13233,42276
0,13231,10668
0,13232,12514
0,13235,5894
0,13238,42186
0,13239,12514
0,13236,42269
0,13237,10668
0,13240,42276
0,13241,42186
0,13245,12514
0,13246,5894
0,13242,10668
0,13243,42269
0,13244,42276
0,13247,42188
0,13251,12514
0,13248,42186
0,13250,10668
0,13252,42276
0,13249,5894
0,13253,42269
0,13255,42186
0,13256,12514
0,13257,5894
0,13258,10668
0,13254,42276
0,13259,10668
0,13260,12514
0,13261,42276
0,13263,42269
0,13264,42186
0,13262,5894
0,13265,42276
0,13266,12514
0,13268,5894
0,13269,42186
0,13270,10668
0,13267,42269
0,13271,10668
0,13272,42276
0,13273,12514
0,13276,42186
0,13274,42269
0,13275,5894
0,13277,10668
0,13279,5894
0,13282,42276
0,13278,42269
0,13280,12514
0,13281,42282
0,13283,42186
0,13284,42186
0,13285,42186
0,13286,42186
0,13287,42186
0,13288,42186
0,13289,42186
