,match_id,ref_id
0,13428,12514
0,13430,42280
0,13431,42276
0,13433,42279
0,13429,42269
0,13432,42285
0,13434,12514
0,13435,42269
0,13439,42279
0,13436,42280
0,13438,42276
0,13437,42205
0,13441,12514
0,13440,42279
0,13445,42205
0,13442,42276
0,13443,42280
0,13444,42269
0,13447,12514
0,13446,42276
0,13451,42269
0,13450,42186
0,13448,42205
0,13449,42279
0,13453,42186
0,13452,42276
0,13454,12514
0,13455,42279
0,13456,42269
0,13457,42205
0,13458,10679
0,13459,42276
0,13460,42280
0,13461,42186
0,13463,12514
0,13462,42269
0,13465,42186
0,13464,42269
0,13469,12514
0,13466,42279
0,13467,42276
0,13468,42280
0,13470,42269
0,13471,42279
0,13472,42186
0,13475,42205
0,13474,42276
0,13473,10679
0,13478,42276
0,13476,10679
0,13477,42186
0,13480,42269
0,13481,42205
0,13479,12514
0,13482,42205
0,13483,12514
0,13484,10679
0,13485,42143
0,13487,42186
0,13487,42277
0,13486,42279
0,13489,42205
0,13488,42269
0,13490,42276
0,13491,12514
0,13492,42143
0,13493,10679
0,13497,42186
0,13497,42285
0,13494,10679
0,13495,12514
0,13499,42279
0,13496,42143
0,13498,42205
0,13502,42283
0,13501,42279
0,13505,42205
0,13503,42143
0,13500,10679
0,13504,12514
0,13507,42284
0,13508,10679
0,13509,42279
0,13506,42143
0,13510,42205
0,13511,12514
0,13512,42269
0,13515,42143
0,13515,42280
0,13516,42186
0,13517,42205
0,13513,42279
0,13514,10679
0,13518,42284
0,13520,12514
0,13523,42205
0,13522,10668
0,13521,42186
0,13519,10679
0,13524,42284
0,13529,12514
0,13527,42269
0,13525,42186
0,13528,10679
0,13526,42205
0,13530,42269
0,13532,42205
0,13535,42186
0,13531,12514
0,13534,10679
0,13533,42276
0,13537,12514
0,13536,42269
0,13539,10668
0,13538,42186
0,13540,42276
0,13541,10679
0,13542,12514
0,13543,42186
0,13544,10679
0,13546,10668
0,13545,42205
0,13547,42269
0,13548,42205
0,13550,10668
0,13551,42186
0,13553,10679
0,13549,12514
0,13552,42269
0,13554,42205
0,13555,10668
0,13559,42186
0,13556,10679
0,13557,42269
0,13558,12514
0,13560,12514
0,13561,42269
0,13562,42269
0,13563,42205
0,13564,42269
0,13565,42205
0,13566,42269
0,13567,42269
