,match_id,ref_id
0,10209,13238
0,10210,42290
0,10207,5776
0,10208,42266
0,10211,5776
0,10214,13238
0,10213,42290
0,10212,42266
0,10217,42266
0,10218,13238
0,10215,42290
0,10216,5776
0,10219,42266
0,10220,42328
0,10222,42290
0,10221,42314
0,10224,42328
0,10226,42266
0,10225,5776
0,10223,42290
0,10228,42266
0,10229,42328
0,10227,42290
0,10230,5776
0,10232,13238
0,10233,42290
0,10231,42266
0,10234,5776
0,10236,5776
0,10237,42266
0,10238,13238
0,10235,42290
0,10239,42266
0,10242,42290
0,10241,13238
0,10240,5776
0,10244,42290
0,10245,42266
0,10243,5776
0,10246,42343
0,10250,13238
0,10248,42266
0,10247,5776
0,10249,42290
0,10251,5776
0,10252,42266
0,10253,42290
0,10254,13238
0,10255,42266
0,10257,42290
0,10258,13238
0,10256,5776
0,10259,13238
0,10261,5776
0,10260,42266
0,10262,42290
0,10263,5776
0,10264,42266
0,10265,5776
0,10266,42266
0,10267,42266
