,match_id,ref_id
0,11771,42175
0,11770,42270
0,11772,42322
0,11773,42183
0,11774,42289
0,11776,42175
0,11775,42317
0,11777,42289
0,11778,42322
0,11779,42183
0,11781,42322
0,11782,42317
0,11783,42289
0,11784,42175
0,11780,42183
0,11785,42289
0,11788,42322
0,11786,42317
0,11787,42183
0,11789,42175
0,11790,42269
0,11792,42183
0,11791,42175
0,11793,42322
0,11794,42289
0,11797,42289
0,11796,42269
0,11795,42175
0,11798,42322
0,11799,42183
0,11800,42322
0,11801,42269
0,11802,42289
0,11804,42183
0,11803,42175
0,11807,42322
0,11805,42183
0,11806,42289
0,11809,42269
0,11808,42175
0,11811,42269
0,11810,42175
0,11812,42322
0,11813,42289
0,11814,42183
0,11817,42322
0,11815,42175
0,11816,42183
0,11818,42269
0,11819,42289
0,11820,42322
0,11823,42183
0,11822,42289
0,11821,42175
0,11824,42269
0,11826,42175
0,11825,42322
0,11828,42183
0,11827,42289
0,11829,42269
0,11832,42183
0,11833,42322
0,11830,42269
0,11831,10063
0,11834,42175
0,11837,42183
0,11835,42272
0,11836,42175
0,11838,42289
0,11839,42277
0,11841,42269
0,11842,10063
0,11840,42289
0,11843,42175
0,11844,42183
0,11847,42175
0,11845,42269
0,11848,10063
0,11846,42183
0,11849,42289
0,11850,42289
0,11851,10063
0,11852,42183
0,11853,42175
0,11854,42269
0,11855,10063
0,11856,42183
0,11857,42175
0,11858,42269
0,11859,42289
0,11860,42175
0,11861,42175
0,11862,42175
0,11863,42175
