,match_id,ref_id
0,10450,5776
0,10451,42347
0,10448,13238
0,10452,42343
0,10449,42266
0,10454,5776
0,10455,42343
0,10453,42347
0,10456,13238
0,10457,42266
0,10459,42266
0,10458,13238
0,10460,42347
0,10461,5776
0,10462,42343
0,10463,42369
0,10464,42347
0,10465,5776
0,10467,42266
0,10466,13238
0,10468,42266
0,10469,42323
0,10472,42369
0,10470,5776
0,10471,42347
0,10475,42323
0,10474,5776
0,10477,42369
0,10476,42347
0,10473,42266
0,10479,42266
0,10480,42369
0,10478,5776
0,10481,9467
0,10482,42347
0,10484,42266
0,10485,9467
0,10483,5776
0,10487,42369
0,10486,42347
0,10490,9467
0,10492,42266
0,10488,5776
0,10489,42369
0,10491,42347
0,10496,5776
0,10493,42369
0,10497,42290
0,10495,42347
0,10494,42266
0,10500,42347
0,10502,42266
0,10498,42290
0,10499,42289
0,10501,5776
0,10504,5776
0,10505,42347
0,10503,42266
0,10507,42289
0,10506,42290
0,10508,42290
0,10512,42289
0,10509,13238
0,10510,42266
0,10511,42347
0,10514,13238
0,10515,42266
0,10516,42289
0,10513,42290
0,10517,42347
0,10519,42266
0,10518,42343
0,10522,42289
0,10521,42347
0,10520,5776
0,10524,42347
0,10523,42266
0,10525,42183
0,10526,5776
0,10527,42323
0,10530,42183
0,10528,5776
0,10531,42266
0,10532,42289
0,10529,42347
0,10534,42183
0,10537,42266
0,10533,42347
0,10535,42290
0,10536,5776
0,10538,42266
0,10539,5776
0,10540,42347
0,10541,42266
0,10542,42266
