,match_id,coach_id,team
0,11106,5909,EASTERN SUBURBS
0,11106,9267,"Balmain
TIGERS"
0,11107,5404,"Manly Warringah
SEA EAGLES"
0,11107,9651,NORTH SYDNEY
0,11110,5907,NEWTOWN
0,11110,9939,CANTERBURY BANKSTOWN
0,11108,5911,"Parramatta
EELS"
0,11108,5894,"Western Suburbs
MAGPIES"
0,11109,5865,"South Sydney
RABBITOHS"
0,11109,5922,"St George
DRAGONS"
0,11115,9939,CANTERBURY BANKSTOWN
0,11115,9267,"Balmain
TIGERS"
0,11112,5909,EASTERN SUBURBS
0,11112,5911,"Parramatta
EELS"
0,11111,9651,NORTH SYDNEY
0,11111,5894,"Western Suburbs
MAGPIES"
0,11114,5922,"St George
DRAGONS"
0,11114,5907,NEWTOWN
0,11113,5865,"South Sydney
RABBITOHS"
0,11113,5404,"Manly Warringah
SEA EAGLES"
0,11117,9267,"Balmain
TIGERS"
0,11117,5922,"St George
DRAGONS"
0,11118,5909,EASTERN SUBURBS
0,11118,9651,NORTH SYDNEY
0,11116,5907,NEWTOWN
0,11116,5865,"South Sydney
RABBITOHS"
0,11120,5911,"Parramatta
EELS"
0,11120,9939,CANTERBURY BANKSTOWN
0,11119,5894,"Western Suburbs
MAGPIES"
0,11119,5404,"Manly Warringah
SEA EAGLES"
0,11121,5865,"South Sydney
RABBITOHS"
0,11121,5894,"Western Suburbs
MAGPIES"
0,11122,9939,CANTERBURY BANKSTOWN
0,11122,9651,NORTH SYDNEY
0,11125,5404,"Manly Warringah
SEA EAGLES"
0,11125,5909,EASTERN SUBURBS
0,11124,5907,NEWTOWN
0,11124,9267,"Balmain
TIGERS"
0,11123,5922,"St George
DRAGONS"
0,11123,5911,"Parramatta
EELS"
0,11126,9651,NORTH SYDNEY
0,11126,5922,"St George
DRAGONS"
0,11127,9939,CANTERBURY BANKSTOWN
0,11127,5404,"Manly Warringah
SEA EAGLES"
0,11128,5911,"Parramatta
EELS"
0,11128,5907,NEWTOWN
0,11129,5865,"South Sydney
RABBITOHS"
0,11129,9267,"Balmain
TIGERS"
0,11130,5894,"Western Suburbs
MAGPIES"
0,11130,5909,EASTERN SUBURBS
0,11132,9267,"Balmain
TIGERS"
0,11132,5911,"Parramatta
EELS"
0,11133,5909,EASTERN SUBURBS
0,11133,5865,"South Sydney
RABBITOHS"
0,11131,5907,NEWTOWN
0,11131,9651,NORTH SYDNEY
0,11134,5922,"St George
DRAGONS"
0,11134,5404,"Manly Warringah
SEA EAGLES"
0,11135,5894,"Western Suburbs
MAGPIES"
0,11135,9939,CANTERBURY BANKSTOWN
0,11139,9939,CANTERBURY BANKSTOWN
0,11139,5909,EASTERN SUBURBS
0,11136,5404,"Manly Warringah
SEA EAGLES"
0,11136,5907,NEWTOWN
0,11140,9651,NORTH SYDNEY
0,11140,9267,"Balmain
TIGERS"
0,11137,5911,"Parramatta
EELS"
0,11137,5865,"South Sydney
RABBITOHS"
0,11138,5922,"St George
DRAGONS"
0,11138,5894,"Western Suburbs
MAGPIES"
0,11143,9267,"Balmain
TIGERS"
0,11143,5404,"Manly Warringah
SEA EAGLES"
0,11141,5907,NEWTOWN
0,11141,5894,"Western Suburbs
MAGPIES"
0,11142,9651,NORTH SYDNEY
0,11142,5911,"Parramatta
EELS"
