,match_id,coach_id,team
0,8258,8706,NEWTOWN
0,8259,3580,EASTERN SUBURBS
0,8260,3623,GLEBE
0,8261,3653,"South Sydney
RABBITOHS"
0,8261,3612,"Balmain
TIGERS"
0,8264,3612,"Balmain
TIGERS"
0,8263,3580,EASTERN SUBURBS
0,8262,8706,NEWTOWN
0,8265,3653,"South Sydney
RABBITOHS"
0,8265,3623,GLEBE
0,8266,3580,EASTERN SUBURBS
0,8266,3653,"South Sydney
RABBITOHS"
0,8267,3623,GLEBE
0,8268,8706,NEWTOWN
0,8269,3612,"Balmain
TIGERS"
0,8270,3580,EASTERN SUBURBS
0,8272,3612,"Balmain
TIGERS"
0,8271,8706,NEWTOWN
0,8271,3653,"South Sydney
RABBITOHS"
0,8273,3623,GLEBE
0,8275,3580,EASTERN SUBURBS
0,8275,8706,NEWTOWN
0,8277,3623,GLEBE
0,8277,3612,"Balmain
TIGERS"
0,8274,3653,"South Sydney
RABBITOHS"
0,8279,3612,"Balmain
TIGERS"
0,8279,3580,EASTERN SUBURBS
0,8280,8706,NEWTOWN
0,8280,3623,GLEBE
0,8281,3653,"South Sydney
RABBITOHS"
0,8282,3653,"South Sydney
RABBITOHS"
0,8285,3623,GLEBE
0,8285,3580,EASTERN SUBURBS
0,8284,8706,NEWTOWN
0,8284,3612,"Balmain
TIGERS"
0,8286,3612,"Balmain
TIGERS"
0,8287,3623,GLEBE
0,8287,8706,NEWTOWN
0,8289,3580,EASTERN SUBURBS
0,8288,3653,"South Sydney
RABBITOHS"
0,8290,3623,GLEBE
0,8291,3612,"Balmain
TIGERS"
0,8293,8706,NEWTOWN
0,8293,3580,EASTERN SUBURBS
0,8292,3653,"South Sydney
RABBITOHS"
0,8295,3580,EASTERN SUBURBS
0,8294,3623,GLEBE
0,8297,3612,"Balmain
TIGERS"
0,8296,3653,"South Sydney
RABBITOHS"
0,8296,8706,NEWTOWN
0,8299,3612,"Balmain
TIGERS"
0,8299,8706,NEWTOWN
0,8298,3623,GLEBE
0,8300,3653,"South Sydney
RABBITOHS"
0,8301,3580,EASTERN SUBURBS
0,8304,3612,"Balmain
TIGERS"
0,8304,3623,GLEBE
0,8303,8706,NEWTOWN
0,8305,3653,"South Sydney
RABBITOHS"
0,8305,3580,EASTERN SUBURBS
0,8309,3580,EASTERN SUBURBS
0,8309,3612,"Balmain
TIGERS"
0,8306,3623,GLEBE
0,8306,3653,"South Sydney
RABBITOHS"
0,8308,8706,NEWTOWN
0,8311,3612,"Balmain
TIGERS"
0,8311,3653,"South Sydney
RABBITOHS"
0,8312,3580,EASTERN SUBURBS
0,8312,3623,GLEBE
0,8313,8706,NEWTOWN
0,8314,3653,"South Sydney
RABBITOHS"
0,8314,8706,NEWTOWN
