,player_id,player_name1,player_name2,birthday,birthplace
0,33977,Gayle BROUGHTON,Gayle Broughton,"Wednesday, 5th June, 1996",
0,33978,Tess STAINES,Tess Staines,"Thursday, 4th October, 2001",
0,33979,Brooke-Morgan WALKER,Brooke-Morgan Walker,"Tuesday, 3rd January, 1995",
0,33980,Losana LUTU,Losana Lutu,"Thursday, 29th April, 2004",
0,33982,Brooke ANDERSON,Brooke Anderson,"Tuesday, 23rd January, 1996",
0,33602,Kalosipani HOPOATE,Kalosipani Hopoate,"Thursday, 18th March, 2004",
0,33983,Rima BUTLER,Rima Butler,"Saturday, 20th December, 1997",
0,33984,Otesa PULE,Otesa Pule,"Wednesday, 28th May, 2003","Middlemore, Auckland, New Zealand"
0,33986,Andie ROBINSON,Andie Robinson,"Tuesday, 5th March, 2002",
0,33987,Monalisa SOLIOLA,Monalisa Soliola,"Wednesday, 21st July, 2004",
0,33988,Tara McGRATH-WEST,Tara McGrath-West,"Tuesday, 26th June, 2001",
0,33991,Jesse SOUTHWELL,Jesse Southwell,"Saturday, 12th February, 2005",
0,33993,Sophie HOLYMAN,Sophie Holyman,"Tuesday, 18th November, 1997",
0,33994,Jasmine FOGAVINI,Jasmine Fogavini,"Monday, 3rd February, 1997",
0,34006,Zali FAY,Zali Fay,"Wednesday, 7th February, 2001",
0,34007,Tayla PRESTON,Tayla Preston,"Monday, 27th September, 1999",
0,34008,Ashleigh QUINLAN,Ashleigh Quinlan,"Thursday, 8th December, 1994",
0,33985,Ruby-Jean KENNARD,Ruby-Jean Kennard,"Saturday, 30th August, 2003",
0,34009,Makenzie WEALE,Makenzie Weale,"Wednesday, 26th June, 2002",
0,34026,Cassie STAPLES,Cassie Staples,"Friday, 16th October, 1992",
0,34027,Hannah LARSSON,Hannah Larsson,"Monday, 27th January, 2003",
0,34029,Jakiya WHITFELD,Jakiya Whitfeld,"Monday, 11th June, 2001",
0,33992,Caitlin MORAN,Caitlin Moran,"Wednesday, 20th November, 1996",
0,34030,Tiana DAVISON,Tiana Davison,"Thursday, 26th October, 2000",
0,34028,Rueben CHERRINGTON,Rueben Cherrington,"Wednesday, 6th August, 2003",
0,34072,Cassey TOHI-HIKU,Cassey Tohi-Hiku,"Wednesday, 22nd October, 2003",
0,33989,Zali HOPKINS,Zali Hopkins,"Sunday, 2nd June, 2002",
0,34073,Jasmin STRANGE,Jasmin Strange,"Saturday, 21st December, 2002",
0,34074,Emmanita PAKI,Emmanita Paki,"Thursday, 2nd January, 2003",
0,34077,Jada TAYLOR,Jada Taylor,"Thursday, 14th August, 2003",
0,34078,Shannon ROSE,Shannon Rose,"Tuesday, 8th April, 1997",
0,34079,Angelina TEAKARAANGA-KATOA,Angelina Teakaraanga-Katoa,"Sunday, 10th March, 2002",
0,34081,Jessica GENTLE,Jessica Gentle,"Sunday, 28th July, 1996",
0,34080,Kayla ROMANIUK,Kayla Romaniuk,"Friday, 22nd February, 2002",
