,player_id,player_name1,player_name2,birthday,birthplace
0,51822,Isabella WATERMAN,Isabella Waterman,"Friday, 12th May, 2000",
0,51835,Aliyah NASIO,Aliyah Nasio,"Wednesday, 21st June, 2006","Sydney, New South Wales, Australia"
0,51836,Eliza LOPAMAUA,Eliza Lopamaua,"Friday, 14th January, 2005","Sydney, New South Wales, Australia"
0,51821,Grace KUKUTAI,Grace Kukutai,"Friday, 10th January, 1997",
0,51810,Georgia HANNAWAY,Georgia Hannaway,,
0,51827,Rory OWEN,Rory Owen,,
0,51828,Rosie KELLY,Rosie Kelly,"Sunday, 16th January, 2000",
0,51804,Bree SPREADBOROUGH,Bree Spreadborough,"Monday, 28th September, 1998",
0,49618,Skyla ADAMS,Skyla Adams,"Wednesday, 17th August, 2005",
0,33608,Maatuleio FOTU-MOALA,Maatuleio 'Leio' Fotu-Moala,"Tuesday, 5th January, 1999",
0,51818,Lily KOLC,Lily Kolc,,
0,51831,Kasey REH,Kasey Reh,"Thursday, 19th January, 2006",
0,51829,Bronte WILSON,Bronte Wilson,"Monday, 24th July, 2006",
0,51841,Harmony CRICHTON,Harmony Crichton,"Thursday, 9th December, 2004",
0,51843,Shaianne McGONE,Shaianne McGone,,
0,33597,Natasha PENITANI,Natasha Penitani,,
0,51898,Lilly-Ann WHITE,Lilly-Ann White,,
0,51813,Georgia GREY,Georgia Grey,,
0,44733,Chloe JACKSON,Chloe Jackson,"Monday, 12th July, 2004",
0,51899,Manilita TAKAPAUTOLO,Manilita Takapautolo,,
0,51901,Bridget HOY,Bridget Hoy,"Thursday, 9th September, 1999",
0,51823,Ebony RAFTSTRAND-SMITH,Ebony Raftstrand-Smith,"Tuesday, 30th August, 2005",
0,51833,Tayla CURTIS,Tayla Curtis,"Friday, 18th April, 2003",
0,51824,Lillian YARROW,Lillian Yarrow,"Friday, 12th March, 2004",
0,51805,Stacey WAAKA,Stacey Waaka,,
0,52075,Lailani MONTGOMERY,Lailani Montgomery,,
0,51817,Matekino GRAY,Matekino Gray,"Friday, 16th July, 2004",
0,51830,Alice GREGORY,Alice Gregory,"Tuesday, 16th December, 1997",
0,44353,Tavarna PAPALII,Tavarna Papalii,"Thursday, 7th July, 2005",
0,52074,Tenika WILLISON,Tenika Willison,,
0,52100,Sharni SMALE,Sharni Smale,,
0,45310,Tafao ASAUA,Tafao Asaua,,
0,51820,Evie JONES,Evie Jones,,
0,51808,Relna WURUKI-HOSEA,Relna Wuruki-Hosea,"Wednesday, 28th September, 2005",
0,38156,Felice QUINLAN,Felice Quinlan,"Wednesday, 8th July, 1998",
0,51844,Tiana LEE-THORNE,Tiana Lee-Thorne,"Monday, 25th July, 2005",
0,52118,Montana CLIFFORD,Montana Clifford,,
0,52119,Maria PASEKA,Maria Paseka,,
0,52102,Jordyn PRESTON,Jordyn Preston,,
0,33605,Lavinia TAUHALALIKU,Lavinia Tauhalaliku,,
0,51806,Georgia WILLEY,Georgia Willey,"Monday, 8th November, 2004",
0,52156,Evie McGRATH,Evie McGrath,,
0,52177,Chelsea SAVILL,Chelsea Savill,,
0,51807,Jaida FALEONO,Jaida Faleono,"Monday, 13th February, 2006",
0,51809,Tatiana FINAU,Tatiana Finau,"Sunday, 29th February, 2004",
0,52120,Dominique DU TOIT,Dominique du Toit,,
0,52101,Sarina MASAGA,Sarina Masaga,,
0,51840,Claudia NIELSEN,Claudia Nielsen,"Friday, 20th June, 1997",
0,52195,Claudia BROWN,Claudia Brown,,
0,51819,Georgia SIM,Georgia Sim,,
0,52233,Evah McEWEN,Evah McEwen,,
