,player_id,player_name_comma,player_birthday,total_matches,total_points
0,4402,"DUKE, Phillip",1960-03-14,1,3
0,481,"DUNN, Paul",1963-08-07,3,-
0,91,"DYMOCK, Jim",1972-04-04,6,4
0,1514,"EADIE, Graham",1953-11-25,1,-
0,1524,"EDGE, Steve",1951-10-02,1,-
0,22807,"EDWARDS, Dylan",1996-01-10,1+,4
0,139,"EL MASRI, Hazem",1976-04-01,1,10
0,858,"ELIAS, Ben",1963-11-15,19,6
0,1561,"ELLA, Steve",1960-07-28,7,12
0,815,"ENNIS, Michael",1984-03-16,8,8
0,404,"ETTINGSHAUSEN, Andrew",1965-10-29,27,28
0,28704,"FA'ASUAMALEAUI, Tino",2000-02-16,12,-
0,1535,"FAHEY, Terry",1954-01-20,2,-
0,248,"FAIRLEIGH, David",1970-09-01,10,-
0,319,"FARAH, Robbie",1984-01-23,16,-
0,1235,"FARRAR, Andrew",1962-05-17,7,12
0,20577,"FELDT, Kyle",1992-02-09,2,-
0,425,"FENECH, Mario",1961-11-11,2,-
0,13576,"FERGUSON, Blake",1990-03-20,9,-
0,908,"FERGUSON, John",1954-07-15,8,4
0,1566,"FIELD, Paul",-,2,-
0,163,"FIEN, Nathan",1979-08-01,1,-
0,14510,"FIFITA, Andrew",1989-06-28,10,8
0,26200,"FIFITA, David",2000-02-25,8,4
0,1389,"FINCH, Brett",1981-08-20,3,5
0,19786,"FINUCANE, Dale",1991-09-07,5,-
0,470,"FITTLER, Brad",1972-02-05,31,34
0,845,"FITZGIBBON, Craig",1977-06-16,11,44
0,837,"FLANNERY, Chris",1980-06-05,10,-
0,28204,"FLEGLER, Thomas",1999-08-19,3,-
0,1344,"FLETCHER, Bryan",1974-04-12,14,4
0,242,"FLORIMO, Greg",1967-05-17,4,-
0,5542,"FOLAU, Israel",1989-04-03,8,28
0,1236,"FOLKES, Steve",1959-01-31,9,-
0,25860,"FOTUAIKA, Moeaki",1999-11-16,8+,-
0,1088,"FRENCH, Brett",1962-03-27,5,4
0,1089,"FRENCH, Ian",1960-12-28,9,12
0,7836,"FRIEND, Jake",1990-02-01,3,-
0,562,"FRITZ, Darren",1969-03-13,3,-
0,17283,"FRIZELL, Tyson",1991-10-09,16,12
0,1157,"FULLERTON-SMITH, Wally",1960-07-09,12,-
0,215,"FURNER, David",1971-02-06,8,4
0,16573,"GAGAI, Dane",1991-01-03,22+,48
0,299,"GALLEN, Paul",1981-08-14,24,6
0,1592,"GALLOWAY, Keith",1985-09-02,1,-
0,803,"GASNIER, Mark",1981-07-19,12,18
