,match_id,ref_id
0,2295,42099
0,2296,42100
0,2297,10679
0,2298,42102
0,2299,42103
0,2300,42102
0,2301,42104
0,2302,42105
0,2303,10679
0,2304,42102
0,2305,10679
0,2306,10679
0,2307,42102
0,2308,42102
0,2309,10679
0,2310,42102
0,2311,10679
0,2312,42095
0,2313,42102
0,2314,42102
0,2388,42095
0,2315,42102
0,2316,42095
0,2317,42098
0,2318,42095
0,2319,42061
0,2320,42098
0,2321,42061
0,2322,42098
0,2323,42061
0,2342,42077
0,2343,42061
0,2344,42077
0,2345,42061
0,2346,42077
0,2347,42071
0,2348,42098
0,2349,42071
0,2350,42098
0,2351,42077
0,2352,42078
0,2353,42077
0,2354,42071
0,2355,42071
0,2356,42061
0,2357,42061
0,2358,42061
0,2359,42061
0,2360,42081
0,2361,42061
0,2362,42071
0,2367,42077
0,2368,42077
0,2369,42077
0,2370,42077
0,2371,42076
0,2372,42076
0,2373,42077
0,2374,42077
0,2375,42077
0,2376,42077
0,2377,42077
0,2378,42077
0,2379,42077
0,2380,42077
0,2381,42077
0,2382,42077
0,2383,42077
0,2384,42077
0,2385,42074
0,2386,42074
0,2387,42073
0,2294,42073
0,2439,42076
0,2939,42073
0,4023,42074
0,4024,42076
0,4025,42076
0,7986,42073
0,7987,42087
0,7988,42073
0,15004,42083
0,15005,42083
0,15006,42083
0,15762,42083
0,15762,42087
0,15955,42083
0,15955,42087
0,15956,42083
0,15956,42087
0,20061,42083
0,20061,42087
0,20062,42083
0,20062,42087
0,20063,42083
0,20063,42087
0,21586,42083
0,21586,42135
0,21587,42087
0,21587,42134
0,21588,42083
0,21588,42087
0,28127,42086
0,28127,42134
0,28137,42083
0,28137,42134
0,28185,42083
0,28185,42134
0,28914,42087
0,28914,42116
0,28915,42087
0,28915,42116
0,28916,42087
0,28916,42134
0,29003,42087
0,29003,42134
0,29004,42087
0,29004,42134
0,29005,42134
0,29005,42376
0,30682,42134
0,30682,42376
0,30694,42134
0,30694,42376
0,30705,42134
0,30705,42376
0,31070,42134
0,31070,42376
0,31090,42134
0,31090,42376
0,31151,42134
0,31151,42376
0,36095,42086
0,36095,42376
0,36096,42086
0,36096,42376
0,36097,42086
0,36097,42376
0,38215,42116
0,38215,42376
0,38216,42116
0,38216,42376
0,38217,42116
0,38217,42376
0,38546,42116
0,38546,42376
0,38563,42116
0,38563,42376
0,38575,42116
0,38575,42376
0,40245,42376
0,40246,42376
0,40247,42376
0,45336,42376
0,45375,42376
0,45376,42376
0,49545,42116
0,51468,42116
0,51534,42116
0,54602,42116
0,54603,42116
0,54604,42116
0,63125,42116
0,63126,42116
