,match_id,player_id,score,n_scores
0,8599,5393,T,1
0,8599,3582,T,1
0,8599,5393,G,3
0,8599,8922,G,1
0,8600,5379,T,1
0,8600,8966,G,1
0,8600,8967,G,1
0,8598,5377,T,2
0,8598,8946,T,2
0,8598,8959,T,1
0,8598,8965,T,1
0,8598,8828,G,1
0,8601,8691,T,1
0,8601,8669,T,1
0,8601,5387,T,1
0,8601,8838,G,2
0,8601,5723,G,1
0,8602,5384,T,3
0,8602,8968,T,1
0,8602,8875,T,1
0,8602,8922,G,1
0,8602,8918,G,1
0,8602,8875,G,1
0,8605,8933,T,1
0,8605,5379,T,1
0,8605,11492,G,2
0,8605,8834,G,1
0,8605,8864,G,2
0,8603,8882,T,1
0,8603,5723,T,1
0,8603,8969,T,1
0,8603,5383,T,1
0,8603,8946,G,1
0,8603,8929,G,1
0,8603,8970,G,1
0,8603,5404,OFF,1
0,8604,8741,T,1
0,8604,5393,T,2
0,8604,5405,T,1
0,8604,5395,T,1
0,8604,8728,G,2
0,8604,5393,G,5
0,8607,8973,T,1
0,8607,5393,T,1
0,8607,9001,T,1
0,8607,5393,G,1
0,8608,8947,T,1
0,8608,5384,T,1
0,8608,8864,G,1
0,8608,8922,G,3
0,8606,8971,G,2
0,8606,8966,G,2
0,8606,8970,G,1
0,8606,8982,OFF,1
0,8609,8957,T,1
0,8609,8882,T,1
0,8609,5377,T,1
0,8609,8965,T,1
0,8609,8728,G,1
0,8609,5377,G,1
0,8609,8946,G,1
0,8610,8953,T,1
0,8610,8975,T,1
0,8610,8974,T,1
0,8610,8954,G,1
0,8612,3582,T,1
0,8612,5393,G,2
0,8612,11492,G,3
0,8612,8933,G,1
0,8613,5379,T,1
0,8613,8882,T,1
0,8613,5383,T,1
0,8613,8976,T,1
0,8613,8834,G,2
0,8611,8863,T,2
0,8611,8929,T,1
0,8611,8922,G,3
0,8611,8970,G,1
0,8615,8847,T,2
0,8615,8953,T,1
0,8615,8854,T,1
0,8615,8927,T,1
0,8615,8978,T,1
0,8615,5385,T,1
0,8615,5394,T,1
0,8615,8933,G,2
0,8615,8698,G,1
0,8615,8905,FG,1
0,8614,5393,T,1
0,8614,8977,T,1
0,8614,5380,T,1
0,8614,8971,G,1
0,8614,5393,G,2
0,8614,5722,G,1
0,8614,8843,FG,1
0,8616,8903,T,1
0,8616,8882,T,1
0,8616,8946,G,1
0,8616,8922,G,1
0,8616,5383,G,1
0,8617,8939,T,1
0,8617,8941,T,1
0,8617,8834,T,1
0,8617,8980,G,1
0,8617,8834,G,3
0,8621,8922,G,1
0,8621,8834,G,1
0,8619,8864,G,1
0,8619,8980,G,2
0,8618,5723,T,1
0,8618,8953,T,1
0,8618,8981,T,1
0,8618,8971,G,1
0,8620,5377,T,2
0,8620,8962,T,1
0,8620,5729,T,1
0,8620,5380,T,1
0,8620,8843,T,1
0,8620,5383,G,2
0,8620,5722,G,3
0,8620,5393,G,3
0,8624,5729,T,1
0,8624,8834,G,2
0,8624,8843,FG,1
0,8622,5384,T,2
0,8622,8975,T,1
0,8622,8922,T,1
0,8622,8691,T,1
0,8622,8863,T,1
0,8622,8939,T,1
0,8622,7522,T,1
0,8622,8922,G,5
0,8622,8939,G,1
0,8622,8980,G,1
0,8623,8947,T,1
0,8623,5723,T,1
0,8623,8847,T,1
0,8623,8669,T,1
0,8623,8982,T,1
0,8623,8864,G,1
0,8623,8838,G,2
0,8625,8903,T,1
0,8625,8882,T,1
0,8625,8738,T,1
0,8625,5383,G,1
0,8625,8928,G,2
0,8626,5728,T,1
0,8626,5378,T,1
0,8626,8990,T,1
0,8626,8928,G,3
0,8626,8834,G,2
0,8629,7522,T,2
0,8629,3583,T,1
0,8629,8926,T,1
0,8629,8922,G,1
0,8629,8875,G,1
0,8629,8962,OFF,1
0,8628,5400,T,1
0,8628,5405,T,2
0,8628,12210,T,1
0,8628,8980,T,1
0,8628,5387,T,1
0,8628,8963,T,1
0,8628,8929,G,1
0,8628,8980,G,3
0,8627,5377,T,1
0,8627,8864,T,1
0,8627,5377,G,2
0,8627,11492,G,1
0,8630,8953,T,1
0,8630,5384,T,3
0,8630,8954,T,1
0,8630,8863,T,3
0,8630,8928,T,1
0,8630,8875,T,1
0,8630,8928,G,2
0,8630,8922,G,2
0,8630,5386,G,1
0,8631,5722,T,1
0,8631,8939,T,1
0,8631,8985,T,1
0,8631,8984,T,1
0,8631,5393,T,1
0,8631,8736,G,1
0,8631,5393,G,1
0,8632,5728,T,1
0,8632,8854,T,2
0,8632,8642,T,1
0,8632,8947,T,1
0,8632,5410,T,1
0,8632,8834,G,4
0,8632,5410,G,1
0,8633,5723,T,1
0,8633,8882,T,2
0,8633,8838,T,1
0,8633,8952,T,2
0,8633,8959,T,1
0,8633,5377,T,1
0,8633,8929,G,3
0,8633,8946,G,1
0,8633,5383,G,1
0,8633,5406,FG,1
0,8634,5722,T,1
0,8634,5393,T,1
0,8634,5380,T,1
0,8634,8928,G,3
0,8634,5393,G,4
0,8634,8986,G,1
0,8634,5722,G,1
0,8637,5379,T,1
0,8637,8669,T,1
0,8637,8834,T,1
0,8637,20811,T,1
0,8637,8834,G,3
0,8635,5384,T,2
0,8635,8847,T,2
0,8635,8922,T,1
0,8635,8875,T,1
0,8635,9027,T,1
0,8635,8922,G,1
0,8635,8864,G,3
0,8636,8965,T,3
0,8636,8939,T,1
0,8636,8882,T,1
0,8636,8944,T,1
0,8636,8952,T,1
0,8636,8946,G,1
0,8636,5383,G,1
0,8640,5385,T,1
0,8640,5393,T,1
0,8640,5729,T,1
0,8640,5380,T,1
0,8640,8864,G,5
0,8640,5393,G,5
0,8640,8985,G,1
0,8638,8971,T,1
0,8638,5384,T,6
0,8638,8863,T,1
0,8638,7522,T,1
0,8638,8838,G,2
0,8638,8922,G,6
0,8638,8971,OFF,1
0,8641,8738,T,2
0,8641,5379,T,2
0,8641,5728,T,1
0,8641,5382,T,1
0,8641,8946,G,2
0,8641,8834,G,6
0,8639,8928,T,1
0,8639,8928,G,4
0,8642,8968,T,1
0,8642,5410,T,1
0,8642,13498,T,1
0,8642,5385,T,1
0,8642,8928,G,3
