,match_id,player_id,score,n_scores
0,21483,13898,T,2
0,21483,1379,T,1
0,21483,143,T,1
0,21483,2754,T,1
0,21483,14994,T,1
0,21483,5684,T,1
0,21483,834,T,1
0,21483,7833,T,1
0,21483,5630,T,1
0,21483,1587,T,1
0,21483,2753,T,1
0,21483,143,G,6/8
0,21483,7833,G,4/4
0,21483,5665,G,0/1
0,21483,7833,FG,1
0,21484,16573,T,1
0,21484,5689,T,1
0,21484,16572,T,1
0,21484,13860,T,1
0,21484,13566,T,1
0,21484,14517,T,1
0,21484,116,G,1/3
0,21484,125,G,2/3
0,21485,158,T,2
0,21485,758,T,2
0,21485,13862,T,1
0,21485,3709,T,1
0,21485,3444,T,1
0,21485,13818,G,3/3
0,21485,758,G,4/5
0,21487,1372,T,1
0,21487,3516,T,2
0,21487,1911,T,1
0,21487,811,T,1
0,21487,5570,T,1
0,21487,163,T,1
0,21487,59,G,2/3
0,21487,1388,G,4/4
0,21487,1388,FG,1
0,21486,14532,T,1
0,21486,789,T,1
0,21486,7734,T,1
0,21486,5561,T,1
0,21486,742,G,3/4
0,21486,1635,G,1/1
0,21486,16582,G,0/1
0,21488,13581,T,1
0,21488,3519,T,1
0,21488,13819,T,1
0,21488,14545,T,1
0,21488,13576,T,1
0,21488,13859,T,1
0,21488,5558,T,1
0,21488,3447,T,1
0,21488,13939,T,1
0,21488,13581,G,6/7
0,21488,2751,G,2/2
0,21488,3616,OFF,1
0,21489,7838,T,1
0,21489,7811,T,2
0,21489,275,T,1
0,21489,16584,T,1
0,21489,295,T,1
0,21489,1615,T,1
0,21489,7853,T,1
0,21489,3617,G,2/2
0,21489,1618,G,4/4
0,21489,275,G,3/4
0,21490,7717,T,1
0,21490,3763,T,1
0,21490,5548,T,1
0,21490,312,T,1
0,21490,777,T,1
0,21490,1423,T,1
0,21490,3180,T,1
0,21490,5688,G,4/5
0,21490,312,G,1/3
0,21491,7429,T,1
0,21491,7838,T,1
0,21491,3617,T,1
0,21491,288,T,1
0,21491,758,G,1/1
0,21491,3617,G,4/5
0,21492,13576,T,1
0,21492,14502,T,1
0,21492,7803,T,1
0,21492,13566,T,1
0,21492,13581,G,0/1
0,21492,116,G,4/4
0,21493,735,T,2
0,21493,7764,T,1
0,21493,1595,T,1
0,21493,3524,T,1
0,21493,5653,T,1
0,21493,15020,T,1
0,21493,1392,T,1
0,21493,742,T,1
0,21493,742,G,6/7
0,21493,59,G,2/2
0,21494,3763,T,2
0,21494,5572,T,1
0,21494,13896,T,1
0,21494,2246,T,1
0,21494,319,T,1
0,21494,312,G,2/4
0,21494,112,G,2/2
0,21495,1764,T,2
0,21495,847,T,1
0,21495,13578,T,1
0,21495,16584,T,1
0,21495,14534,T,1
0,21495,5547,T,1
0,21495,1618,T,1
0,21495,5555,T,1
0,21495,7853,T,1
0,21495,125,G,3/4
0,21495,1618,G,5/6
0,21496,2754,T,2
0,21496,5688,T,1
0,21496,323,T,1
0,21496,7858,T,1
0,21496,7717,T,1
0,21496,16594,T,1
0,21496,149,T,1
0,21496,7833,G,3/4
0,21496,5688,G,4/5
0,21496,7833,FG,1
0,21496,323,BIN,1
0,21497,5553,T,1
0,21497,13912,T,1
0,21497,791,T,1
0,21497,14998,T,1
0,21497,5552,T,1
0,21497,828,T,1
0,21497,7813,T,1
0,21497,143,G,2/3
0,21497,16582,G,5/5
0,21497,16582,FG,1
0,21498,339,T,2
0,21498,5642,T,1
0,21498,849,T,1
0,21498,14553,T,1
0,21498,2751,G,2/4
0,21498,1388,G,1/2
0,21499,1402,T,1
0,21499,5488,T,2
0,21499,3444,T,1
0,21499,844,T,1
0,21499,835,T,1
0,21499,1379,T,1
0,21499,323,T,1
0,21499,758,G,3/3
0,21499,7833,G,6/6
0,21499,1402,BIN,1
0,21500,1911,T,1
0,21500,13567,T,1
0,21500,107,T,1
0,21500,59,G,2/2
0,21500,116,G,3/3
0,21501,7838,T,1
0,21501,14507,T,2
0,21501,288,T,1
0,21501,802,T,1
0,21501,299,T,1
0,21501,14545,T,1
0,21501,13821,T,1
0,21501,2725,T,1
0,21501,3617,G,2/2
0,21501,2751,G,8/8
0,21506,13896,T,1
0,21506,13576,T,3
0,21506,14510,T,1
0,21506,13735,T,1
0,21506,800,T,1
0,21506,13939,T,1
0,21506,3763,T,1
0,21506,13972,T,1
0,21506,1360,T,1
0,21506,312,G,5/8
0,21506,13581,G,2/5
0,21503,109,T,1
0,21503,5642,T,2
0,21503,7824,T,1
0,21503,804,T,1
0,21503,14553,T,1
0,21503,13818,G,2/2
0,21503,1388,G,4/4
0,21503,1388,FG,1
0,21503,804,BIN,1
0,21504,7854,T,2
0,21504,5552,T,2
0,21504,815,T,1
0,21504,791,T,1
0,21504,7858,T,1
0,21504,7836,T,1
0,21504,5688,G,4/5
0,21504,143,G,2/4
0,21505,14998,T,2
0,21505,3536,T,2
0,21505,7727,T,2
0,21505,789,T,1
0,21505,16582,G,3/5
0,21505,1618,G,2/2
0,21502,123,T,2
0,21502,14533,T,1
0,21502,1764,T,2
0,21502,16592,T,1
0,21502,14517,T,1
0,21502,125,G,5/6
0,21502,742,G,1/1
0,21507,15028,T,3
0,21507,14546,T,2
0,21507,2754,T,2
0,21507,16595,T,1
0,21507,5488,T,1
0,21507,14998,T,1
0,21507,15032,T,1
0,21507,828,T,1
0,21507,5665,G,2/3
0,21507,16582,G,3/6
0,21507,7833,G,2/4
0,21508,13877,T,1
0,21508,3617,T,1
0,21508,13567,T,1
0,21508,2755,T,1
0,21508,13566,T,1
0,21508,116,G,3/5
0,21508,3617,G,1/2
0,21509,13581,T,1
0,21509,303,T,1
0,21509,7862,T,1
0,21509,316,T,1
0,21509,3447,T,1
0,21509,1631,T,1
0,21509,13939,T,1
0,21509,13875,T,1
0,21509,13581,G,3/4
0,21509,328,G,2/2
0,21509,303,G,1/2
0,21509,303,FG,1
0,21510,758,T,2
0,21510,14554,T,2
0,21510,16579,T,1
0,21510,1764,T,1
0,21510,8556,T,1
0,21510,141,T,1
0,21510,758,G,3/4
0,21510,125,G,2/4
0,21511,7827,T,1
0,21511,16578,T,2
0,21511,2725,T,1
0,21511,5572,T,1
0,21511,2751,T,1
0,21511,13818,T,1
0,21511,2751,G,3/3
0,21511,13818,G,5/5
0,21512,5567,T,1
0,21512,3516,T,1
0,21512,5547,T,1
0,21512,804,T,1
0,21512,5555,T,1
0,21512,5642,T,1
0,21512,275,G,3/3
0,21512,1388,G,4/4
0,21513,791,T,1
0,21513,16588,T,1
0,21513,13579,T,1
0,21513,5552,T,1
0,21513,834,T,1
0,21513,143,G,4/5
0,21513,312,G,1/1
0,21513,834,BIN,1
0,21514,14532,T,2
0,21514,7717,T,1
0,21514,14505,T,1
0,21514,149,T,1
0,21514,7734,T,1
0,21514,3180,T,1
0,21514,7737,T,1
0,21514,742,G,5/6
0,21514,5688,G,2/3
0,21515,123,T,1
0,21515,1911,T,1
0,21515,3521,T,1
0,21515,7857,T,1
0,21515,125,T,1
0,21515,141,T,1
0,21515,125,G,3/4
0,21515,59,G,2/2
0,21516,13942,T,2
0,21516,7833,T,1
0,21516,5487,T,1
0,21516,312,T,1
0,21516,757,T,1
0,21516,312,G,5/6
0,21516,7833,G,1/1
0,21516,312,BIN,1
0,21517,109,T,1
0,21517,5552,T,1
0,21517,13862,T,1
0,21517,5565,T,1
0,21517,160,T,1
0,21517,5572,T,1
0,21517,13818,G,4/5
0,21517,143,G,2/2
0,21518,5676,T,1
0,21518,13912,T,1
0,21518,13820,T,1
0,21518,15032,T,1
0,21518,1586,T,1
0,21518,2751,G,2/3
0,21518,16582,G,3/3
0,21518,7827,FG,1
0,21518,16582,FG,1
0,21519,288,T,3
0,21519,7432,T,1
0,21519,2752,T,1
0,21519,13939,T,1
0,21519,115,T,1
0,21519,3617,T,1
0,21519,3617,G,6/7
0,21519,13581,G,1/2
0,21520,2745,T,2
0,21520,3530,T,1
0,21520,1595,T,1
0,21520,14532,T,1
0,21520,1392,T,1
0,21520,735,T,1
0,21520,742,G,4/6
0,21520,14533,G,1/1
0,21521,804,T,2
0,21521,7854,T,1
0,21521,3516,T,1
0,21521,803,T,1
0,21521,1388,G,4/5
0,21521,5688,G,1/1
0,21521,1388,FG,1
0,21522,16572,T,2
0,21522,5555,T,1
0,21522,13877,T,1
0,21522,14502,T,1
0,21522,116,G,0/4
0,21522,275,G,1/1
0,21522,111,FG,1
0,22385,3524,T,2
0,22385,13942,T,1
0,22385,1375,T,1
0,22385,800,T,1
0,22385,59,T,1
0,22385,59,G,2/4
0,22385,312,G,3/4
0,22384,3709,T,2
0,22384,7854,T,3
0,22384,7858,T,2
0,22384,3180,T,1
0,22384,758,G,3/3
0,22384,5688,G,5/7
0,22384,3709,BIN,1
0,22384,815,BIN,1
0,22384,767,BIN,1
0,22384,816,BIN,1
0,22386,14546,T,1
