,match_id,player_id,score,n_scores
0,8919,9073,T,2
0,8919,9030,T,2
0,8919,9024,T,1
0,8919,9034,G,1
0,8919,9014,G,2
0,8919,8807,G,1
0,8920,9023,T,2
0,8920,9156,T,1
0,8920,9045,T,1
0,8920,9066,T,1
0,8920,5383,G,4
0,8921,5723,T,2
0,8921,5377,T,1
0,8921,5377,G,4
0,8921,9136,G,5
0,8922,8894,T,1
0,8922,12640,T,1
0,8922,9157,T,1
0,8922,5739,T,1
0,8922,9046,T,1
0,8922,5770,T,1
0,8922,9140,G,3
0,8922,5770,G,4
0,8925,9034,G,2
0,8925,8738,G,1
0,8925,5383,G,1
0,8923,5723,T,1
0,8923,9116,T,1
0,8923,9147,T,1
0,8923,8807,G,3
0,8923,5400,G,2
0,8923,9116,G,1
0,8923,5377,G,1
0,8924,9159,T,1
0,8924,9104,T,1
0,8924,5385,T,1
0,8924,9136,G,1
0,8924,9141,G,4
0,8926,9046,T,2
0,8926,9160,T,1
0,8926,9161,T,1
0,8926,8952,T,1
0,8926,5739,T,1
0,8926,5770,T,1
0,8926,5737,G,1
0,8926,5727,G,1
0,8926,5770,G,1
0,8926,9162,G,1
0,8927,5384,T,1
0,8927,8764,T,1
0,8927,8807,G,1
0,8928,5394,T,1
0,8928,9083,T,1
0,8928,9163,T,1
0,8928,8922,G,1
0,8928,9136,G,1
0,8928,8946,OFF,1
0,8929,9073,G,3
0,8930,8978,T,1
0,8930,9046,T,1
0,8930,5770,G,1
0,8930,5383,G,3
0,8930,8738,G,1
0,8932,9078,T,1
0,8932,9034,T,1
0,8932,5380,T,1
0,8932,9034,G,1
0,8932,9073,G,1
0,8933,9111,T,1
0,8933,5723,T,1
0,8933,9116,T,1
0,8933,9040,T,1
0,8933,9147,T,1
0,8933,5383,G,1
0,8933,5400,G,2
0,8933,5377,G,1
0,8931,9151,T,2
0,8931,9164,T,1
0,8931,9120,T,1
0,8931,9165,T,1
0,8931,5385,T,1
0,8931,9136,G,3
0,8931,5727,G,2
0,8934,9140,T,1
0,8934,9030,T,3
0,8934,5384,T,1
0,8934,9024,T,1
0,8934,9140,G,1
0,8934,8807,G,4
0,8937,9078,T,1
0,8937,8854,T,1
0,8937,8955,T,1
0,8937,9034,G,2
0,8937,9073,G,1
0,8935,5384,T,3
0,8935,9030,T,3
0,8935,9024,T,2
0,8935,5442,T,1
0,8935,8807,G,7
0,8936,5723,T,2
0,8936,5722,T,1
0,8936,5377,T,2
0,8936,9139,T,1
0,8936,9040,T,1
0,8936,5377,G,2
0,8936,9141,G,1
0,8936,5400,G,1
0,8938,5737,T,1
0,8938,8922,T,2
0,8938,5739,T,1
0,8938,5770,T,1
0,8938,5770,G,1
0,8938,8922,G,2
0,8938,9136,G,1
0,8940,9057,T,1
0,8940,9028,T,2
0,8940,9167,T,1
