,match_id,player_id,score,n_scores
0,13568,1535,T,1
0,13568,3896,T,1
0,13568,6874,T,1
0,13568,11204,T,1
0,13568,5999,T,1
0,13568,11066,T,1
0,13568,3927,T,1
0,13568,13321,G,2/2
0,13568,6852,G,8/9
0,13568,6110,OFF,1
0,13569,11296,T,1
0,13569,1515,T,2
0,13569,6085,T,1
0,13569,6059,T,1
0,13569,4094,T,1
0,13569,11323,T,1
0,13569,3901,T,1
0,13569,3799,T,1
0,13569,11324,G,5
0,13569,3797,G,4
0,13569,11265,G,1
0,13569,11273,G,1
0,13570,3862,T,1
0,13570,1514,T,1
0,13570,3769,T,1
0,13570,11124,T,1
0,13570,11325,T,1
0,13570,3876,T,1
0,13570,3935,T,1
0,13570,11179,T,1
0,13570,3846,G,3/6
0,13570,1514,G,6/8
0,13571,3819,T,2
0,13571,11326,T,2
0,13571,6109,T,2
0,13571,11135,T,1
0,13571,1134,T,1
0,13571,11156,T,1
0,13571,3770,T,1
0,13571,11248,T,1
0,13571,3819,G,5/6
0,13571,11288,G,5/8
0,13572,11312,T,3
0,13572,11304,T,1
0,13572,8243,T,2
0,13572,11289,T,1
0,13572,4146,T,1
0,13572,11082,T,1
0,13572,11327,T,1
0,13572,7906,T,1
0,13572,4054,T,1
0,13572,3839,G,8/11
0,13573,11029,T,2
0,13573,3942,T,1
0,13573,3840,G,1/4
0,13573,1551,G,1/1
0,13573,3778,G,0/1
0,13573,6060,G,0/2
0,13574,11294,T,2
0,13574,1544,T,2
0,13574,11252,T,1
0,13574,11289,T,1
0,13574,11220,T,1
0,13574,11288,G,2/5
0,13574,3951,G,1/6
0,13574,11220,G,1/3
0,13577,3872,T,1
0,13577,3862,T,1
0,13577,1548,T,1
0,13577,11118,T,1
0,13577,11323,T,1
0,13577,11329,T,1
0,13577,3837,T,1
0,13577,1516,T,1
0,13577,3797,G,4/12
0,13577,3846,G,4/5
0,13578,1868,T,1
0,13578,11295,T,1
0,13578,3942,T,1
0,13578,8243,T,1
0,13578,1551,G,4/4
0,13578,3839,G,2/3
0,13578,6060,G,1/3
0,13578,8243,FG,1
0,13578,3839,FG,1
