,match_id,player_id,score,n_scores
0,26748,1615,T,1
0,26748,804,T,1
0,26748,5547,T,1
0,26748,3701,T,1
0,26748,275,G,3/4
0,26748,1388,G,3/3
0,26748,1388,FG,1
0,26749,7833,T,1
0,26749,848,T,1
0,26749,2748,T,1
0,26749,13566,T,1
0,26749,758,G,1/1
0,26749,116,G,3/3
0,26750,7739,T,1
0,26750,735,T,2
0,26750,13819,T,1
0,26750,1595,T,1
0,26750,13859,T,1
0,26750,15020,T,1
0,26750,13581,G,3/3
0,26750,742,G,4/5
0,26750,13735,FG,1
0,26751,2752,T,1
0,26751,7854,T,1
0,26751,5563,T,1
0,26751,5688,T,1
0,26751,5548,T,1
0,26751,17168,T,1
0,26751,3617,G,2/2
0,26751,3180,G,3/4
0,26751,5663,G,1/1
0,26752,7858,T,2
0,26752,1911,T,1
0,26752,59,G,3/5
0,26756,171,T,2
0,26756,16582,T,1
0,26756,17202,T,1
0,26756,1760,T,1
0,26756,13904,T,1
0,26756,1610,T,1
0,26756,7727,T,1
0,26756,7813,T,1
0,26756,13818,G,2/4
0,26756,1635,G,3/5
0,26756,5557,BIN,1
0,26757,5675,T,2
0,26757,802,T,1
0,26757,312,T,1
0,26757,791,T,1
0,26757,3527,T,1
0,26757,312,G,2/3
0,26757,791,G,2/4
0,26757,312,FG,1
0,26758,844,T,1
0,26758,14506,T,1
0,26758,13960,T,1
0,26758,834,T,1
0,26758,1587,T,1
0,26758,17071,T,1
0,26758,13876,T,1
0,26758,19417,G,4/5
0,26758,13901,G,4/4
0,26770,16582,T,1
0,26770,3530,T,1
0,26770,827,T,1
0,26770,2830,T,1
0,26770,7813,T,1
0,26770,5675,T,1
0,26770,1635,G,5/5
0,26770,312,G,3/4
0,26771,13877,T,1
0,26771,123,T,2
0,26771,13586,T,1
0,26771,746,T,1
0,26771,5649,T,1
0,26771,16662,T,1
0,26771,13566,T,1
0,26771,108,T,1
0,26771,116,G,5/5
0,26771,125,G,4/5
0,26772,17288,T,1
0,26772,13581,T,2
0,26772,7855,T,1
0,26772,13735,T,1
0,26772,7862,T,1
0,26772,59,G,2/2
0,26772,13581,G,4/4
0,26772,790,BIN,1
0,26773,5548,T,3
0,26773,14553,T,1
0,26773,3165,T,1
0,26773,5688,T,1
0,26773,3180,G,5/5
0,26773,1388,G,0/1
0,26774,339,T,1
0,26774,5567,T,1
0,26774,7811,T,1
0,26774,7853,T,1
0,26774,791,G,1/1
0,26774,1618,G,3/3
0,26775,5563,T,2
0,26775,7816,T,1
0,26775,5663,G,3/3
0,26776,7734,T,2
0,26776,3482,T,1
0,26776,735,T,2
0,26776,13960,T,1
0,26776,14532,T,1
0,26776,742,G,2/5
0,26776,19417,G,1/2
0,26777,7833,T,2
0,26777,14518,T,2
0,26777,19469,T,1
0,26777,19473,T,1
0,26777,17375,T,1
0,26777,13904,T,1
0,26777,13818,T,1
0,26777,2462,T,1
0,26777,7833,G,2/4
0,26777,13818,G,6/6
0,26778,811,T,1
0,26778,2830,T,1
0,26778,163,T,1
0,26778,5675,T,1
0,26778,801,T,1
0,26778,5551,T,1
0,26778,16581,T,1
0,26778,13939,T,1
0,26778,1388,G,6/7
0,26778,312,G,2/2
0,26779,5547,T,1
0,26779,13877,T,1
0,26779,7853,T,1
0,26779,14502,T,1
0,26779,13567,T,1
0,26779,107,T,1
0,26779,295,G,1/1
0,26779,2748,G,4/5
0,26779,1618,G,0/1
0,26780,1911,T,1
0,26780,14532,T,2
0,26780,735,T,2
0,26780,5653,T,1
0,26780,1392,T,1
0,26780,59,G,1/1
0,26780,742,G,2/5
0,26780,14533,G,1/1
0,26781,1764,T,3
0,26781,17217,T,1
0,26781,123,T,1
0,26781,3521,T,1
0,26781,15022,T,1
0,26781,1921,T,1
0,26781,15034,T,1
0,26781,125,G,5/8
0,26781,7833,G,1/1
0,26782,14522,T,1
0,26782,13907,T,2
0,26782,13818,T,1
0,26782,7854,T,1
0,26782,2462,T,1
0,26782,16587,T,1
0,26782,13861,T,1
0,26782,3180,T,1
0,26782,13818,G,3/3
0,26782,3180,G,4/6
0,26783,143,T,1
0,26783,109,T,1
0,26783,13901,T,1
0,26783,13581,T,1
0,26783,143,G,3/3
0,26783,13581,G,0/2
0,26784,2752,T,2
0,26784,3722,T,2
0,26784,2755,T,1
0,26784,147,T,1
0,26784,3437,T,1
0,26784,19416,T,1
0,26784,1379,T,1
0,26784,13960,T,1
0,26784,5663,G,4/4
0,26784,19417,G,8/8
0,26785,8575,T,1
0,26785,15032,T,2
0,26785,14545,T,1
0,26785,820,T,1
0,26785,339,T,1
0,26785,791,G,2/3
0,26785,1635,G,1/3
0,26785,791,FG,1
0,26792,753,T,1
0,26792,8556,T,3
0,26792,2752,T,1
0,26792,7838,T,1
0,26792,5563,T,1
0,26792,271,T,1
0,26792,7833,G,1/1
0,26792,5663,G,5/7
0,26792,2752,FG,1
0,26793,19416,T,2
0,26793,13877,T,2
0,26793,14502,T,1
0,26793,7803,T,1
0,26793,19417,G,2/3
0,26793,2748,G,2/4
0,26793,16572,BIN,1
0,26794,17202,T,2
0,26794,1401,T,1
0,26794,2246,T,1
0,26794,16888,T,1
0,26794,171,T,1
0,26794,13818,G,3/5
0,26794,59,G,1/1
0,26795,5642,T,2
0,26795,7727,T,1
0,26795,1599,T,1
0,26795,1388,G,2/3
0,26795,1635,G,1/1
0,26795,1388,FG,1
0,26796,123,T,1
0,26796,14510,T,1
0,26796,3521,T,1
0,26796,299,T,1
0,26796,1764,T,1
0,26796,339,T,1
0,26796,125,G,1/4
0,26796,791,G,4/4
0,26797,1595,T,2
0,26797,17201,T,1
0,26797,735,T,2
0,26797,5652,T,1
0,26797,745,T,1
0,26797,7734,T,1
0,26797,7737,T,1
0,26797,742,G,5/7
0,26797,143,G,0/1
0,26797,14533,G,1/1
0,26798,13861,T,1
0,26798,847,T,1
0,26798,1615,T,1
0,26798,17204,T,1
0,26798,3180,G,1/1
0,26798,275,G,4/4
0,26799,2115,T,1
0,26799,13581,T,2
0,26799,16929,T,1
0,26799,790,T,1
0,26799,7434,T,1
0,26799,14538,T,1
0,26799,13859,T,1
0,26799,312,G,2/3
0,26799,13581,G,5/6
0,26812,5652,T,1
0,26812,5547,T,2
0,26812,14532,T,1
0,26812,818,T,1
0,26812,745,T,1
0,26812,1615,T,1
0,26812,1910,T,1
0,26812,735,T,1
0,26812,14533,T,1
0,26812,742,G,5/6
0,26812,275,G,3/3
0,26812,7811,G,0/1
0,26813,14502,T,1
0,26813,3701,T,1
0,26813,13567,T,1
0,26813,5642,T,1
0,26813,7732,T,1
0,26813,7740,T,1
0,26813,14500,T,1
0,26813,14553,T,1
0,26813,2748,T,1
0,26813,2748,G,4/6
0,26813,1388,G,2/4
0,26814,17317,T,1
0,26814,8575,T,1
0,26814,7838,T,1
0,26814,7827,T,1
0,26814,5563,T,1
0,26814,5663,G,1/3
0,26814,791,G,3/4
0,26814,791,FG,1
0,26815,3709,T,2
0,26815,14546,T,1
0,26815,7429,T,1
0,26815,820,T,1
0,26815,17375,T,1
0,26815,19619,T,1
0,26815,828,T,1
0,26815,7833,G,6/6
0,26815,16582,G,2/4
0,26815,7833,FG,1
0,26816,5553,T,1
0,26816,16578,T,1
0,26816,5552,T,1
0,26816,158,T,1
0,26816,834,T,1
0,26816,15029,T,1
0,26816,143,G,5/6
0,26816,13818,G,0/2
0,26817,303,T,1
0,26817,7854,T,1
0,26817,13583,T,1
0,26817,5548,T,1
0,26817,17215,T,1
0,26817,777,T,1
0,26817,153,T,1
0,26817,17168,T,1
0,26817,3180,T,1
0,26817,59,G,2/4
0,26817,3180,G,5/5
0,26818,13896,T,1
0,26818,5665,T,2
0,26818,7434,T,1
0,26818,19416,T,1
0,26818,1423,T,1
0,26818,312,G,2/3
0,26818,19417,G,2/3
