,match_id,player_id,score,n_scores
0,10328,9699,T,2
0,10328,9996,T,2
0,10328,10091,T,1
0,10328,10346,T,2
0,10328,9960,T,1
0,10328,10092,T,1
0,10328,10009,G,4
0,10328,10093,G,1
0,10328,9651,G,1
0,10329,5841,T,1
0,10329,9998,T,2
0,10329,9827,T,1
0,10329,5819,T,1
0,10329,9920,T,1
0,10329,5862,T,1
0,10329,10094,G,1
0,10329,10095,G,2
0,10329,9827,G,1
0,10329,5838,G,1
0,10330,5581,T,2
0,10330,10096,T,1
0,10330,10086,T,1
0,10330,10077,T,1
0,10330,9907,T,1
0,10330,10097,T,1
0,10330,9881,T,1
0,10330,9922,G,2
0,10330,10084,G,2
0,10330,49852,G,1
0,10331,10019,T,1
0,10331,5845,T,2
0,10331,11559,T,1
0,10331,9872,T,1
0,10331,10098,T,1
0,10331,10099,T,1
0,10331,9210,T,1
0,10331,10019,G,1
0,10331,5845,G,4
0,10331,10100,G,1
0,10335,10021,T,2
0,10335,9752,T,1
0,10335,5841,T,1
0,10335,10102,T,1
0,10335,9827,T,1
0,10335,9751,T,1
0,10335,10101,T,1
0,10335,9920,T,1
0,10335,5850,T,1
0,10335,9827,G,5
0,10335,9814,G,2
0,10332,9986,T,2
0,10332,5853,T,1
0,10332,9815,T,2
0,10332,10086,T,1
0,10332,9998,T,1
0,10332,9941,T,1
0,10332,5819,T,1
0,10332,5838,T,1
0,10332,9730,G,7
0,10332,9922,G,3
0,10333,9996,T,1
0,10333,10079,T,1
0,10333,10346,T,1
0,10333,9996,G,1
0,10333,10033,G,3
0,10333,9651,G,1
0,10333,5840,OFF,1
0,10334,10027,T,1
0,10334,10063,T,3
0,10334,9907,T,1
0,10334,9872,T,1
0,10334,5885,T,1
0,10334,10055,T,1
0,10334,8136,T,1
0,10334,10084,G,1
0,10334,5845,G,3
0,10334,10100,G,2
0,10336,5839,T,1
0,10336,10019,T,1
0,10336,9900,T,1
0,10336,11559,T,1
0,10336,9751,T,1
0,10336,10009,G,1
0,10336,10103,G,3
0,10337,10072,T,2
0,10337,10105,T,1
0,10337,12762,T,1
0,10337,9741,T,1
0,10337,5800,T,1
0,10337,10021,T,1
0,10337,9827,G,9
0,10339,9941,T,3
0,10339,10063,T,1
0,10339,5847,T,1
0,10339,10055,T,1
0,10339,29628,T,1
0,10339,8136,T,1
0,10339,9730,G,5
0,10339,5845,G,4
0,10338,10027,T,1
0,10338,9996,T,2
0,10338,5901,T,1
0,10338,10346,T,1
0,10338,49852,G,1
0,10338,10106,G,3
0,10338,9781,G,1
0,10340,9939,T,1
0,10340,9827,T,2
0,10340,5845,T,1
0,10340,10082,T,1
0,10340,10108,T,1
0,10340,5850,T,1
0,10340,5845,G,8
0,10340,9827,G,5
0,10341,9996,T,1
0,10341,9998,T,1
0,10341,10346,T,1
0,10341,9941,T,1
0,10341,5819,T,1
0,10341,29628,T,1
0,10341,9626,G,2
0,10341,9730,G,3
0,10341,9506,OFF,1
0,10341,9960,OFF,1
0,10341,9868,OFF,1
0,10343,5581,T,2
0,10343,5839,T,2
0,10343,9897,T,1
0,10343,10071,T,1
0,10343,12469,G,2
0,10343,9814,G,2
0,10343,9896,G,2
0,10342,5840,T,3
0,10342,10096,T,1
0,10342,10103,T,1
0,10342,10027,T,1
0,10342,10079,T,1
0,10342,10037,T,1
0,10342,10103,G,4
0,10342,9781,G,3
0,10342,9849,G,1
0,10344,5842,T,2
0,10344,5855,T,2
0,10344,9783,T,1
0,10344,10109,T,1
0,10344,8136,T,1
0,10344,10100,G,6
0,10344,12469,G,2
0,10345,10110,T,2
0,10345,9907,T,1
0,10345,5839,T,1
0,10345,9973,T,1
0,10345,9814,G,2
0,10345,10084,G,2
0,10346,10108,T,1
0,10346,9996,T,1
0,10346,10046,T,1
0,10346,10018,T,1
0,10346,10021,T,1
0,10346,5850,T,1
0,10346,9827,G,6
0,10346,10018,G,2
0,10346,10072,OFF,1
0,10347,9210,T,2
0,10347,9941,T,1
0,10347,10019,T,1
0,10347,10067,T,1
0,10347,10033,T,1
0,10347,10103,G,2
0,10347,9730,G,3
0,10347,10019,G,1
0,10347,10067,G,1
0,10351,9751,T,1
0,10351,9872,T,2
0,10351,10110,T,1
0,10351,9783,T,1
0,10351,9814,G,1
0,10351,5845,G,1
0,10349,5850,T,1
0,10349,9210,T,2
0,10349,9835,T,1
0,10349,9827,G,3
0,10349,10103,G,1
0,10349,10033,G,1
0,10348,5901,T,1
0,10348,9897,T,1
0,10348,12467,T,1
0,10348,9960,T,1
0,10348,9626,G,4
0,10348,10111,G,1
0,10350,9935,T,1
0,10350,5819,T,2
0,10350,9998,T,1
0,10350,9941,T,1
0,10350,5843,T,1
0,10350,29628,T,1
0,10350,9781,G,3
0,10350,5838,G,3
0,10354,5819,T,2
0,10354,9814,T,1
0,10354,9986,T,2
0,10354,10113,T,1
0,10354,9815,T,2
0,10354,9941,T,1
0,10354,10112,T,1
0,10354,9730,G,10
0,10354,10102,G,2
0,10354,9973,OFF,1
0,10353,12467,T,1
0,10353,8136,T,1
