,match_id,player_id,score,n_scores
0,11958,5990,T,1
0,11958,10463,G,3
0,11958,5978,G,5/8
0,11958,10769,OFF,1
0,11958,5960,OFF,1
0,11960,10772,T,1
0,11960,7399,T,1
0,11960,10771,T,1
0,11960,10558,T,1
0,11960,6002,G,5
0,11960,10773,G,2
0,11960,10752,G,1
0,11960,10773,OFF,1
0,11961,6038,T,2
0,11961,10589,T,2
0,11961,10467,T,1
0,11961,5951,T,1
0,11961,10774,T,1
0,11961,10753,T,1
0,11961,6009,T,1
0,11961,5951,G,5/10
0,11959,5959,T,3
0,11959,5966,T,3
0,11959,6024,T,2
0,11959,5952,T,1
0,11959,10770,T,1
0,11959,5999,T,1
0,11959,5930,T,1
0,11959,10588,T,1
0,11959,5925,G,1
0,11959,5999,G,4
0,11959,5959,G,2
0,11962,10703,T,2
0,11962,10710,T,1
0,11962,10715,T,1
0,11962,10504,T,1
0,11962,10604,T,1
0,11962,10604,G,1/9
0,11962,7398,G,2/6
0,11962,5975,G,0/2
0,11964,10775,T,1
0,11964,6008,T,1
0,11964,6018,T,1
0,11964,5951,G,3
0,11964,10492,G,1
0,11963,5975,T,1
0,11963,10735,T,1
0,11963,7398,G,5/8
0,11963,5978,G,3
0,11965,5974,T,1
0,11965,11717,T,1
0,11965,10622,T,1
0,11965,10776,T,1
0,11965,5925,G,3
0,11965,6002,G,2/8
0,11966,5966,T,2
0,11966,10777,T,1
0,11966,5952,T,1
0,11966,5999,T,1
0,11966,5930,T,1
0,11966,5968,G,5
0,11966,10604,G,3
0,11967,10544,T,1
0,11967,10664,T,1
0,11967,10774,T,1
0,11967,10467,G,1
0,11967,10624,G,1
0,11969,10614,T,1
0,11969,10728,T,1
0,11969,5984,T,1
0,11969,6003,T,1
0,11969,5925,T,1
0,11969,5951,G,3
0,11969,5925,G,2
0,11970,5975,T,3
0,11970,10780,T,1
0,11970,10670,T,1
0,11970,6008,T,1
0,11970,10738,T,1
0,11970,7398,G,4/10
0,11970,10463,G,5
0,11968,10778,T,1
0,11968,5991,T,1
0,11968,5999,T,1
0,11968,6059,T,1
0,11968,5966,T,1
0,11968,5930,T,1
0,11968,5968,T,1
0,11968,6012,T,1
0,11968,5968,G,8/13
0,11968,10752,G,3/4
0,11971,10634,T,2
0,11971,10759,T,1
0,11971,10488,T,1
0,11971,10758,T,1
0,11971,10781,T,1
0,11971,5978,G,2
0,11971,6002,G,4
0,11972,10656,T,1
0,11972,10699,T,1
0,11972,10782,T,1
0,11972,10604,G,1/10
0,11972,10624,G,4/4
0,11973,10589,T,2
0,11973,10783,T,1
0,11973,10668,T,1
0,11973,5951,G,2/9
0,11973,10604,G,1
0,11977,6038,T,1
0,11977,6002,T,1
0,11977,10624,G,4
0,11977,6002,G,8
0,11977,10467,OFF,1
0,11974,10780,T,1
0,11974,10515,T,1
0,11974,6018,T,1
0,11974,5925,G,4
0,11974,10463,G,2
0,11975,5991,T,1
0,11975,5975,T,1
0,11975,10752,G,3
0,11975,7398,G,4/5
0,11976,5959,T,1
0,11976,5978,G,4
0,11976,5968,G,1/6
0,11976,5959,G,0/1
0,11978,10784,T,1
0,11978,10558,T,1
0,11978,6002,G,2
0,11978,7398,G,2
0,11980,5999,T,1
0,11980,5968,G,2
0,11980,5951,G,1/1
0,11979,10607,T,2
0,11979,10785,T,1
0,11979,10634,G,2
0,11979,10752,G,1
0,11981,5955,T,1
0,11981,10463,G,1
0,11981,10624,G,1
0,11983,10624,T,1
0,11983,5975,T,2
0,11983,10599,T,1
0,11983,10756,T,1
0,11983,10710,T,1
0,11983,10735,T,1
0,11983,10624,G,1
0,11983,7398,G,10/10
0,11984,5984,T,2
0,11984,10622,T,1
0,11984,10786,G,2
0,11984,5978,G,2
0,11984,6003,G,1
0,11985,5991,T,2
0,11985,10641,T,1
0,11985,6059,T,1
0,11985,5989,T,1
0,11985,10752,G,5
0,11985,5951,G,3
0,11987,10777,T,1
0,11987,10600,T,1
0,11987,10776,T,1
0,11987,6002,G,3
0,11986,5966,T,3
0,11986,5959,T,2
0,11986,6024,T,2
0,11986,5999,T,1
0,11986,5964,T,1
0,11986,5968,G,6
0,11990,10589,T,1
0,11990,10607,T,3
0,11990,10634,T,1
0,11990,10557,T,1
0,11990,10646,G,4
0,11990,5978,G,3
0,11990,10767,OFF,1
0,11990,10781,OFF,1
0,11991,10656,T,1
0,11991,10752,T,2
0,11991,6043,T,1
0,11991,10656,G,1
0,11991,10752,G,1/5
0,11991,3733,G,1/1
0,11991,10796,OFF,1
0,11992,6018,T,1
0,11992,6002,T,1
0,11992,6002,G,2
0,11988,5955,T,1
0,11988,5999,T,2
0,11988,5959,T,1
0,11988,6024,T,1
0,11988,10571,T,1
0,11988,10624,G,2
0,11988,5968,G,5
0,11989,7398,T,1
0,11989,5967,T,2
0,11989,5975,T,1
0,11989,7398,G,6
0,11989,10786,G,2
0,11993,10702,G,2
0,11993,10768,G,2
0,11995,10682,T,1
0,11995,10786,G,2
0,11995,10467,G,1
0,11994,10687,T,2
0,11994,10492,G,1
0,11996,10607,T,1
0,11996,5978,G,2
0,11996,10604,G,1
0,11997,10685,T,1
0,11997,7398,G,2
0,11997,10646,G,2
0,11999,10787,T,1
0,11999,6002,T,1
0,11999,5951,G,1
0,12000,10618,T,1
0,12000,5985,T,1
0,12000,10531,T,1
0,12000,10604,G,1
0,12000,10463,G,1
0,11998,8601,T,1
0,11998,5957,T,1
0,11998,10557,T,1
0,11998,5978,T,1
0,11998,10467,G,2
0,11998,5978,G,2/8
